x,model,ntrn,n,rmse,sdev,pcor,scor,kcor,n,rmse,sdev,pcor,scor,kcor,n,rmse,sdev,pcor,scor,kcor
2,MLR,247,195,1.877,1.886,0.613,0.637,0.454,201,1.931,1.941,0.601,0.607,0.427,382,1.691,1.695,0.515,0.491,0.346
2,MLR,1105,195,1.909,1.919,0.594,0.633,0.449,201,1.959,1.969,0.585,0.587,0.413,382,1.689,1.693,0.517,0.491,0.347
2,MLR,2280,195,1.953,1.963,0.569,0.612,0.429,201,1.997,2.007,0.563,0.565,0.395,382,1.695,1.700,0.511,0.487,0.342
2,RF,247,195,1.981,1.991,0.551,0.557,0.393,201,2.087,2.097,0.504,0.512,0.347,382,1.782,1.787,0.429,0.398,0.275
2,RF,1105,195,1.903,1.913,0.598,0.612,0.428,201,2.014,2.024,0.552,0.549,0.386,382,1.722,1.727,0.487,0.464,0.325
2,RF,2280,195,2.035,2.045,0.515,0.530,0.364,201,2.004,2.014,0.558,0.563,0.390,382,1.695,1.699,0.512,0.490,0.345
4,MLR,247,195,1.784,1.793,0.660,0.687,0.497,201,1.877,1.886,0.630,0.639,0.456,382,1.705,1.710,0.503,0.474,0.333
4,MLR,1105,195,1.806,1.815,0.649,0.683,0.491,201,1.914,1.924,0.610,0.625,0.447,382,1.729,1.733,0.482,0.460,0.318
4,MLR,2280,195,1.819,1.828,0.643,0.676,0.484,201,1.939,1.949,0.596,0.608,0.436,382,1.729,1.733,0.482,0.458,0.317
4,RF,247,195,1.809,1.818,0.648,0.649,0.467,201,1.862,1.871,0.637,0.642,0.457,382,1.715,1.720,0.494,0.469,0.327
4,RF,1105,195,1.724,1.733,0.687,0.693,0.502,201,1.849,1.859,0.643,0.642,0.461,382,1.743,1.748,0.468,0.450,0.312
4,RF,2280,195,1.830,1.839,0.637,0.650,0.467,201,1.894,1.903,0.621,0.622,0.446,382,1.665,1.669,0.537,0.510,0.361
