pbindaff,Hydrophobic,Vdw,HBond,Ent,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
2.00,-0.7367,-1.3220,-0.0293,0.5460,45.8639,906.5493,4.5499,0.0000,7.2112,0.1111,3c2f
2.00,-0.9134,-0.9145,-0.0156,0.2520,48.0211,434.9001,1.0023,17.1603,1.0415,0.1176,2r58
2.00,-0.4433,-1.0291,-0.0000,0.0420,49.4545,708.9079,4.5607,10.1219,6.0178,0.2500,3g2y
2.05,-0.9809,-1.7397,0.0000,0.4200,53.4586,1053.9083,1.6311,0.0000,2.9499,0.0909,1jfh
2.06,-0.8202,-1.1396,-0.0111,0.2100,56.3336,616.9015,4.3959,1.3869,5.8460,0.1667,1qq9
2.07,-1.3021,-1.9694,-0.0090,0.0420,89.1200,1011.2183,4.0398,20.1253,1.0738,0.3333,3ao4
2.12,-1.7330,-1.8813,-0.0045,0.3780,113.7689,1481.0815,8.9302,4.1173,7.6238,0.1053,2w8w
2.17,-0.6903,-1.1807,-0.0170,0.1260,54.8079,748.6750,3.3857,37.2826,0.9613,0.2222,3gqz
2.21,-1.0241,-1.1596,0.0000,0.0000,37.3397,696.2489,3.0486,8.8457,4.4250,0.3333,1x8d
2.22,-1.0292,-1.4029,0.0000,0.0000,64.2255,797.1244,3.2436,12.9560,5.4883,0.2857,2aac
2.22,-1.9151,-2.7818,-0.0162,0.3360,119.4536,1670.2504,10.4229,26.0082,9.3655,0.1250,1m0n
2.22,-1.7378,-2.3442,0.0000,1.7220,75.3002,1259.5542,2.8927,0.0000,1.6591,0.0370,1icj
2.23,-0.7431,-1.0848,-0.0079,0.1260,46.2266,612.3215,2.9809,16.3921,4.5173,0.2000,2igv
2.23,-1.5986,-1.9234,-0.0019,0.0420,85.2562,1056.1028,2.9694,16.0528,1.2431,0.4000,3ao5
2.23,-1.5658,-1.2968,-0.0006,0.0840,53.6159,770.4449,2.0653,21.2198,1.4426,0.2500,1ajp
2.23,-1.4438,-1.4357,0.0000,0.0420,77.2851,885.9867,7.2560,0.0000,7.5879,0.2500,3i3b
2.26,-1.2212,-1.4380,0.0000,0.0000,55.9069,739.2726,1.8791,9.8982,0.3105,0.6667,3ao1
2.26,-0.4211,-0.2130,-0.0179,0.0840,53.7313,482.9258,11.3842,0.0000,3.7717,0.3333,1ew8
2.28,-1.1860,-1.3111,0.0000,0.0840,68.4162,764.8411,6.0142,19.2935,6.4380,0.3333,3ip8
2.30,-1.2245,-1.5641,0.0000,0.2100,53.1292,908.2697,3.2866,10.2322,5.2263,0.1429,3dyo
2.30,-1.3395,-0.7640,-0.0006,0.0840,56.0236,791.1844,8.9142,32.4915,3.6043,0.2857,3pcg
2.31,-2.1140,-2.6802,-0.0205,0.3780,112.7696,1581.8260,8.2204,22.9745,8.5803,0.1000,1m0o
2.35,-0.6787,-0.9281,-0.0030,0.0840,51.9417,608.8994,2.8458,19.6640,1.0000,0.2857,3gtc
2.36,-0.2984,-0.8701,-0.0007,0.0000,38.3091,582.1674,2.8476,12.3457,3.4712,0.3333,3g2z
2.37,-1.0720,-1.4093,-0.0042,0.2520,71.1773,885.3485,5.0355,0.0000,4.6570,0.1538,6rnt
2.38,-3.4498,-4.1437,-0.0001,0.6300,187.5235,2302.6521,10.2689,49.3285,12.7208,0.0714,3f6e
2.39,-1.3727,-1.4334,-0.0019,0.3780,72.3998,1136.3855,6.6783,0.5798,11.2562,0.0741,1f73
2.40,-1.1553,-2.3013,0.0000,0.0840,88.3894,1165.7094,2.8106,6.5260,4.9647,0.2000,3l7b
2.44,-0.6094,-0.6788,0.0000,0.0840,31.5293,281.6779,0.6182,0.0000,0.1762,0.2000,1oba
2.44,-1.2762,-2.3668,0.0000,0.0840,94.5106,1241.6125,4.2697,4.9974,6.3628,0.2222,3l7c
2.44,-1.1720,-1.3867,-0.0024,0.0420,68.3868,900.4979,3.7401,0.0000,5.5380,0.2857,2i2b
2.46,-1.2903,-2.2080,0.0000,0.0840,88.1164,1177.1284,3.8209,6.4062,6.2007,0.2222,3l79
2.47,-0.7407,-1.1452,-0.0034,0.1260,46.3200,590.2482,1.2988,8.4041,1.3726,0.2222,1utl
2.47,-0.6881,-0.5951,-0.0315,0.0000,42.8631,495.1980,3.0328,6.4754,5.8633,0.3333,1tok
2.48,-0.7944,-1.0276,-0.0083,0.0000,60.3248,446.8197,1.3062,39.4297,1.2277,0.5000,1gyx
2.50,-1.5550,-1.2899,-0.0006,0.0840,51.2891,767.1401,2.1198,28.0624,1.3252,0.2500,1ai4
2.51,-0.8688,-0.7962,-0.0038,0.1260,70.6193,846.6058,5.2349,12.9717,4.3992,0.2500,3g30
2.52,-0.7069,-1.8234,-0.0046,0.4200,79.8478,1043.0258,4.8896,0.0000,5.2873,0.1250,3bf1
2.52,-0.2536,-1.0748,-0.0000,0.0420,38.7952,602.7249,1.4662,9.6498,1.5492,0.2500,3gr2
2.55,-1.1077,-2.0653,-0.0057,0.5040,81.4102,1291.5516,2.5225,0.0000,5.0145,0.0952,1kf0
2.55,-0.6189,-1.3956,-0.0004,0.0000,43.8455,717.4841,1.3840,16.5459,0.0000,0.3333,3ovn
2.57,-1.0170,-1.6878,0.0000,0.2520,66.1745,954.7536,1.7160,0.0000,3.9134,0.1111,1gwv
2.57,-0.9246,-1.2809,-0.0018,0.0420,49.3099,691.0060,1.4653,3.7396,1.1653,0.2857,3kgp
2.59,-0.8586,-1.7603,-0.0013,0.0840,85.3446,1000.4905,3.5852,23.6237,4.4927,0.2857,3gvb
2.60,-0.7947,-0.8087,-0.0092,0.2520,44.1875,396.8345,0.5092,18.7268,0.5763,0.1250,2r5a
2.62,-0.5969,-0.9708,0.0000,0.0000,26.3152,647.8248,1.0745,30.0907,0.0000,0.4000,3f37
2.62,-1.2886,-1.0173,0.0000,0.0000,24.3849,656.6440,0.7077,28.1505,0.0000,0.4000,3f38
2.63,-1.5452,-1.4017,-0.0006,0.0840,49.5433,842.2430,2.0193,32.5899,1.0000,0.2500,1ajn
2.66,-1.5502,-2.7446,-0.0143,0.5040,124.0071,1708.3837,7.8662,0.0000,7.8564,0.1000,3a1e
2.67,-1.0858,-1.7492,-0.0173,0.3780,74.3975,1180.2252,4.5213,0.5061,6.1968,0.0909,3lvw
2.68,-1.1687,-1.4601,-0.0076,0.2100,59.3048,809.2028,6.0985,0.0000,11.3189,0.1818,1o8b
2.69,-1.0152,-1.5666,0.0000,0.0840,65.6879,843.0095,3.3700,1.3547,4.2219,0.2222,3elc
2.70,-0.9511,-0.8326,-0.0072,0.0420,53.5428,504.9558,3.0578,14.1246,3.2601,0.2857,2uyn
2.70,-0.9067,-0.3017,-0.0032,0.0840,48.4194,901.3285,7.2184,18.1881,1.0357,0.2857,3gsg
2.72,-0.9945,-1.1554,-0.0038,0.2100,46.3809,546.2112,2.3860,5.5507,2.0000,0.1667,1pfu
2.72,-0.8539,-0.7596,-0.0239,0.1260,37.7941,544.7930,4.6678,2.3400,5.6711,0.2500,2rkd
2.74,-0.8149,-0.7476,-0.0018,0.2520,44.7301,353.0720,1.0620,20.4392,0.8073,0.1250,2vyt
2.75,-1.2712,-1.0026,-0.0096,0.0420,44.1735,464.1837,2.3235,5.4823,3.7713,0.5000,1rql
2.77,-0.9525,-1.2725,-0.0311,0.2940,54.5305,821.4004,2.7405,0.0000,5.5273,0.1429,2bet
2.80,-0.7263,-1.1947,-0.0032,0.0420,47.3710,537.9728,1.5836,5.1201,2.4209,0.4000,2bza
2.81,-0.0434,-1.6008,-0.0009,0.2520,54.5131,963.6530,2.7301,2.8261,3.2159,0.1538,3djx
2.82,-0.8523,-1.0582,-0.0028,0.0420,52.4523,694.9867,1.6102,19.7954,1.7405,0.4000,3ppr
2.84,-0.9658,-0.8011,-0.0187,0.2100,39.7772,562.1830,6.0716,0.0000,6.8152,0.2500,3moh
2.86,-1.4008,-1.5047,-0.0131,0.7980,103.1374,1161.3881,8.2529,0.0000,7.1467,0.0606,3qx8
2.89,-1.0974,-1.1161,0.0000,0.0420,33.0875,710.7480,0.5053,46.1348,0.0000,0.2857,3f36
2.89,-1.4041,-1.3380,-0.0042,0.3360,54.5711,748.8428,1.0196,41.1716,0.3904,0.0952,1cet
2.89,-0.8618,-1.1521,-0.0032,0.2520,58.1169,727.0515,3.1891,0.0000,5.6486,0.1818,1iih
2.89,-0.7236,-0.5402,-0.0029,0.0840,29.3630,424.4447,3.7408,21.4891,4.4640,0.2857,1ugp
2.89,-0.6804,-1.1571,0.0000,0.2940,39.9289,781.4342,1.8607,23.8033,1.7952,0.0952,2wpb
2.89,-0.4317,-1.8729,-0.0071,0.3360,69.1703,1293.4025,4.4516,4.7101,7.7460,0.0952,2wtx
2.89,-0.5813,-0.7148,-0.0019,0.0840,17.6615,479.3337,0.4393,20.3345,0.0000,0.2857,3g31
2.90,-2.0855,-1.9296,-0.0083,0.5040,80.4932,1208.0055,4.4245,9.0807,7.1640,0.0625,3c2u
2.92,-1.0886,-1.0627,-0.0049,0.2100,76.1862,897.1276,6.2081,1.8753,8.6484,0.1538,2fw6
2.92,-1.1954,-1.0483,-0.0053,0.2100,76.0288,899.3575,6.6766,2.0677,9.0814,0.1538,2fwp
2.92,-1.1899,-1.5307,-0.0181,0.2940,62.9514,827.4794,4.2018,0.0000,7.5522,0.1333,3k8c
2.93,-0.6883,-1.1025,-0.0015,0.0420,38.2373,536.0855,1.8715,3.7085,2.9716,0.4000,1tng
2.94,-0.6745,-1.0134,0.0000,0.0840,45.7588,511.5577,2.2059,0.0000,4.1910,0.1818,2vmc
2.96,-1.6475,-2.1333,-0.0136,0.3780,110.0792,1478.4757,7.8988,3.6273,9.5700,0.1053,2w8j
2.96,-0.7429,-0.5678,-0.0044,0.0000,32.6494,444.4868,4.2878,0.8664,2.7287,0.6667,2br6
2.96,-0.8995,-1.3328,-0.0000,0.1260,41.3640,854.4972,1.0496,47.7815,1.3226,0.2222,1f4e
2.96,-0.1167,-1.1207,-0.0000,0.0840,46.2026,795.6189,3.5211,0.0000,2.2109,0.3333,3g34
2.97,-2.7487,-3.6236,-0.0001,0.3360,109.9497,2241.1973,1.4891,77.1916,0.5063,0.0741,2hw2
2.98,-0.9134,-2.0312,0.0000,0.4620,71.1242,1062.0903,1.9874,0.0000,3.1422,0.0741,3ckb
2.98,-0.6843,-1.5474,-0.0051,0.4200,45.9379,957.1688,1.7595,2.4043,2.7997,0.1250,3djq
3.00,-0.9745,-1.2939,0.0000,0.1260,59.7850,599.1547,2.5086,0.0000,5.2317,0.1818,1ws4
3.00,-0.6205,-0.9948,-0.0024,0.0000,46.3693,696.1927,3.1265,18.5653,0.7430,0.5000,3ime
3.00,-0.4953,-0.3603,-0.0014,0.0420,29.2718,426.6660,2.3894,5.6768,0.6983,0.5000,2q8h
3.00,-1.1327,-0.7592,-0.0245,0.0840,64.0913,516.8699,4.2399,0.0000,7.4677,0.2500,2v3u
3.00,-2.0049,-0.6023,-0.0086,0.2100,82.7170,1023.5984,14.1028,0.7759,10.0302,0.1333,1ecq
3.00,0.1917,-0.5504,-0.0105,0.1680,29.3196,556.6985,1.5384,1.3609,3.2935,0.1667,1hqg
3.00,-0.6979,-0.7255,-0.0283,0.2100,36.7060,533.2194,3.3786,0.0000,5.4641,0.2500,2rka
3.01,-0.9642,-1.0526,-0.0015,0.0840,27.4429,535.3923,0.4545,3.6547,1.5000,0.2857,1utm
3.02,-0.7311,-0.8870,0.0000,0.1260,49.0548,488.3210,2.9056,0.0000,4.7830,0.1818,2vmd
3.03,-1.0284,-1.2571,0.0000,0.1260,58.9201,580.1729,2.6480,0.0000,5.3810,0.1818,1ws5
3.03,-0.7610,-1.1267,0.0000,0.0000,46.6904,697.8089,3.5367,0.0000,4.6021,0.3333,1ogd
3.03,-0.7435,-0.8554,0.0000,0.0840,39.9613,456.2267,1.1738,0.0000,1.0000,0.2000,2ha3
3.04,-1.6303,-2.2023,0.0000,0.4200,86.7148,1070.9854,3.4266,16.3313,5.0095,0.0952,3t1m
3.05,-1.9396,-1.5949,-0.0088,0.2940,78.6928,863.8568,7.8438,0.0000,10.2275,0.1250,1uj5
3.05,-1.8509,-1.3675,-0.0085,0.3360,74.9990,852.9821,7.5487,0.0000,10.8934,0.1176,1uj6
3.05,-1.2677,-1.4079,-0.0022,0.3360,74.6457,1068.8201,6.8886,2.4264,10.4068,0.0800,1f74
3.06,-1.4217,-1.7588,-0.0100,0.5460,71.2497,1156.2214,3.7610,20.4134,3.8362,0.0800,2jfh
3.07,-0.6456,-0.3931,-0.0160,0.0000,34.7691,420.8061,3.7188,0.0000,5.1056,0.5000,3mof
3.09,-0.8337,-1.2674,0.0000,0.0420,61.6773,567.8850,3.3025,0.0000,6.3786,0.2222,1ugw
3.10,-0.5403,-0.7078,-0.0093,0.0840,26.1160,515.9595,1.4110,16.3906,2.0000,0.2222,3buf
3.10,-1.3785,-1.2396,0.0000,0.2100,47.0227,679.6662,0.7078,44.5098,0.0000,0.2500,3f78
3.10,-1.7033,-0.9166,-0.0040,0.1680,83.9321,1018.8129,9.6514,0.0000,10.6347,0.1429,1ec9
3.10,-0.8586,-1.2001,-0.0003,0.0000,88.8965,702.7246,3.3638,0.0000,0.4333,0.5000,1pu7
3.10,-0.8820,-0.9661,-0.0005,0.0000,84.3287,698.9051,3.7963,0.0000,0.0000,1.0000,1pu8
3.11,-0.9481,-1.1158,-0.0141,0.0000,65.0539,707.0024,3.6751,7.5961,3.5063,0.3333,3c2r
3.13,-1.0076,-1.3327,0.0000,0.0840,50.3978,772.9088,3.0302,3.4267,5.1514,0.1818,1ax0
3.14,-2.2572,-1.7867,-0.0613,0.2520,85.6518,1293.4329,8.2520,12.0460,11.4298,0.1111,2ya7
3.15,-1.1259,-1.6231,-0.0001,0.0420,78.7066,921.1265,5.4340,0.0000,7.9690,0.2500,1e6q
3.16,-1.1653,-1.2293,0.0000,0.0840,32.6671,768.1156,0.5048,34.5808,0.0000,0.2222,3f34
3.16,-1.3824,-1.1900,0.0000,0.0840,29.6656,769.7179,0.8603,29.1500,0.0000,0.2222,3f35
3.18,-0.8039,-0.9124,-0.0048,0.1260,31.5474,600.8726,0.7004,26.3283,1.5073,0.1818,3bug
3.18,-3.0081,-3.9948,-0.0006,0.6300,179.7703,2338.7595,10.2619,15.0263,16.4183,0.0645,1ro7
3.19,-0.3024,-1.5477,-0.0017,0.4200,46.2522,957.5676,2.1520,2.1015,3.2644,0.1250,3dxh
3.20,-0.6495,-1.0940,0.0000,0.0420,44.5700,644.1353,2.6892,0.0000,5.0092,0.2222,1axz
3.21,-0.6107,-1.6973,-0.0185,0.3360,89.2926,1218.9658,4.1659,0.0000,4.1426,0.1176,1s5z
3.22,-1.1710,-1.0402,-0.0097,0.1260,49.8241,634.4219,2.6160,33.8156,4.4967,0.2500,1tog
3.22,-0.9767,-0.7933,-0.0009,0.2520,65.9344,940.5838,5.6191,6.3320,2.3233,0.1538,1zc9
3.22,-1.4752,-2.0051,-0.0009,0.1260,106.7548,1297.7816,4.9542,12.9078,4.8829,0.1818,1br6
3.22,-1.3033,-1.2808,0.0000,0.0420,80.9792,866.6213,7.7136,0.0000,9.6786,0.1818,1e6s
3.22,-0.4868,-0.2158,-0.0010,0.0420,32.6198,303.2839,5.8153,0.0000,0.5953,0.4000,1ew9
3.22,-1.3517,-3.0338,-0.0091,0.5460,117.8048,2089.1973,6.1144,7.3865,9.8432,0.0588,1k1y
3.22,0.0616,-0.7746,0.0000,0.0000,29.0330,573.0389,2.2994,0.0000,3.9833,0.4000,2ri9
3.22,-1.1686,-1.5383,0.0000,0.0000,81.4169,722.7017,2.4111,5.7962,1.3998,0.5000,2uy3
3.23,-1.1209,-1.6488,0.0000,0.2100,55.3248,923.2209,3.2606,7.6902,5.0383,0.1429,1px4
3.24,-0.6956,-1.0145,-0.0038,0.0420,58.2712,725.3826,4.2134,0.0000,6.0235,0.2500,3qfz
3.25,-2.8081,-3.1686,-0.0105,0.4200,143.4257,1677.9194,5.5217,0.0000,10.0401,0.1176,3ta1
3.25,-0.9605,-1.3610,-0.0075,0.0000,61.2744,589.0704,2.5788,3.6641,4.3573,0.4000,1v2j
3.26,-0.2299,-1.3609,0.0000,0.5040,56.2244,715.2065,2.4074,0.0000,5.1610,0.0952,3t1l
3.26,-1.6234,-1.1009,0.0000,0.0840,43.2543,766.7039,1.9322,34.9974,1.7429,0.2500,5yas
3.27,-2.2447,-2.8059,-0.0000,0.3780,107.0969,1636.5844,4.4178,1.4322,6.3669,0.0952,3ioe
3.28,-0.8851,-1.6576,-0.0000,0.2520,100.2966,1171.2046,10.0878,7.0608,8.8078,0.1429,3d52
