pbindaff,Hydrophobic,Vdw,HBond,Ent,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
2.0000,-0.8847,-1.3233,0.0000,0.5460,45.8639,906.5493,4.5499,0.0000,7.2112,0.1111,3c2f
2.1200,-2.2451,-1.8799,0.0000,0.3780,113.7690,1481.0808,8.9302,4.1173,7.6238,0.1111,2w8w
2.2100,-1.0837,-1.1596,0.0000,0.0000,37.3397,696.2490,3.0486,8.8457,4.4250,0.4000,1x8d
2.2300,-1.7471,-1.2935,0.0000,0.0840,53.6159,770.4449,2.0653,21.2198,1.4426,0.2500,1ajp
2.2600,-1.1906,-1.4361,0.0000,0.0000,55.9069,739.2726,1.8791,9.8982,0.3105,0.6667,3ao1
2.3000,-1.1734,-1.1128,0.0000,0.2100,68.8273,883.7651,6.5300,7.6750,7.7430,0.1538,3kgq
2.3100,-2.2982,-2.6795,0.0000,0.3780,112.7696,1581.8258,8.2204,22.9745,8.5803,0.1176,1m0o
2.3700,-0.9772,-1.4200,-0.0000,0.2520,71.1773,885.3485,5.0355,0.0000,4.6570,0.1538,6rnt
2.4000,-1.4413,-2.2945,0.0000,0.0840,88.3900,1224.4084,2.8106,6.5260,4.9647,0.2000,3l7b
2.4700,-0.7650,-0.5964,0.0000,0.0000,48.9525,592.5642,3.7167,8.5905,5.8633,0.3333,1tok
2.5200,-0.7979,-1.8214,0.0000,0.4200,79.8478,1043.0258,4.8896,0.0000,5.2873,0.1250,3bf1
2.5500,-1.3510,-0.7485,-0.0068,0.1260,30.9638,578.2145,3.0962,26.1958,3.0916,0.2222,3b3s
2.6000,-0.9219,-0.8089,-0.0012,0.2520,44.1875,396.8347,0.5092,18.7268,0.5763,0.1333,2r5a
2.6700,-1.1143,-1.7474,-0.0087,0.3780,74.3975,1180.2252,4.5213,0.5061,6.1968,0.0909,3lvw
2.7200,-1.1860,-1.1580,-0.0038,0.2100,46.3809,546.2112,2.3860,5.5507,2.0000,0.1818,1pfu
2.7700,-1.0918,-1.2751,0.0000,0.2940,54.5305,821.4004,2.7405,0.0000,5.5273,0.1429,2bet
2.8200,-0.8435,-1.7184,0.0000,0.1260,55.7747,807.2994,1.8148,14.6271,1.5310,0.2857,3lka
2.8500,-0.9368,-1.3982,-0.0136,0.0000,57.7026,781.9296,2.8337,39.1537,3.4710,1.0000,3udh
2.8900,-0.7065,-0.5402,0.0000,0.0840,29.3630,424.4447,3.7408,21.4891,4.4640,0.3333,1ugp
2.9200,-0.8642,-0.9257,0.0000,0.2520,56.9577,634.2423,5.0850,0.0000,7.4050,0.1111,3alt
