pbindaff,Hydrophobic,Vdw,HBond,Ent,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
9.30,-0.7654,-1.0905,0.0000,0.0840,67.6847,612.0696,9.4605,0.0000,13.8883,0.3333,2iw4
4.45,-1.6303,-2.2248,0.0000,0.2940,124.9612,1261.3387,7.1825,26.6791,8.6894,0.1000,2wbg
6.08,-1.5917,-2.2678,0.0000,0.2940,118.8333,1278.0452,6.9209,26.2191,8.6242,0.1000,2wc3
5.29,-1.7168,-2.2422,0.0000,0.2940,121.6889,1250.7882,8.0509,24.7143,8.9232,0.1000,2wc4
6.10,-2.3211,-3.2990,0.0000,0.5040,137.6372,1782.1802,8.5928,18.3187,13.4003,0.1000,2yay
5.14,-2.0479,-2.4794,0.0000,0.2520,100.9993,1352.9170,3.2587,18.0111,6.4626,0.1818,2yaz
3.85,-1.5720,-2.1362,0.0000,0.0840,81.9498,1146.0947,2.4264,17.0949,4.3711,0.2500,2yb0
4.15,-1.5760,-1.5586,-0.0016,0.2520,58.5223,1137.2277,3.7295,0.0000,7.6717,0.1176,2xg9
7.26,-1.2562,-1.2605,-0.0079,0.0000,68.5484,658.1843,4.8173,10.6967,7.3762,0.4000,2xib
7.20,-1.7286,-2.6595,-0.0138,0.1260,121.7917,1423.5336,7.2055,24.1704,8.4092,0.1818,2xii
8.34,-4.1093,-4.0207,0.0000,0.7980,139.7579,2530.4500,8.1621,91.2443,6.0118,0.0513,2xye
8.44,-4.0170,-3.9785,0.0000,0.7980,126.2868,2503.3550,6.4846,71.3456,5.4576,0.0513,2xyf
6.40,-1.9890,-2.6012,0.0000,0.5880,89.6303,1449.0988,1.6547,58.5757,1.9350,0.0741,2y8c
6.63,-2.2725,-2.2019,0.0000,0.2940,68.7792,1311.1832,1.1701,55.7541,1.0000,0.1176,2yfe
8.12,-1.6155,-2.6619,0.0000,0.1680,90.2493,1349.1387,2.1467,20.7666,2.1156,0.2000,2yi0
8.32,-1.7258,-2.5219,0.0000,0.2520,85.3592,1360.5658,2.5266,21.2399,2.2449,0.1667,2yi7
3.92,-3.6400,-4.7126,-0.0001,1.3440,167.4309,2534.1558,5.7498,20.9833,8.7139,0.0408,2yim
2.78,-1.5413,-0.7766,0.0000,0.1260,35.8855,390.8503,0.7008,40.0708,0.0000,0.2500,2yiv
3.16,-1.6404,-1.7272,-0.0007,0.0840,78.0583,907.4813,3.8389,28.2853,4.8267,0.2500,2ymd
7.66,-1.5079,-1.9896,-0.0002,0.0420,69.0271,1096.0402,1.3860,34.9524,0.0000,0.3333,2yme
2.92,-0.8642,-0.9257,0.0000,0.2520,56.9577,634.2423,5.0850,0.0000,7.4050,0.1111,3alt
2.96,-1.7147,-2.0759,0.0000,0.2520,113.2804,1304.9757,5.5958,0.0000,6.2706,0.1538,3dhv
4.72,-1.4694,-2.1647,0.0000,0.0420,105.4794,980.2292,1.8858,64.1859,0.0000,0.3333,3ebo
5.91,-1.6418,-2.3464,0.0000,0.0840,104.8070,1204.5577,1.7903,68.1384,0.0000,0.2222,3ebp
8.89,-3.0484,-3.3162,-0.0013,0.5880,109.2147,1963.5620,6.2202,49.3922,4.2022,0.0714,3ekp
10.59,-2.9110,-3.4399,-0.0025,0.5880,117.5438,2119.8264,8.2003,45.2590,6.1182,0.0714,3ekt
9.41,-2.9446,-3.4340,-0.0002,0.5880,116.5820,1955.8181,3.8253,58.7790,4.3134,0.0714,3ekv
7.96,-4.0732,-4.2245,0.0000,0.8400,135.8555,2565.1880,5.4421,80.6700,7.1177,0.0513,3ekw
9.41,-3.3326,-3.8846,0.0000,0.4620,122.7879,2163.4915,3.6665,67.5099,3.4022,0.0870,3ekx
9.64,-3.9473,-4.0919,0.0000,0.8400,127.5405,2442.3328,4.5593,80.7259,6.7784,0.0513,3el1
7.17,-3.5588,-4.0731,0.0000,0.5460,136.2969,2401.5056,4.1233,72.3321,6.2411,0.0690,3el4
7.72,-3.5938,-3.8260,0.0000,0.5040,126.8542,2168.8987,4.5509,59.2241,4.1201,0.0833,3el5
8.40,-3.3637,-4.1558,0.0000,0.8400,133.6285,2528.2119,4.3725,76.9974,6.6386,0.0513,3el9
5.43,-0.6024,-0.8317,0.0000,0.1260,43.8434,657.4783,3.3245,0.0000,2.2692,0.2000,3ng4
6.49,-1.7993,-3.2584,0.0000,0.5880,122.8030,1904.8885,6.7257,11.4089,3.6140,0.0690,3nw3
3.48,-1.7749,-1.8519,-0.0022,0.0000,69.8684,869.8256,4.1786,15.7285,1.9339,0.5000,3nyd
7.62,-3.3421,-4.7438,0.0000,1.5960,195.9716,3051.6196,16.0565,36.0024,8.7641,0.0299,3o4k
6.68,-1.9401,-1.3198,0.0000,0.2520,85.7482,1107.1724,8.3999,0.0000,10.5442,0.1429,3o75
5.68,-1.8836,-2.2218,0.0000,0.2100,69.5035,1229.3923,3.5784,25.1205,1.7393,0.2000,3oil
6.74,-2.0096,-1.9541,0.0000,0.2100,54.9272,1150.5226,3.1734,51.2814,1.7698,0.2000,3oim
6.36,-1.9794,-1.9665,0.0000,0.2100,60.4129,1218.7019,4.9121,57.8426,1.8091,0.2222,3oku
6.23,-1.8300,-2.4964,0.0000,0.2100,74.0420,1334.9958,3.0132,27.3239,1.6114,0.2222,3okv
9.19,-1.7158,-2.2275,-0.0105,0.2940,126.6235,1372.2273,8.7942,11.0339,10.6405,0.1176,3ozg
4.48,-2.3878,-2.6344,-0.0012,0.2520,92.6639,1339.7186,2.2007,48.5558,2.6531,0.1333,3p17
7.25,-1.9370,-1.8685,0.0000,0.0840,63.4409,1175.3319,2.4488,34.1648,2.2224,0.2000,3p3r
7.59,-2.8570,-1.4502,0.0000,0.0420,60.0200,1076.2198,3.1046,27.3967,2.8284,0.2500,3p3s
7.24,-2.3799,-1.6288,0.0000,0.2940,67.6921,1071.6216,2.9653,41.9173,1.9361,0.1667,3p3t
9.28,-2.9281,-4.1137,0.0000,0.7980,163.5346,1992.0526,4.6080,48.1147,4.4677,0.0667,3p8n
8.72,-2.7107,-3.6886,0.0000,0.7980,140.1801,1917.6277,4.6273,45.0353,4.8753,0.0667,3p8o
5.74,-1.1965,-2.1959,0.0000,0.3780,87.0105,970.1774,2.7112,22.2104,1.0329,0.1111,3pb7
5.24,-1.1210,-1.1173,-0.0036,0.1260,46.8982,610.9849,3.5043,9.7957,2.0756,0.2500,3pb8
6.58,-1.3183,-1.5034,0.0000,0.0840,65.5882,747.1315,2.9120,34.2925,1.0000,0.3333,3pb9
7.02,-1.8194,-2.1552,0.0000,0.3780,88.3217,976.8259,2.2765,21.4948,1.0000,0.1053,3pbb
6.44,-2.0054,-1.9640,0.0000,0.5880,95.7119,1108.9874,8.4068,4.0386,13.4720,0.0909,3pfp
4.02,-2.2197,-2.6734,-0.0032,0.2940,103.8791,1181.2975,2.9875,18.2298,2.2344,0.1538,3po1
3.35,-0.7256,-0.7990,0.0000,0.0840,44.9416,665.5667,5.2385,4.0617,5.2495,0.3333,3pwk
5.33,-1.0980,-0.7348,-0.0160,0.0840,43.4188,529.7504,3.6999,0.0000,3.8122,0.2500,3q1x
4.31,-1.2187,-3.0119,-0.0105,1.3860,122.5164,1914.1655,4.9368,18.5043,8.2244,0.0290,3q5u
7.57,-2.3728,-3.5325,0.0000,0.2940,133.1441,2017.8556,3.0070,49.3630,2.7238,0.1250,3q6w
4.97,-0.9064,-1.2709,-0.0029,0.0000,94.2749,675.1515,4.0145,0.0000,3.3584,0.5000,3qbc
8.77,-1.6339,-2.0242,-0.0077,0.1680,95.6325,1228.2743,2.2537,37.1783,0.8444,0.2222,3qdd
