pbindaff,Hydrophobic,Vdw,HBond,Ent,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
2.0500,-1.0719,-1.7572,0.0000,0.4200,53.4586,1053.9083,1.6311,0.0000,2.9499,0.1000,1jfh
2.1700,-0.7473,-1.1786,0.0000,0.1260,54.8079,748.6750,3.3857,37.2826,0.9613,0.2500,3gqz
2.2200,-1.8239,-2.7843,0.0000,0.3360,119.4536,1670.2499,10.4229,26.0082,9.3655,0.1333,1m0n
2.2300,-1.4471,-1.4296,0.0000,0.0420,77.2851,885.9867,7.2560,0.0000,7.5879,0.2500,3i3b
2.2800,-1.3008,-1.3128,0.0000,0.0840,68.4162,764.8411,6.0142,19.2935,6.4380,0.3333,3ip8
2.3000,-2.3836,-2.3701,-0.0088,0.4200,110.0624,1589.4240,7.9764,0.0000,12.0660,0.1250,3rv4
2.3600,-0.5876,-0.8817,-0.0007,0.0000,38.3091,582.1671,2.8476,12.3457,3.4712,0.3333,3g2z
2.3900,-0.8364,-0.7746,0.0000,0.5460,72.8151,1163.0858,7.4259,17.2080,2.0665,0.0833,1nwl
2.4400,-1.4513,-2.3652,0.0000,0.0840,94.5117,1304.2377,4.2697,4.9974,6.3628,0.2222,3l7c
2.5000,-1.7368,-1.2922,0.0000,0.0840,51.2891,767.1401,2.1198,28.0624,1.3252,0.2500,1ai4
2.5200,-1.5181,-1.1403,0.0000,0.0420,73.4269,888.5551,8.7401,0.0000,7.9536,0.2500,3vdb
2.5700,-0.9617,-1.2807,-0.0012,0.0420,49.3099,691.0060,1.4653,3.7396,1.1653,0.2857,3kgp
2.6300,-1.5280,-1.3929,0.0000,0.0840,49.5433,842.2430,2.0193,32.5899,1.0000,0.2500,1ajn
2.7000,-0.9390,-0.8327,0.0000,0.0420,53.5428,504.9558,3.0578,14.1246,3.2601,0.5000,2uyn
2.7400,-0.7951,-0.7457,-0.0018,0.2520,44.7301,353.0720,1.0620,20.4392,0.8073,0.1333,2vyt
2.8000,-0.8188,-1.1965,-0.0032,0.0420,47.3710,537.9728,1.5836,5.1201,2.4209,0.4000,2bza
2.8400,-1.0048,-0.7998,0.0000,0.2100,39.7772,562.1829,6.0716,0.0000,6.8152,0.2500,3moh
2.8900,-1.4249,-1.3372,-0.0042,0.3360,54.5711,748.8432,1.0196,41.1716,0.3904,0.1111,1cet
2.9000,-2.1020,-1.9231,-0.0083,0.5040,80.4932,1208.0055,4.4245,9.0807,7.1640,0.0625,3c2u
2.9300,-0.9634,-1.1025,-0.0015,0.0420,38.2373,536.0855,1.8715,3.7085,2.9716,0.4000,1tng
2.9600,0.0964,-1.1231,-0.0000,0.0840,46.2026,795.6189,3.5211,0.0000,2.2109,0.3333,3g34
2.9800,-0.6917,-1.5519,0.0000,0.4200,45.9379,957.1688,1.7595,2.4043,2.7997,0.1250,3djq
3.0000,-1.1509,-0.7608,-0.0075,0.0840,64.0913,516.8699,4.2399,0.0000,7.4677,0.2500,2v3u
3.0300,-0.7732,-1.1277,0.0000,0.0000,46.6904,697.8089,3.5367,0.0000,4.6021,0.3333,1ogd
3.0400,-1.5069,-2.1920,0.0000,0.4200,86.7148,1070.9855,3.4266,16.3313,5.0095,0.1111,3t1m
3.0700,-0.6558,-0.3931,0.0000,0.0000,34.7691,420.8061,3.7188,0.0000,5.1056,0.5000,3mof
3.1000,-0.5941,-0.7064,-0.0093,0.0840,26.1160,515.9595,1.4110,16.3906,2.0000,0.2500,3buf
3.1500,-1.1711,-1.6281,-0.0001,0.0420,78.7066,921.1265,5.4340,0.0000,7.9690,0.2500,1e6q
3.1800,-0.8664,-0.9155,-0.0048,0.1260,31.5474,600.8726,0.7004,26.3283,1.5073,0.2000,3bug
3.2200,-1.3817,-1.2772,-0.0000,0.0420,80.9791,866.6215,7.7136,0.0000,9.6786,0.1818,1e6s
3.2200,-0.1482,-0.7743,0.0000,0.0000,29.0330,573.0389,2.2994,0.0000,3.9833,0.4000,2ri9
3.2500,-0.9503,-1.3608,-0.0075,0.0000,61.2744,589.0704,2.5788,3.6641,4.3573,0.4000,1v2j
3.2800,-0.8000,-1.7162,-0.0070,0.0000,61.6900,865.7314,0.6354,11.1526,0.7476,0.6667,1bcu
3.2900,-3.4003,-5.0677,0.0000,1.1340,212.8626,2856.2424,13.1337,0.9687,17.2838,0.0328,4f20
3.3000,-1.5775,-2.5721,0.0000,0.6300,152.4747,1628.5923,8.6499,2.6350,8.0543,0.0769,3aaq
3.3300,-1.7982,-2.1408,0.0000,0.5880,83.1322,1371.1288,7.8505,0.0000,7.7914,0.0952,1jlr
3.3500,-0.7256,-0.7990,0.0000,0.0840,44.9416,665.5667,5.2385,4.0617,5.2495,0.3333,3pwk
