pbindaff,Hydrophobic,Ent,PDB
5.82,-1.6746,0.9240,11gs
7.57,-1.9786,0.5040,1a0q
6.40,-2.1994,0.7140,1a1c
6.00,-1.5489,0.6720,1a1e
9.89,-1.7437,0.3780,1a42
8.00,-0.9700,0.3360,1a4k
6.66,-1.6680,0.4200,1a4r
5.92,-1.8724,0.5460,1a4w
9.70,-2.4161,0.6720,1a7x
5.52,-1.0800,0.0420,1a8i
7.85,-3.4440,1.2180,1a94
5.70,-0.9616,0.1260,1a99
6.92,-3.2912,0.8400,1a9m
8.40,-2.3112,0.7560,1aaq
5.42,-1.3786,0.0000,1abf
6.74,-2.2786,0.0840,1add
5.36,-1.2260,0.5880,1adl
6.00,-0.7380,0.2520,1ado
3.10,-1.5787,0.0840,1af2
1.82,-1.1946,0.2940,1af6
6.62,-1.3219,0.5880,1afk
6.28,-1.2797,0.5880,1afl
12.00,-2.1948,0.5460,1agm
2.50,-1.5550,0.0840,1ai4
4.09,-1.1843,0.0000,1ai7
4.82,-2.1115,0.2520,1aid
5.92,-1.6187,0.5460,1aj6
3.87,-1.6315,0.3780,1aj7
2.63,-1.5452,0.0840,1ajn
7.72,-3.4691,0.5880,1ajv
7.91,-2.8424,0.5880,1ajx
6.52,-0.9195,0.1260,1alw
4.54,-1.2821,0.4200,1amw
5.82,-1.5511,0.0000,1apb
9.00,-1.6004,0.5880,1apv
6.28,-1.6307,0.4200,1atl
4.05,-2.2185,0.4200,1awi
3.13,-1.0057,0.0840,1ax0
3.20,-0.6371,0.0420,1axz
7.12,-1.3317,0.5880,1b05
6.70,-2.6001,0.6300,1b0h
7.39,-1.3938,0.5880,1b11
7.03,-2.3106,0.6720,1b1h
4.54,-2.7247,0.6720,1b2h
7.10,-2.0426,0.7140,1b32
6.60,-1.4127,0.5880,1b38
6.89,-2.5157,0.6300,1b3f
6.70,-1.9627,0.6300,1b3g
6.21,-2.4729,0.6300,1b3h
5.89,-1.5179,0.5460,1b3l
7.28,-2.5986,0.6300,1b40
5.28,-2.0078,0.5040,1b46
5.46,-1.7427,0.6300,1b4h
5.23,-1.8764,0.6300,1b4z
7.37,-1.5088,0.5880,1b51
7.12,-1.8314,0.5880,1b52
7.40,-1.4491,0.6720,1b55
6.59,-1.9132,0.6300,1b58
6.01,-1.8881,0.5880,1b5h
7.05,-1.8487,0.6300,1b5i
7.43,-1.5614,0.6720,1b5j
7.82,-2.2456,0.6300,1b6h
7.92,-3.6812,0.5460,1b6j
8.74,-3.0615,0.5040,1b6k
8.30,-2.7197,0.2940,1b6l
8.40,-3.0668,0.5460,1b6m
1.30,-0.1539,0.1680,1b74
10.52,-1.6348,0.0840,1b8n
7.85,-2.0512,0.2520,1b8y
7.70,-3.4454,1.2180,1bai
6.85,-1.2618,0.0000,1bap
8.70,-0.8529,0.0420,1bcd
6.34,-3.1467,0.6720,1bdq
8.57,-1.8008,0.0000,1bgq
4.38,-1.8281,0.8400,1bhf
6.84,-2.4444,0.4200,1bhx
9.34,-1.4856,0.2100,1bn1
9.89,-1.5927,0.1680,1bn3
9.31,-1.4854,0.2940,1bn4
10.00,-1.5800,0.1680,1bnn
9.49,-1.9381,0.2940,1bnq
9.80,-1.6123,0.1680,1bnt
9.70,-1.6728,0.1260,1bnu
8.77,-1.9330,0.2100,1bnv
9.08,-1.6458,0.2100,1bnw
5.40,-1.3435,0.2520,1bp0
5.22,-0.2582,0.0000,1bq4
3.22,-1.4895,0.1260,1br6
9.30,-3.8009,0.4200,1bv7
8.96,-3.9180,0.4200,1bv9
7.60,-3.5854,0.4200,1bwa
8.42,-3.9827,0.4200,1bwb
7.38,-2.3559,0.9240,1bxq
3.40,-2.7820,0.5040,1bxr
5.00,-2.1774,0.4200,1byk
4.92,-1.9538,0.3360,1bzc
6.77,-1.4886,0.7560,1bzh
4.66,-1.5137,0.0840,1bzj
8.34,-1.8654,0.2520,1bzy
7.63,-1.1760,0.0840,1c1r
8.25,-1.2858,0.0840,1c1u
7.64,-1.5639,0.0840,1c1v
3.68,-1.1672,0.0000,1c3x
10.37,-2.5832,0.3360,1c4u
10.80,-2.6932,0.3360,1c4v
6.96,-1.7162,0.1260,1c5c
4.70,-1.2081,0.0420,1c5n
3.49,-1.0551,0.0000,1c5o
4.68,-0.6920,0.0000,1c5p
6.36,-0.8449,0.0420,1c5q
6.00,-1.0712,0.0420,1c5s
4.10,-0.9344,0.0420,1c5t
6.68,-1.2947,0.0420,1c5x
4.20,-1.3089,0.0420,1c5y
4.01,-0.7163,0.0000,1c5z
10.30,-3.9262,0.5040,1c70
4.85,-1.2557,0.0420,1c83
5.00,-1.6619,0.0420,1c84
4.70,-1.3632,0.0000,1c86
4.20,-1.6357,0.0000,1c87
5.29,-1.6523,0.0000,1c88
7.72,-2.7533,0.3360,1caq
6.35,-1.7347,0.2100,1cbx
4.74,-0.9755,0.0000,1ce5
4.96,-0.9441,0.2100,1cea
6.00,-0.9878,0.0840,1ceb
2.89,-1.3664,0.3360,1cet
6.87,-2.1041,0.8820,1cgl
7.00,-1.6491,0.4200,1ch8
9.43,-1.5555,0.1260,1cil
8.82,-1.4563,0.0420,1cim
8.73,-1.7542,0.0840,1cin
7.44,-2.4452,0.3360,1ciz
7.72,-1.3838,0.6720,1cnw
7.37,-1.8486,0.5880,1cnx
7.85,-1.3786,0.7560,1cny
6.66,-2.1560,0.2520,1cps
6.52,-1.6915,0.5460,1ct8
4.52,-1.9922,0.0840,1ctt
11.92,-2.0611,0.0840,1ctu
6.00,-1.5197,0.4200,1d2e
9.09,-2.7807,0.4620,1d3d
7.39,-2.5651,0.6300,1d3p
9.22,-3.9548,0.4620,1d4k
8.77,-2.9135,0.3780,1d4l
6.30,-2.0840,0.0840,1d4p
11.10,-3.3319,0.5040,1d4y
1.82,-0.9759,0.1260,1d5r
6.17,-2.3386,0.2940,1d6v
5.96,-2.7948,0.2940,1d6w
3.60,-0.8718,0.1260,1d7i
9.11,-2.0133,0.2940,1d9i
9.26,-4.2975,0.2100,1db1
6.70,-1.6474,0.3780,1dfo
6.55,-2.0613,0.3780,1dhj
10.66,-4.4649,0.7980,1dif
6.49,-1.2680,0.4200,1dl7
9.55,-3.2918,0.3360,1dmp
8.00,-1.2135,0.2520,1dqn
11.05,-2.7793,0.2520,1dqx
7.40,-1.3641,0.0000,1drj
6.82,-1.4642,0.0000,1drk
