pbindaff,Hydrophobic,Ent,PDB
9.30,-0.7654,0.0840,2iw4
4.45,-1.6303,0.2940,2wbg
6.08,-1.5917,0.2940,2wc3
5.29,-1.7168,0.2940,2wc4
6.10,-2.3211,0.5040,2yay
5.14,-2.0479,0.2520,2yaz
3.85,-1.5720,0.0840,2yb0
4.15,-1.5760,0.2520,2xg9
7.26,-1.2562,0.0000,2xib
7.20,-1.7286,0.1260,2xii
8.34,-4.1093,0.7980,2xye
8.44,-4.0170,0.7980,2xyf
6.40,-1.9890,0.5880,2y8c
6.63,-2.2725,0.2940,2yfe
8.12,-1.6155,0.1680,2yi0
8.32,-1.7258,0.2520,2yi7
3.92,-3.6400,1.3440,2yim
2.78,-1.5413,0.1260,2yiv
3.16,-1.6404,0.0840,2ymd
7.66,-1.5079,0.0420,2yme
2.92,-0.8642,0.2520,3alt
2.96,-1.7147,0.2520,3dhv
4.72,-1.4694,0.0420,3ebo
5.91,-1.6418,0.0840,3ebp
8.89,-3.0484,0.5880,3ekp
10.59,-2.9110,0.5880,3ekt
9.41,-2.9446,0.5880,3ekv
7.96,-4.0732,0.8400,3ekw
9.41,-3.3326,0.4620,3ekx
9.64,-3.9473,0.8400,3el1
7.17,-3.5588,0.5460,3el4
7.72,-3.5938,0.5040,3el5
8.40,-3.3637,0.8400,3el9
5.43,-0.6024,0.1260,3ng4
6.49,-1.7993,0.5880,3nw3
3.48,-1.7749,0.0000,3nyd
7.62,-3.3421,1.5960,3o4k
6.68,-1.9401,0.2520,3o75
5.68,-1.8836,0.2100,3oil
6.74,-2.0096,0.2100,3oim
6.36,-1.9794,0.2100,3oku
6.23,-1.8300,0.2100,3okv
9.19,-1.7158,0.2940,3ozg
4.48,-2.3878,0.2520,3p17
7.25,-1.9370,0.0840,3p3r
7.59,-2.8570,0.0420,3p3s
7.24,-2.3799,0.2940,3p3t
9.28,-2.9281,0.7980,3p8n
8.72,-2.7107,0.7980,3p8o
5.74,-1.1965,0.3780,3pb7
5.24,-1.1210,0.1260,3pb8
6.58,-1.3183,0.0840,3pb9
7.02,-1.8194,0.3780,3pbb
6.44,-2.0054,0.5880,3pfp
4.02,-2.2197,0.2940,3po1
3.35,-0.7256,0.0840,3pwk
5.33,-1.0980,0.0840,3q1x
4.31,-1.2187,1.3860,3q5u
7.57,-2.3728,0.2940,3q6w
4.97,-0.9064,0.0000,3qbc
8.77,-1.6339,0.1680,3qdd
4.17,-3.7321,1.0500,3qfd
6.37,-1.4660,0.5880,3qlm
5.82,-1.5846,0.0840,3qqs
4.82,-1.1355,0.2100,3vd4
4.00,-1.2009,0.2100,3vd9
2.52,-1.5181,0.0420,3vdb
8.27,-2.1532,0.1680,4djy
6.52,-1.7617,0.0840,4dko
5.72,-1.7199,0.0840,4dkp
6.60,-2.2700,0.1680,4dkq
6.52,-2.0781,0.1680,4dkr
4.94,-0.6960,0.4200,4dmw
7.29,-1.7354,0.0840,4do4
5.83,-1.3923,0.0420,4do5
5.37,-1.6527,0.4200,3qt6
4.13,-2.2295,0.2520,3qto
4.65,-2.4366,0.2520,3qtv
6.45,-0.6352,0.7980,3qw5
4.26,-2.3290,0.2520,3qwc
4.20,-2.3033,0.2520,3qx5
4.84,-0.7292,0.6720,3r0y
4.72,-1.2254,0.0840,3r6c
8.36,-2.3805,0.2940,3r7o
4.82,-0.7134,0.1680,3r88
9.43,-1.3727,0.2520,3rbu
7.40,-1.7403,0.1260,3re4
4.55,-1.5737,0.0000,3rr4
8.80,-4.0452,1.4280,3rt4
4.92,-1.5577,0.2100,3rv8
8.60,-3.1998,0.5880,3s43
8.49,-3.2155,0.5880,3s45
9.64,-3.2523,0.5880,3s54
9.62,-3.6202,0.5460,3s56
7.41,-1.7764,0.0420,3s5y
7.35,-1.3870,0.2940,3s6t
7.30,-1.8382,0.2940,3s8x
6.82,-1.2778,0.2940,3s9t
7.59,-1.8774,0.4200,3sap
6.57,-1.6842,0.3360,3sax
7.28,-1.7733,0.2940,3sbh
7.92,-1.7615,0.2940,3sbi
6.06,-0.7761,0.0840,3sfg
5.59,-2.2719,0.2520,3sha
5.72,-2.4162,0.2520,3shc
4.16,-2.3963,0.2520,3si3
3.88,-2.4787,0.2520,3si4
3.86,-1.7116,0.4200,3spf
6.79,-2.4988,0.5040,3su0
6.68,-2.3893,0.5040,3su1
4.35,-2.4880,0.5040,3su2
9.13,-2.8459,0.2940,3su3
6.26,-3.1083,0.2940,3su4
5.58,-2.6501,0.2940,3su5
6.02,-2.6550,0.2940,3su6
9.08,-2.9581,0.3780,3sue
7.56,-3.0010,0.3780,3suf
6.21,-2.7731,0.3780,3sug
4.15,0.2391,0.3780,3sur
4.15,-1.9257,0.0420,3sus
7.85,-1.9315,0.3360,3sut
8.52,-1.9915,0.3360,3suu
4.55,-1.7348,0.0840,3suv
4.70,-1.3203,0.0420,3suw
4.19,-2.1154,0.2520,3sv2
8.60,-2.6884,0.2520,3sxf
4.57,-1.1806,0.1260,3sym
5.10,-1.5158,0.0840,3syr
3.04,-1.2361,0.2100,3t08
3.80,-1.2674,0.0420,3t09
4.30,-1.1782,0.2100,3t0b
2.37,-1.5776,0.0420,3t0d
8.00,-2.8166,0.2520,3t0x
3.66,-1.2962,0.0420,3t2q
10.23,-2.9978,0.5880,3t3c
8.60,-2.5221,0.2100,3t3u
6.36,-2.8886,0.5880,3t6b
5.08,-0.8892,0.0000,3tb6
6.30,-1.8227,0.5040,3tei
4.70,-2.1464,1.4700,3tg5
5.38,-2.3164,0.4200,3tif
5.27,-2.7763,0.5880,3tkw
8.52,-1.1543,0.1260,3ttm
7.84,-0.9675,0.2940,3ttn
3.92,-0.8074,0.0000,3twp
5.44,-2.6498,0.0420,3u10
7.11,-2.0740,0.0840,3u15
9.00,-3.2473,0.4620,3u6h
7.07,-2.6991,0.4200,3u7k
7.28,-2.1004,0.3360,3u7l
7.45,-2.3267,0.4200,3u7m
7.95,-2.1578,0.4200,3u7n
8.43,-3.5044,0.5880,3u7s
4.44,-2.0787,0.3780,3u81
4.62,-1.1192,0.5880,3u90
4.38,-1.7908,0.3360,3u9q
5.54,-2.6788,0.5460,3ubd
6.00,-1.7443,0.0420,3ucj
7.10,-3.0207,0.4200,3udd
2.85,-0.9368,0.0000,3udh
5.24,-2.0972,0.4200,3ueu
5.89,-2.2830,0.5040,3uev
6.31,-2.5309,0.5880,3uew
6.92,-2.7272,0.6720,3uex
8.25,-0.8771,0.4620,3ug2
4.63,-1.6376,0.2520,3uj9
5.10,-2.2691,0.3780,3ujb
4.59,-1.5932,0.2520,3ujc
4.69,-1.5286,0.2520,3ujd
6.52,-1.3563,0.2100,3uo4
7.31,-1.5883,0.2100,3uod
7.40,-1.8112,0.3360,3up2
5.30,-1.6911,1.0080,3upv
9.00,-2.0095,1.2180,3uri
10.92,-3.3545,0.5880,3utu
5.20,-0.9464,0.0000,3uu1
4.51,-1.6194,0.0420,3uug
7.96,-1.1580,0.1260,3uuo
4.34,-1.9502,1.0500,3uvx
7.77,-1.8543,0.2940,3uw4
7.85,-1.8620,0.2940,3uw5
4.41,-1.2677,0.0000,3uxd
4.93,-1.6791,0.0420,3uxk
5.57,-1.6656,0.0000,3uxl
7.22,-1.2520,0.0000,3uz5
5.55,-1.1063,0.0000,3uzj
6.43,-2.2442,0.6300,3v3l
6.60,-2.0588,0.7980,3v3q
8.55,-3.4481,0.2940,3v51
8.96,-2.6105,0.2100,3v5p
8.22,-2.7260,0.3780,3v5t
5.54,-3.1258,0.0840,3v78
7.21,-1.8460,0.2940,3v7t
8.57,-1.7449,0.3780,3v7x
8.07,-1.6375,0.1680,3vbd
4.96,-1.5178,0.2100,3veh
9.34,-3.4623,0.6720,3vf5
9.10,-3.6401,0.6720,3vf7
9.19,-3.1038,0.6720,3vfa
9.04,-3.6280,0.6720,3vfb
6.24,-1.3000,0.0000,3vh9
7.40,-1.3675,0.0000,3vha
8.89,-1.7258,0.0000,3vhc
9.28,-1.2130,0.0000,3vhd
4.60,-1.9554,0.2940,3vhk
6.02,-0.8214,0.2520,3zq9
5.12,-2.2723,0.5880,3zso
4.96,-2.1697,0.5460,3zsq
3.28,-1.6283,0.3780,3zsx
3.23,-1.7616,0.2940,3zsy
2.84,-1.8246,0.0420,3zt2
2.86,-1.7850,0.0420,3zt3
5.92,-1.3285,0.0000,3zv7
8.40,-2.8179,0.2100,3zxz
4.85,-1.1368,0.2100,3zyf
8.89,-2.4163,0.1680,3zze
8.38,-3.2192,0.6720,4a6b
7.92,-4.2201,0.6720,4a6c
8.00,-2.6820,0.1680,4a6l
8.70,-2.2655,0.2520,4a7i
5.76,-1.7214,0.4620,4a95
4.12,-2.2660,0.5040,4aa1
7.70,-2.0470,0.3360,4acc
6.20,-1.4297,0.2520,4ad2
4.62,-1.5850,0.2520,4ad3
8.30,-1.3889,0.0000,4afg
9.54,-2.8363,0.2520,4afh
8.96,-2.6201,0.2520,4ag8
10.70,-2.9192,0.2520,4agc
3.65,-1.0577,0.0840,4agl
3.98,-1.2052,0.2100,4agm
3.97,-0.9860,0.2940,4agn
4.81,-1.7854,0.5040,4ago
4.69,-1.5840,0.4620,4agp
5.01,-1.4689,0.3780,4agq
2.92,-1.0747,0.0000,4ai5
3.66,-0.9296,0.0000,4aia
3.89,-0.9055,0.3780,4aj4
3.68,-1.1237,0.2520,4aje
3.55,-0.7950,0.3360,4aji
3.80,-1.6651,0.2100,4ajl
7.28,-2.3859,0.0840,4alx
8.40,-2.2742,0.1680,4aoi
7.96,-2.4526,0.1260,4ap7
5.40,-1.7870,0.9660,4aph
7.19,-2.4952,0.2940,4app
6.17,-1.0644,0.2520,4aq4
6.05,-1.6474,0.2940,4ara
5.89,-1.6342,0.2940,4arb
7.13,-1.5445,0.2520,4arw
6.40,-0.8954,0.0840,4as6
9.28,-3.3555,0.3360,4asd
11.00,-3.4997,0.3780,4ase
7.55,-2.0471,0.2100,4asj
7.74,-1.6129,0.2940,4auy
6.98,-1.5992,0.3780,4av0
7.03,-1.5576,0.2940,4av4
7.21,-1.6215,0.3360,4av5
7.23,-1.4366,0.5040,4avh
7.63,-1.3351,0.6300,4avi
7.44,-2.0890,0.3780,4avj
9.57,-2.6516,0.5040,4ax9
3.33,-2.3583,0.1680,4b0b
7.30,-3.1988,0.6300,4b1j
7.89,-2.3127,0.3360,4b5d
7.00,-2.4123,0.2100,4b6o
7.13,-2.6162,0.1260,4b6p
5.85,-2.2775,0.2100,4b6r
6.01,-1.9773,0.1260,4b6s
7.21,-2.0131,0.4200,4b73
7.66,-2.6363,0.5040,4b74
4.54,-1.2165,0.2100,4b76
7.95,-1.0823,0.3360,4b7j
9.64,-1.6517,0.3360,4b7r
8.05,-1.6409,0.5040,4b8y
6.17,-2.0004,0.2100,4b9k
4.17,-3.4047,1.3440,4b9w
7.62,-0.8350,0.2520,4dbm
5.10,-1.6973,0.4200,4dcs
