pbindaff,Hydrophobic,Ent,PDB
2.00,-0.7367,0.5460,3c2f
2.00,-0.9134,0.2520,2r58
2.00,-0.4433,0.0420,3g2y
2.05,-0.9809,0.4200,1jfh
2.06,-0.8202,0.2100,1qq9
2.07,-1.3021,0.0420,3ao4
2.12,-1.7330,0.3780,2w8w
2.17,-0.6903,0.1260,3gqz
2.21,-1.0241,0.0000,1x8d
2.22,-1.0292,0.0000,2aac
2.22,-1.9151,0.3360,1m0n
2.22,-1.7378,1.7220,1icj
2.23,-0.7431,0.1260,2igv
2.23,-1.5986,0.0420,3ao5
2.23,-1.5658,0.0840,1ajp
2.23,-1.4438,0.0420,3i3b
2.26,-1.2212,0.0000,3ao1
2.26,-0.4211,0.0840,1ew8
2.28,-1.1860,0.0840,3ip8
2.30,-1.2245,0.2100,3dyo
2.30,-1.3395,0.0840,3pcg
2.31,-2.1140,0.3780,1m0o
2.35,-0.6787,0.0840,3gtc
2.36,-0.2984,0.0000,3g2z
2.37,-1.0720,0.2520,6rnt
2.38,-3.4498,0.6300,3f6e
2.39,-1.3727,0.3780,1f73
2.40,-1.1553,0.0840,3l7b
2.44,-0.6094,0.0840,1oba
2.44,-1.2762,0.0840,3l7c
2.44,-1.1720,0.0420,2i2b
2.46,-1.2903,0.0840,3l79
2.47,-0.7407,0.1260,1utl
2.47,-0.6881,0.0000,1tok
2.48,-0.7944,0.0000,1gyx
2.50,-1.5550,0.0840,1ai4
2.51,-0.8688,0.1260,3g30
2.52,-0.7069,0.4200,3bf1
2.52,-0.2536,0.0420,3gr2
2.55,-1.1077,0.5040,1kf0
2.55,-0.6189,0.0000,3ovn
2.57,-1.0170,0.2520,1gwv
2.57,-0.9246,0.0420,3kgp
2.59,-0.8586,0.0840,3gvb
2.60,-0.7947,0.2520,2r5a
2.62,-0.5969,0.0000,3f37
2.62,-1.2886,0.0000,3f38
2.63,-1.5452,0.0840,1ajn
2.66,-1.5502,0.5040,3a1e
2.67,-1.0858,0.3780,3lvw
2.68,-1.1687,0.2100,1o8b
2.69,-1.0152,0.0840,3elc
2.70,-0.9511,0.0420,2uyn
2.70,-0.9067,0.0840,3gsg
2.72,-0.9945,0.2100,1pfu
2.72,-0.8539,0.1260,2rkd
2.74,-0.8149,0.2520,2vyt
2.75,-1.2712,0.0420,1rql
2.77,-0.9525,0.2940,2bet
2.80,-0.7263,0.0420,2bza
2.81,-0.0434,0.2520,3djx
2.82,-0.8523,0.0420,3ppr
2.84,-0.9658,0.2100,3moh
2.86,-1.4008,0.7980,3qx8
2.89,-1.0974,0.0420,3f36
2.89,-1.4041,0.3360,1cet
