pbindaff,Hydrophobic,Ent,PDB
2.0000,-0.8847,0.5460,3c2f
2.1200,-2.2451,0.3780,2w8w
2.2100,-1.0837,0.0000,1x8d
2.2300,-1.7471,0.0840,1ajp
2.2600,-1.1906,0.0000,3ao1
2.3000,-1.1734,0.2100,3kgq
2.3100,-2.2982,0.3780,1m0o
2.3700,-0.9772,0.2520,6rnt
2.4000,-1.4413,0.0840,3l7b
2.4700,-0.7650,0.0000,1tok
2.5200,-0.7979,0.4200,3bf1
2.5500,-1.3510,0.1260,3b3s
2.6000,-0.9219,0.2520,2r5a
2.6700,-1.1143,0.3780,3lvw
2.7200,-1.1860,0.2100,1pfu
2.7700,-1.0918,0.2940,2bet
2.8200,-0.8435,0.1260,3lka
2.8500,-0.9368,0.0000,3udh
2.8900,-0.7065,0.0840,1ugp
2.9200,-0.8642,0.2520,3alt
2.9600,-1.3894,0.1260,1f4e
2.9600,-0.6545,0.0840,4dst
3.0000,-1.0346,0.1260,1ws4
3.0100,-0.9291,0.0840,1utm
3.0300,-0.7571,0.0840,2ha3
3.0500,-1.9661,0.3360,1uj5
3.0900,-0.9989,0.0420,1ugw
3.1100,-1.1047,0.0000,3c2r
3.1600,-1.4251,0.0840,3f34
3.2000,-0.7979,0.0420,1axz
3.2200,-1.5717,0.5460,1k1y
3.2300,-1.1209,0.2100,1px4
3.2600,-0.1688,0.5040,3t1l
3.2800,-1.7892,0.4200,3tfu
3.3000,-0.6300,0.2100,1phw
3.3100,-2.1071,0.2940,1pzp
3.3300,-2.3583,0.1680,4b0b
3.3700,-0.8088,0.0420,1tnh
3.3900,-1.3947,0.1260,1toj
3.4000,-2.1268,0.5880,1m83
3.4000,-0.3832,0.1260,3d8y
3.4200,-0.6150,0.2520,2w08
3.4600,-0.6932,0.2100,1moq
3.4800,-0.8469,1.0080,3gx0
3.5100,-1.5739,0.4200,1gz9
3.5200,-3.0293,0.3780,3lcu
3.5500,-1.9373,0.4620,2cle
3.5800,-1.1495,0.0000,3dx1
3.6000,-1.1615,0.2520,2fzk
3.6000,-0.5470,0.2100,3b3x
3.6100,-1.4815,0.1260,3sk2
3.6500,-1.0577,0.0840,4agl
3.6600,-1.5536,0.0840,3pcn
3.6800,-2.3796,0.3780,3ioc
3.7000,-0.5844,0.0840,1bcj
3.7000,-1.2735,0.2100,1wht
3.7100,-0.7557,0.2520,2vfk
3.7200,-1.7298,0.6300,2am4
3.7400,-0.9458,0.0000,1f5k
3.7600,-0.2797,0.1260,3d6q
3.7800,-1.9762,0.3360,3nq3
3.8000,-1.5083,0.2100,2hb1
3.8200,-3.6072,1.3020,1hn4
3.8500,-0.8442,0.0420,2wzs
3.8700,-1.4966,0.3780,1aj7
3.8900,-1.3774,0.1260,2ctc
3.9000,-2.6009,0.9660,1slg
3.9000,-1.6665,0.1260,2vuk
3.9200,-1.5315,0.0840,1pr5
3.9300,-0.9621,0.5880,2cbz
3.9600,-1.2166,0.0000,2fpz
3.9800,-2.2016,0.5040,1v11
4.0000,-1.2849,0.0000,1lgw
4.0000,-0.7519,0.2520,2ot1
4.0000,-1.0164,0.3360,3ijh
4.0100,-4.3387,0.6720,3fzn
4.0300,-1.1212,0.6300,2x96
4.0500,-1.1555,0.3780,1r4w
4.0500,-1.3188,0.1680,3fjz
4.0600,-1.6642,0.2520,8a3h
4.0800,-1.2573,0.4620,3kwa
4.1000,-1.0894,0.0420,1c5t
4.1100,-0.2091,0.2520,1p19
4.1200,-1.7309,0.4200,3a1d
4.1300,-2.1426,0.2100,3ozt
4.1500,-1.2812,0.5880,2vt3
4.1500,0.2391,0.3780,3sur
4.1700,-3.7321,1.0500,3qfd
4.1900,-1.3139,0.1260,3b3w
4.2000,-1.2864,0.0420,1c5y
4.2000,-2.3033,0.2520,3qx5
4.2200,-0.8290,0.2520,1pzi
4.2300,-1.2720,0.0420,2jke
4.2500,-1.2402,0.0000,1li3
4.2800,-0.3532,0.0420,2vzr
4.2900,-1.1628,0.0000,1v2l
4.3000,-0.5676,0.2520,1det
4.3000,-0.8759,0.0840,3moe
4.3100,-2.1111,0.2520,2tpi
4.3300,-2.9315,0.5040,1olx
4.3400,-1.9502,1.0500,3uvx
4.3600,-1.8189,0.3360,1dy4
4.3800,-0.5703,0.1680,3b24
4.3900,-0.5650,0.2520,3djo
4.4100,-0.2372,0.0840,1no6
4.4100,-1.2677,0.0000,3uxd
4.4300,-1.1862,0.1680,2pu2
4.4300,-0.9157,0.1260,3pxf
4.4600,-2.9270,1.5120,2v86
4.4800,-2.5073,0.3780,1qan
4.4900,-1.2448,0.4200,1hi4
4.4900,-0.8520,0.1260,3kmy
4.5100,-0.9642,0.0000,1gi7
4.5200,-2.1073,0.0840,1ctt
4.5200,-1.6107,0.0420,2ra6
4.5300,-0.7220,0.0840,3h30
4.5400,-1.8544,0.6300,1szd
4.5500,-3.0715,0.5880,3b2q
4.5500,-1.7348,0.0840,3suv
4.5900,-2.1702,0.1260,3f3t
4.6000,-1.0111,0.1680,1pa9
4.6000,-2.0731,0.4200,2v54
4.6000,-3.5991,0.6720,3d7k
4.6200,-0.1758,0.3780,1f4f
4.6200,-2.2898,0.8820,3f5k
4.6600,-1.4789,0.0840,1bzj
4.6600,-1.3328,0.2100,3ddf
4.6800,-1.7385,0.2520,2nsl
4.6900,-1.5840,0.4620,4agp
4.7000,-1.3088,0.1260,2fu8
4.7000,-0.8517,0.2100,3kiv
4.7100,-1.5295,0.0840,2qrh
4.7200,-1.4247,0.1260,3f6g
4.7400,-1.8850,0.4200,2e2p
4.7500,-1.1285,0.1260,3g2j
4.7700,-1.4439,0.8400,1str
4.7700,-1.6453,1.1340,3iqu
4.7900,-1.4683,0.1260,3g2k
4.8000,-1.3408,0.0840,3dnd
4.8200,-1.8342,0.0420,1v1j
4.8200,-1.2251,0.0000,2pwg
4.8300,-1.2407,0.4200,3a1s
4.8500,-1.8279,0.9240,1qji
