pbindaff,Hydrophobic,Ent,PDB
2.00,-1.2879,0.0840,3pce
2.12,-0.8327,0.0000,3gv9
2.16,-1.1937,0.2520,4tim
2.18,-1.2477,0.1260,3l7d
2.27,-0.7228,0.0840,1uto
2.28,-1.3164,0.0420,1ps3
2.30,-1.0014,0.2100,3kgq
2.30,-1.2022,0.0000,3mhw
2.35,-0.8654,0.2520,1qi0
2.39,-0.4520,0.5460,1nwl
2.40,0.0337,0.2520,3dxg
2.52,-0.5087,0.1680,3mfv
2.55,-1.3123,0.1260,3b3s
2.62,-1.4153,0.1680,3fk1
2.70,-0.5781,0.2940,2fzc
2.70,-0.4672,0.0840,3bra
2.74,-0.3923,0.2100,2qwb
2.77,-1.0210,0.1680,3fcq
2.82,-0.8597,0.1260,3lka
2.96,-1.2938,0.0840,3imc
3.03,-0.9341,0.0840,3adv
3.08,-1.2647,0.0420,1y1z
3.10,-1.4183,0.2100,2xdl
3.18,-1.1463,0.3780,1lbk
3.28,-0.6499,0.0000,1bcu
3.30,-0.6333,0.0840,1d7j
3.52,-0.7701,0.0000,1jys
3.66,-0.7969,0.1260,2v00
3.66,-1.4906,0.0840,3pcn
3.70,-1.3370,0.2520,1loq
3.70,-1.2326,0.0420,3n7a
3.72,-0.7685,0.6300,2r23
3.77,-1.0919,0.2100,2v2h
3.83,-1.0580,0.0000,2osf
3.90,-1.1262,0.4620,2rkm
3.93,-0.7539,0.5040,3jvk
3.96,-1.5800,0.6720,2wec
4.03,-1.5684,0.6300,2x96
4.05,-1.8555,0.0840,2w66
4.08,-0.8264,0.1260,1n2v
4.11,-1.1467,0.1260,2exm
4.13,-1.9908,0.2100,3ozt
4.19,-1.2240,0.0420,3cft
4.19,-1.4011,0.1260,3f3a
4.21,-1.8970,0.5460,2qmj
4.22,-0.8649,0.2520,3f80
4.30,-1.7063,0.5040,1a30
4.30,-1.6058,0.2520,1w3k
4.30,-3.0488,0.2940,1z95
4.33,-1.9401,0.1260,3l7a
4.35,-0.9601,0.0840,1sv3
4.43,-1.2134,0.1680,2pu2
4.47,-2.5084,0.2940,3hec
4.53,-0.5982,0.0840,3h30
4.54,-0.9522,0.1680,3iub
4.64,-1.3312,0.0420,2yhd
4.72,-0.9008,0.3780,1vso
4.76,-1.1793,0.1260,1q8t
4.76,-2.0633,0.0840,3acw
4.77,-1.2236,0.8400,1str
4.85,-0.6450,0.1680,2qwd
4.85,-1.1904,0.0420,3cj2
4.86,-1.6595,0.2100,2brb
4.89,-1.1962,0.1260,1p1q
4.89,-1.3969,0.0420,2j77
4.89,-1.1978,0.0420,3d4z
4.94,-0.8010,0.2940,2gss
5.10,-0.9518,0.0000,3gy4
5.15,-0.5606,0.2520,1o0m
5.15,-1.1020,0.0840,1pb8
5.18,-1.2100,0.1260,1ft7
5.20,-1.4842,0.5460,3ov1
5.22,-2.5348,1.1760,1zea
5.22,-1.1792,0.0420,2zxd
5.26,-1.4590,0.1680,2qft
5.29,-1.6523,0.0000,1c88
5.32,-1.9783,0.2940,1lvu
5.36,-1.2261,0.5880,1adl
5.37,-2.1414,0.0000,1gpk
5.40,-0.9757,0.2100,1trd
5.60,-1.8744,0.3780,2wca
5.61,-1.3196,0.0420,3u5j
5.62,-1.4870,0.3780,2bmk
5.64,-2.8230,0.2100,3n86
