pbindaff,Hydrophobic,Ent,PDB
2.0000,-1.5088,0.0840,3pce
2.1600,-1.1818,0.2520,4tim
2.2200,-1.8746,1.7220,1icj
2.2300,-1.6257,0.0420,3ao5
2.2800,-1.3177,0.0420,1ps3
2.3000,-1.3123,0.0840,3pcg
2.3500,-0.7647,0.0840,3gtc
2.3900,-1.0388,0.3780,1f73
2.4400,-1.3531,0.0420,2i2b
2.4800,-0.9117,0.0000,1gyx
2.5200,-0.8029,0.1680,3mfv
2.5700,-1.0159,0.2520,1gwv
2.6200,-1.4620,0.1680,3fk1
2.7000,-0.7297,0.2940,2fzc
2.7400,-0.5397,0.2100,2qwb
2.7800,-1.5413,0.1260,2yiv
2.8200,-0.9426,0.0000,4dsu
2.8600,-1.7850,0.0420,3zt3
2.8900,-0.7899,0.2100,4gqq
2.9200,-1.0747,0.0000,4ai5
2.9600,-1.7147,0.2520,3dhv
2.9800,-0.9503,0.4620,3ckb
3.0000,-0.6460,0.2100,2rka
3.0200,-0.7934,0.1260,2vmd
3.0400,-1.2361,0.2100,3t08
3.0600,-1.3806,0.5460,2jfh
3.1000,-1.4524,0.2100,2xdl
3.1400,-2.4640,0.2520,2ya7
3.1800,-3.2560,0.6300,1ro7
3.2200,-1.6563,0.1260,1br6
3.2200,-1.3376,0.2520,1zc9
3.2400,-0.4832,0.0420,3qfz
3.2700,-2.5222,0.3780,3ioe
3.2800,-1.4131,0.5040,4fl1
3.3000,-1.0578,0.1680,2vw2
3.3200,-1.3082,0.0000,2wk6
3.3500,-1.1819,0.0000,3c2o
3.3700,-0.5157,0.1260,3d8z
3.4000,-0.8371,0.1680,1f8d
3.4000,-1.0617,0.0000,220l
3.4100,-0.9706,0.2100,2v2c
3.4300,-1.1833,0.3360,2xog
3.4700,-2.7681,0.5880,3ta0
3.4900,-1.1869,0.0000,1c5o
3.5200,-0.7920,0.0000,1jys
3.5200,-1.8547,0.1680,4eky
3.5500,-0.7950,0.3360,4aji
3.5900,-1.7599,0.2520,2gsu
3.6000,-1.8153,1.1340,2wp1
3.6000,-1.1658,0.1680,3jdw
3.6400,-0.9106,0.0420,1gyy
3.6600,-0.9259,0.1260,2v00
3.6600,-0.9296,0.0000,4aia
3.6800,-1.1237,0.2520,4aje
3.7000,-1.8728,0.5880,1gz4
3.7000,-0.9367,0.0000,2fx6
3.7100,-0.2803,0.1260,3g32
3.7200,-2.2245,0.2520,3f5l
3.7500,-1.1116,0.2100,2pyi
3.7700,-1.1659,0.2100,2v2h
3.8000,-1.7960,0.3780,1kug
3.8000,-1.6651,0.2100,4ajl
3.8400,-1.0375,0.0000,1j16
3.8500,-1.5891,0.0420,3mv0
3.8700,-1.4335,0.1260,3g2l
3.8900,-2.3082,1.0500,3obx
3.9000,-0.3189,0.1260,2qw1
3.9000,-1.3295,0.1260,2wos
3.9200,-0.8074,0.0000,3twp
3.9400,-0.3898,0.2520,1z3t
3.9600,-1.9645,0.2940,3gt9
3.9800,-1.2052,0.2100,4agm
4.0000,-1.1992,0.1680,1tni
4.0000,-1.4844,0.2520,2rin
4.0000,-1.2009,0.2100,3vd9
4.0200,-2.2197,0.2940,3po1
4.0300,-1.6162,0.2520,3nq9
4.0500,-1.1277,0.3360,1tuf
4.0500,-1.1294,0.5880,3qx9
4.0700,-1.1831,0.2100,2v2v
4.0900,-0.6002,0.2520,1o0n
4.1000,-2.2197,0.9660,2bvs
4.1100,-1.2130,0.1260,2exm
4.1200,-0.8395,0.0840,3mam
4.1500,-1.0038,0.1260,1m2x
4.1500,-0.7048,0.2100,3a9i
4.1600,-1.2207,0.4620,3d3x
4.1800,-1.5289,0.1680,2qfu
4.1900,-1.3956,0.5040,3cr5
4.2000,-1.6560,0.0000,1ghw
4.2100,-1.2946,0.2520,1qk4
4.2200,-1.4487,0.2520,1ua4
4.2300,-0.9941,0.1680,3zqe
4.2600,-0.5114,0.0000,3lk1
4.2800,-1.9840,0.2940,3gta
4.2900,-0.9898,0.4200,4i3z
4.3000,-2.6199,0.5040,2cli
4.3000,-1.1782,0.2100,3t0b
4.3200,-1.3382,0.6300,2ha6
4.3400,-1.6767,0.1680,1e3v
4.3500,-1.0421,0.0840,1sv3
4.3700,-1.4885,0.1260,1td7
4.3800,-1.7908,0.3360,3u9q
4.4000,-1.3270,0.0420,2pwd
4.4100,-1.7901,0.1680,2csn
4.4200,-1.9839,0.3360,1tjp
4.4300,-1.4691,0.3360,2wyf
4.4400,-2.5831,0.7980,2amt
4.4700,-3.8414,1.7220,2v83
4.4800,-2.3878,0.2520,3p17
4.4900,-1.8579,0.4200,1o7o
4.5000,-0.7425,0.0000,2eg8
4.5100,-1.2246,0.2100,3aas
4.5200,-2.2640,1.1760,1mrn
4.5200,-5.3089,1.3440,3bzf
4.5400,-2.9123,0.6720,1b2h
4.5400,-0.8906,0.1680,3iub
4.5500,-2.2594,0.3780,3p8p
4.5900,-2.5160,0.5040,1bma
4.5900,-1.0589,0.4620,3iqh
4.6000,-1.9728,0.5460,1u33
4.6000,-2.1941,0.0420,2vba
4.6000,-1.9554,0.2940,3vhk
4.6200,-1.2356,0.0840,2a5c
4.6200,-1.5850,0.2520,4ad3
4.6600,-1.5613,0.0840,1m1b
4.6800,-0.8926,0.0000,1c5p
4.6800,-1.3518,0.0840,3g35
4.7000,-1.5241,0.0000,1c86
4.7000,-0.9858,0.0000,2j9n
4.7000,-1.3203,0.0420,3suw
4.7200,-0.9786,0.3780,1vso
4.7200,-1.2254,0.0840,3r6c
4.7400,-2.4320,0.5880,3dnt
4.7600,-1.2112,0.1260,1q8t
4.7700,-1.3447,0.0840,2b4l
4.7900,-1.2845,0.0000,1oss
4.8000,-1.0043,0.0000,1ghz
4.8200,-2.1770,0.2520,1aid
4.8200,-1.1970,0.6300,1y3p
