pbindaff,Hydrophobic,Vdw,HBond,Ent,PDB
5.82,-1.6746,-2.7158,-0.0075,0.9240,11gs
7.57,-1.9786,-2.1856,-0.0068,0.5040,1a0q
6.40,-2.1994,-2.1262,-0.0262,0.7140,1a1c
6.00,-1.5489,-2.2130,-0.0275,0.6720,1a1e
9.89,-1.7437,-2.3857,-0.0002,0.3780,1a42
8.00,-0.9700,-2.5074,-0.0004,0.3360,1a4k
6.66,-1.6680,-2.8428,-0.0108,0.4200,1a4r
5.92,-1.8724,-2.8988,-0.0059,0.5460,1a4w
9.70,-2.4161,-4.1214,0.0000,0.6720,1a7x
5.52,-1.0800,-1.9487,0.0000,0.0420,1a8i
7.85,-3.4440,-4.1880,-0.0146,1.2180,1a94
5.70,-0.9616,-0.8367,-0.0196,0.1260,1a99
6.92,-3.2912,-3.7661,-0.0000,0.8400,1a9m
8.40,-2.3112,-2.6207,-0.0024,0.7560,1aaq
5.42,-1.3786,-1.3103,0.0000,0.0000,1abf
6.74,-2.2786,-2.1456,-0.0118,0.0840,1add
5.36,-1.2260,-1.7967,-0.0060,0.5880,1adl
6.00,-0.7380,-1.0733,-0.0094,0.2520,1ado
3.10,-1.5787,-2.5298,0.0000,0.0840,1af2
1.82,-1.1946,-1.5405,0.0000,0.2940,1af6
6.62,-1.3219,-2.0465,-0.0110,0.5880,1afk
6.28,-1.2797,-1.4820,-0.0061,0.5880,1afl
12.00,-2.1948,-3.2570,-0.0048,0.5460,1agm
2.50,-1.5550,-1.2899,-0.0006,0.0840,1ai4
4.09,-1.1843,-1.0967,0.0000,0.0000,1ai7
4.82,-2.1115,-1.9176,0.0000,0.2520,1aid
5.92,-1.6187,-2.2356,0.0000,0.5460,1aj6
3.87,-1.6315,-2.1961,-0.0116,0.3780,1aj7
2.63,-1.5452,-1.4025,-0.0006,0.0840,1ajn
7.72,-3.4691,-4.2459,0.0000,0.5880,1ajv
7.91,-2.8424,-3.6854,0.0000,0.5880,1ajx
6.52,-0.9195,-0.9696,-0.0051,0.1260,1alw
4.54,-1.2821,-1.8460,-0.0184,0.4200,1amw
5.82,-1.5511,-1.3272,0.0000,0.0000,1apb
9.00,-1.6004,-3.0780,0.0000,0.5880,1apv
6.28,-1.6307,-2.2842,0.0000,0.4200,1atl
4.05,-2.2185,-3.6726,0.0000,0.4200,1awi
3.13,-1.0057,-1.3304,0.0000,0.0840,1ax0
3.20,-0.6371,-1.0881,0.0000,0.0420,1axz
7.12,-1.3317,-2.8847,-0.0126,0.5880,1b05
6.70,-2.6001,-3.8342,-0.0130,0.6300,1b0h
7.39,-1.3938,-1.9673,0.0000,0.5880,1b11
7.03,-2.3106,-3.5367,-0.0186,0.6720,1b1h
4.54,-2.7247,-2.9846,-0.0242,0.6720,1b2h
7.10,-2.0426,-3.0652,-0.0160,0.7140,1b32
6.60,-1.4127,-2.2440,-0.0085,0.5880,1b38
6.89,-2.5157,-3.1968,-0.0134,0.6300,1b3f
6.70,-1.9627,-2.9963,-0.0148,0.6300,1b3g
6.21,-2.4729,-3.1780,-0.0205,0.6300,1b3h
5.89,-1.5179,-2.4618,-0.0151,0.5460,1b3l
7.28,-2.5986,-3.3561,-0.0184,0.6300,1b40
5.28,-2.0078,-2.8548,-0.0149,0.5040,1b46
5.46,-1.7427,-2.7010,-0.0189,0.6300,1b4h
5.23,-1.8764,-2.7588,-0.0155,0.6300,1b4z
7.37,-1.5088,-2.7525,-0.0144,0.5880,1b51
7.12,-1.8314,-2.8443,-0.0152,0.5880,1b52
7.40,-1.4491,-1.5305,-0.0203,0.6720,1b55
6.59,-1.9132,-3.4169,-0.0146,0.6300,1b58
6.01,-1.8881,-2.6883,-0.0211,0.5880,1b5h
7.05,-1.8487,-2.9540,-0.0137,0.6300,1b5i
7.43,-1.5614,-3.0828,-0.0159,0.6720,1b5j
7.82,-2.2456,-2.8565,-0.0145,0.6300,1b6h
7.92,-3.6812,-4.2583,0.0000,0.5460,1b6j
8.74,-3.0615,-3.7948,-0.0165,0.5040,1b6k
8.30,-2.7197,-3.4197,0.0000,0.2940,1b6l
8.40,-3.0668,-3.6582,-0.0158,0.5460,1b6m
1.30,-0.1539,0.7928,-0.0002,0.1680,1b74
10.52,-1.6348,-2.2749,-0.0057,0.0840,1b8n
7.85,-2.0512,-3.3623,0.0000,0.2520,1b8y
7.70,-3.4454,-3.8942,-0.0024,1.2180,1bai
6.85,-1.2618,-1.2556,0.0000,0.0000,1bap
8.70,-0.8529,-1.2368,0.0000,0.0420,1bcd
6.34,-3.1467,-3.5467,0.0000,0.6720,1bdq
8.57,-1.8008,-1.9444,0.0000,0.0000,1bgq
