pbindaff,Hydrophobic,Vdw,HBond,Ent,PDB
6.40,-1.4955,-2.4811,-0.0050,0.6300,10gs
5.62,-1.9421,-2.3221,-0.0257,0.7980,1a08
6.40,-2.0243,-2.1121,-0.0250,0.8820,1a1b
4.30,-1.5787,-1.8795,-0.0029,0.5040,1a30
5.30,-1.3284,-2.2713,-0.0042,0.0840,1a69
3.72,-1.5457,-1.4570,-0.0008,0.0840,1ai5
2.23,-1.5658,-1.2968,-0.0006,0.0840,1ajp
4.31,-1.2285,-1.3160,-0.0002,0.0840,1ajq
8.00,-1.6999,-3.0141,0.0000,0.5880,1apw
3.90,-0.0424,-0.2319,0.0000,0.0840,1avn
6.92,-1.8908,-2.2629,-0.0105,0.5880,1b39
8.02,-2.3091,-2.9565,-0.0208,0.6720,1b7h
10.64,-1.2516,-2.2440,-0.0000,0.0840,1b8o
5.96,-1.4415,-2.8807,-0.0164,0.6300,1b9j
3.28,-0.6499,-1.7146,-0.0070,0.0000,1bcu
4.59,-2.5102,-3.3309,0.0000,0.5040,1bma
1.82,-0.9182,-1.3164,-0.0029,0.0000,1bra
10.00,-2.2680,-3.7200,0.0000,0.4620,1bxo
7.57,-1.3261,-1.5787,-0.0437,0.2520,1d09
3.30,-0.6333,-0.7070,0.0000,0.0840,1d7j
4.30,-0.7193,-1.4339,-0.0085,0.2520,1det
9.70,-2.0872,-2.2866,-0.0004,0.2100,1df8
7.26,-2.2218,-1.9178,-0.0212,0.3780,1dhi
4.92,-1.6796,-1.1359,-0.0007,0.2100,1e1v
7.64,-1.2747,-0.8259,0.0000,0.0000,1e5a
9.89,-1.9668,-2.6708,-0.0028,0.0420,1e66
6.36,-2.0377,-2.7673,-0.0004,0.4200,1ela
7.15,-1.6616,-2.5129,-0.0004,0.5460,1elb
2.96,-0.9308,-1.3325,-0.0000,0.1260,1f4e
4.62,-0.6415,-2.0935,-0.0015,0.3780,1f4f
6.48,-0.6247,-2.4958,-0.0011,0.5040,1f4g
3.74,-0.6374,-1.2398,-0.0058,0.0000,1f5k
7.19,-3.5583,-3.2934,-0.0058,0.0840,1fcx
9.22,-3.4227,-3.0958,-0.0070,0.0840,1fcz
8.40,-3.5782,-3.3654,-0.0071,0.0840,1fd0
5.24,-1.3887,-1.7600,-0.0004,0.1680,1fh7
6.89,-1.3511,-1.7414,-0.0070,0.1680,1fh8
6.43,-1.4200,-1.7960,-0.0005,0.1680,1fh9
9.70,-2.1967,-3.0124,0.0000,0.3780,1fkb
7.00,-1.7059,-2.2372,0.0000,0.0000,1fki
8.80,-2.3354,-4.1271,-0.0029,1.2180,1fkn
10.00,-1.2814,-2.8594,-0.0007,0.0420,1flr
7.61,-1.5566,-1.5552,-0.0182,0.1260,1ftm
8.10,-2.7702,-4.3796,-0.0193,1.2600,1fzj
8.40,-2.9553,-4.2080,-0.0057,0.9660,1fzk
5.47,-1.9666,-2.3754,-0.0092,0.7560,1g7f
6.06,-1.9499,-3.2743,-0.0081,0.9240,1g7q
8.07,-2.1475,-2.0555,-0.0081,0.6300,1gni
5.37,-2.1414,-2.2081,-0.0001,0.0000,1gpk
8.35,-2.7286,-3.6365,-0.0001,0.6300,1h23
5.54,-2.0974,-2.0778,0.0000,0.1680,1ha2
8.70,-3.5768,-5.4928,0.0000,0.7560,1hfs
4.49,-1.2275,-0.9991,-0.0023,0.4200,1hi4
5.31,-1.6283,-1.8364,-0.0067,0.2940,1hk4
10.52,-1.7339,-1.9691,0.0000,0.2520,1if7
7.00,-1.9211,-2.3913,-0.0283,0.8820,1is0
3.84,-0.8518,-1.3995,-0.0130,0.0000,1j16
5.22,-2.3694,-3.5783,0.0000,0.1680,1j17
4.48,-1.5261,-2.1165,0.0000,0.3360,1jaq
8.45,-2.4768,-2.2532,-0.0019,0.8400,1jq9
5.16,-1.4086,-2.0425,-0.0025,0.3780,1jqd
3.52,-0.7701,-0.9838,-0.0060,0.0000,1jys
5.85,-1.4627,-2.1477,-0.0091,0.2100,1k4g
6.52,-1.6706,-2.3015,-0.0089,0.0840,1k9s
5.94,-2.2628,-2.1691,0.0000,0.0840,1kv1
4.22,-1.0187,-0.9024,-0.0036,0.2100,1kv5
4.59,-0.8494,-1.7452,-0.0042,0.1260,1l2s
6.39,-0.7534,-1.7222,-0.0076,0.2520,1lol
3.70,-1.2867,-1.7593,-0.0090,0.2520,1loq
2.22,-1.9150,-2.7818,-0.0162,0.3360,1m0n
3.89,-1.8594,-2.5209,-0.0171,0.3360,1m0q
6.10,-1.8894,-2.1444,0.0000,0.0000,1m2q
11.15,-2.4940,-4.1934,0.0000,0.3360,1mq6
4.08,-0.8460,-1.7047,-0.0012,0.1260,1n2v
6.12,-2.2451,-2.3223,-0.0087,0.1680,1nc1
5.23,-1.6908,-1.8647,0.0000,0.2100,1ndw
6.17,-2.0229,-2.2925,0.0000,0.2100,1ndy
8.11,-2.9182,-3.2229,0.0000,0.3780,1ndz
8.89,-2.2130,-3.5176,-0.0007,0.1680,1nfy
5.66,-1.2921,-1.6739,-0.0003,0.3360,1nhu
6.31,-1.4333,-1.9612,-0.0274,0.2520,1nja
3.80,-1.5355,-2.0203,-0.0283,0.2520,1nje
7.66,-2.1538,-3.3378,-0.0096,0.6300,1nny
8.25,-2.7338,-3.0770,-0.0017,0.1260,1nvq
5.92,-0.9890,-1.8375,-0.0190,0.4200,1o0h
7.96,-1.2559,-1.9563,-0.0078,0.0840,1o3f
6.66,-1.0539,-1.8807,-0.0055,0.1680,1o3p
5.82,-2.8107,-2.8833,-0.0242,0.5040,1ols
4.41,-1.8637,-2.6100,-0.0207,0.5040,1olu
6.77,-1.6604,-2.2017,-0.0048,0.0840,1om1
4.89,-1.1952,-0.7900,-0.0182,0.1260,1p1q
3.62,-0.9551,-1.0329,-0.0042,0.0000,1pb9
