pbindaff,Hydrophobic,Vdw,HBond,Ent,PDB
2.00,-0.7367,-1.3220,-0.0293,0.5460,3c2f
2.00,-0.9134,-0.9145,-0.0156,0.2520,2r58
2.00,-0.4433,-1.0291,-0.0000,0.0420,3g2y
2.05,-0.9809,-1.7397,0.0000,0.4200,1jfh
2.06,-0.8202,-1.1396,-0.0111,0.2100,1qq9
2.07,-1.3021,-1.9694,-0.0090,0.0420,3ao4
2.12,-1.7330,-1.8813,-0.0045,0.3780,2w8w
2.17,-0.6903,-1.1807,-0.0170,0.1260,3gqz
2.21,-1.0241,-1.1596,0.0000,0.0000,1x8d
2.22,-1.0292,-1.4029,0.0000,0.0000,2aac
2.22,-1.9151,-2.7818,-0.0162,0.3360,1m0n
2.22,-1.7378,-2.3442,0.0000,1.7220,1icj
2.23,-0.7431,-1.0848,-0.0079,0.1260,2igv
2.23,-1.5986,-1.9234,-0.0019,0.0420,3ao5
2.23,-1.5658,-1.2968,-0.0006,0.0840,1ajp
2.23,-1.4438,-1.4357,0.0000,0.0420,3i3b
2.26,-1.2212,-1.4380,0.0000,0.0000,3ao1
2.26,-0.4211,-0.2130,-0.0179,0.0840,1ew8
2.28,-1.1860,-1.3111,0.0000,0.0840,3ip8
2.30,-1.2245,-1.5641,0.0000,0.2100,3dyo
2.30,-1.3395,-0.7640,-0.0006,0.0840,3pcg
2.31,-2.1140,-2.6802,-0.0205,0.3780,1m0o
2.35,-0.6787,-0.9281,-0.0030,0.0840,3gtc
2.36,-0.2984,-0.8701,-0.0007,0.0000,3g2z
2.37,-1.0720,-1.4093,-0.0042,0.2520,6rnt
2.38,-3.4498,-4.1437,-0.0001,0.6300,3f6e
2.39,-1.3727,-1.4334,-0.0019,0.3780,1f73
2.40,-1.1553,-2.3013,0.0000,0.0840,3l7b
2.44,-0.6094,-0.6788,0.0000,0.0840,1oba
2.44,-1.2762,-2.3668,0.0000,0.0840,3l7c
2.44,-1.1720,-1.3867,-0.0024,0.0420,2i2b
2.46,-1.2903,-2.2080,0.0000,0.0840,3l79
2.47,-0.7407,-1.1452,-0.0034,0.1260,1utl
2.47,-0.6881,-0.5951,-0.0315,0.0000,1tok
2.48,-0.7944,-1.0276,-0.0083,0.0000,1gyx
2.50,-1.5550,-1.2899,-0.0006,0.0840,1ai4
2.51,-0.8688,-0.7962,-0.0038,0.1260,3g30
2.52,-0.7069,-1.8234,-0.0046,0.4200,3bf1
2.52,-0.2536,-1.0748,-0.0000,0.0420,3gr2
2.55,-1.1077,-2.0653,-0.0057,0.5040,1kf0
2.55,-0.6189,-1.3956,-0.0004,0.0000,3ovn
2.57,-1.0170,-1.6878,0.0000,0.2520,1gwv
2.57,-0.9246,-1.2809,-0.0018,0.0420,3kgp
2.59,-0.8586,-1.7603,-0.0013,0.0840,3gvb
2.60,-0.7947,-0.8087,-0.0092,0.2520,2r5a
2.62,-0.5969,-0.9708,0.0000,0.0000,3f37
2.62,-1.2886,-1.0173,0.0000,0.0000,3f38
2.63,-1.5452,-1.4017,-0.0006,0.0840,1ajn
2.66,-1.5502,-2.7446,-0.0143,0.5040,3a1e
2.67,-1.0858,-1.7492,-0.0173,0.3780,3lvw
2.68,-1.1687,-1.4601,-0.0076,0.2100,1o8b
2.69,-1.0152,-1.5666,0.0000,0.0840,3elc
2.70,-0.9511,-0.8326,-0.0072,0.0420,2uyn
