pbindaff,Hydrophobic,Vdw,HBond,Ent,PDB
2.0000,-0.3295,-1.0291,-0.0000,0.0420,3g2y
2.1200,-1.0269,-0.9955,0.0000,0.0000,3gv9
2.2100,-0.8563,-1.4563,0.0000,0.2520,4g0z
2.2300,-0.8344,-1.0848,0.0000,0.1260,2igv
2.2700,-0.6204,-1.1092,-0.0007,0.0840,1uto
2.3000,-1.2013,-1.5351,-0.0003,0.0000,3mhw
2.3500,-0.9466,-1.2305,0.0000,0.2520,1qi0
2.3800,-3.6415,-4.1500,0.0000,0.6300,3f6e
2.4400,-0.6377,-0.6785,0.0000,0.0840,1oba
2.4700,-0.7654,-1.1371,-0.0035,0.1260,1utl
2.5200,-0.2660,-1.0780,-0.0000,0.0420,3gr2
2.5500,-0.4252,-1.4094,-0.0005,0.0000,3ovn
2.6200,-0.7213,-0.9693,0.0000,0.0000,3f37
2.6900,-0.8394,-1.5728,0.0000,0.0840,3elc
2.7200,-0.8980,-0.7451,0.0000,0.1260,2rkd
2.7700,-1.1650,-1.3063,0.0000,0.1680,3fcq
2.8200,-0.9440,-1.0595,-0.0031,0.0420,3ppr
2.8600,-1.1504,-1.5014,0.0000,0.7980,3qx8
2.8900,-0.5462,-0.7139,0.0000,0.0840,3g31
2.9200,-1.2304,-1.5307,0.0000,0.2940,3k8c
2.9600,-1.7159,-2.1418,0.0000,0.3780,2w8j
2.9700,-3.1419,-3.6292,-0.0001,0.3360,2hw2
3.0000,-0.5230,-0.3598,0.0000,0.0420,2q8h
3.0100,-0.8655,-1.4080,0.0000,0.2520,4g0p
3.0300,-0.9345,-1.0815,0.0000,0.0840,3adv
3.0500,-1.7126,-1.3741,0.0000,0.3360,1uj6
3.1000,-1.7886,-0.9252,0.0000,0.1680,1ec9
3.1300,-0.9898,-1.3284,0.0000,0.0840,1ax0
3.1800,-0.9434,-1.6347,-0.0062,0.3780,1lbk
3.2100,-0.7653,-1.6781,-0.0000,0.3360,1s5z
3.2200,-1.3181,-1.0402,0.0000,0.1260,1tog
3.2300,-1.7616,-2.0840,-0.0010,0.2940,3zsy
3.2600,-1.7313,-1.1034,0.0000,0.0840,5yas
3.2800,-1.6283,-2.2804,-0.0007,0.3780,3zsx
3.3000,-1.0208,-1.3131,0.0000,0.2100,1tpw
3.3200,-1.6208,-1.7200,-0.0007,0.1680,1pzo
3.3400,-1.6154,-1.3665,0.0000,0.0840,3f33
3.3700,-0.9590,-1.3259,-0.0073,0.0000,1v2u
3.4000,-2.8639,-2.8109,-0.0024,0.5040,1bxr
3.4000,-1.2374,-1.4686,0.0000,0.0420,1uz4
3.4000,-1.5961,-2.1171,0.0000,0.8820,3jzh
3.4200,-2.2057,-2.1620,-0.0000,0.0840,3iob
3.4600,-1.2040,-1.5550,0.0000,0.2100,3muz
3.4800,-1.7749,-1.8519,-0.0022,0.0000,3nyd
3.5100,-1.5624,-1.8308,0.0000,0.5880,2r0h
3.5200,-0.2182,-0.9307,-0.0074,0.1260,3mfw
3.5500,-0.3220,-1.3672,0.0000,0.1680,2qwc
3.5900,-1.2249,-0.9118,-0.0001,0.0000,1nli
3.6000,-0.1752,-1.4002,-0.0004,0.2940,2qpu
3.6000,-1.5738,-1.1035,0.0000,0.2100,3g0i
3.6200,-0.9785,-1.0264,-0.0042,0.0000,1pb9
3.6600,-0.8940,-2.2094,-0.0000,0.4200,2qv7
3.6600,-1.2962,-1.3818,0.0000,0.0420,3t2q
3.6800,-0.8932,-2.2662,-0.0000,0.1260,3isj
3.7000,-2.2144,-2.6726,0.0000,0.5880,1gz3
3.7000,-1.7388,-2.3164,-0.0005,0.4620,2bvr
3.7100,-1.1679,-1.0309,0.0000,0.2100,3fj7
3.7200,-0.9423,-1.5925,0.0000,0.6300,2r23
3.7400,-1.6570,-2.0064,0.0000,0.1260,2wq5
3.7700,-1.6465,-2.9478,0.0000,0.4200,1kui
3.7900,-1.1946,-1.2912,0.0000,0.2520,2clk
3.8000,-1.2674,-1.3833,0.0000,0.0420,3t09
3.8200,-1.1227,-2.2454,0.0000,0.1260,3g2h
3.8500,-1.5720,-2.1362,0.0000,0.0840,2yb0
3.8700,-1.9356,-2.7709,-0.0002,0.5040,1v16
3.8900,-4.2288,-4.1115,-0.0036,0.6720,3iae
3.9000,-1.6987,-1.6327,0.0000,0.3360,2gvv
3.9000,-0.9482,-1.7754,0.0000,0.1260,2wor
3.9200,-3.6400,-4.7126,-0.0001,1.3440,2yim
3.9400,-2.1023,-2.7689,-0.0002,0.5040,1v1m
3.9600,-1.9545,-2.8488,0.0000,0.6720,2wec
3.9800,-1.5563,-1.2519,-0.0045,0.1260,3b3c
4.0000,-1.8529,-0.9743,0.0000,0.2100,1nu3
4.0000,-0.7392,-0.6044,0.0000,0.0840,2qrl
4.0000,-0.8961,-1.4551,0.0000,0.0420,3m8t
4.0200,-1.0490,-1.8009,0.0000,0.0420,2wvz
4.0300,-2.0398,-1.6265,0.0000,0.2520,3bxh
4.0500,-1.4515,-0.9687,0.0000,0.1260,1toi
4.0500,-1.7077,-1.3698,0.0000,0.0000,3n8k
