pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
2.0000,49.4545,708.9071,4.5607,10.1219,6.0178,0.3333,3g2y
2.1200,42.2973,660.0922,3.0085,8.7383,3.3582,0.3333,3gv9
2.2100,82.0140,778.3732,5.5215,0.0000,6.5220,0.1538,4g0z
2.2300,46.2266,612.3215,2.9809,16.3921,4.5173,0.2000,2igv
2.2700,41.0500,572.6500,0.7622,6.2835,1.3651,0.2857,1uto
2.3000,54.5397,671.8757,3.5941,3.3192,2.0843,1.0000,3mhw
2.3500,65.0744,776.7975,5.8332,0.0000,8.8769,0.1111,1qi0
2.3800,187.5235,2302.6523,10.2689,49.3285,12.7208,0.0714,3f6e
2.4400,31.5293,281.6779,0.6182,0.0000,0.1762,0.2857,1oba
2.4700,46.3200,590.2482,1.2988,8.4041,1.3726,0.2222,1utl
2.5200,38.7952,602.7247,1.4662,9.6498,1.5492,0.3333,3gr2
2.5500,43.8455,717.4843,1.3840,16.5459,0.0000,0.4000,3ovn
2.6200,26.3152,647.8245,1.0745,30.0907,0.0000,0.6667,3f37
2.6900,65.6879,843.0095,3.3700,1.3547,4.2219,0.2222,3elc
2.7200,37.7941,544.7930,4.6678,2.3400,5.6711,0.2500,2rkd
2.7700,63.6428,824.6841,4.4454,16.4480,2.1053,0.2500,3fcq
2.8200,52.4523,694.9867,1.6102,19.7954,1.7405,0.5000,3ppr
2.8600,103.1374,1161.3888,8.2529,0.0000,7.1467,0.0625,3qx8
2.8900,17.6615,479.3337,0.4393,20.3345,0.0000,0.3333,3g31
2.9200,62.9514,827.4794,4.2018,0.0000,7.5522,0.1333,3k8c
2.9600,110.0792,1478.4757,7.8988,3.6273,9.5700,0.1111,2w8j
2.9700,109.9497,2241.1960,1.4891,77.1916,0.5063,0.1176,2hw2
3.0000,29.2718,426.6660,2.3894,5.6768,0.6983,0.5000,2q8h
3.0100,76.0139,723.1282,5.8612,5.6000,6.7573,0.1667,4g0p
3.0300,31.6221,761.8413,1.8411,13.4813,1.4224,0.2500,3adv
3.0500,74.9990,852.9816,7.5487,0.0000,10.8934,0.1111,1uj6
3.1000,83.9321,1018.8129,9.6514,0.0000,10.6347,0.1429,1ec9
3.1300,50.3978,772.9088,3.0302,3.4267,5.1514,0.2000,1ax0
3.1800,90.6795,886.8848,5.5765,1.9411,7.6622,0.0909,1lbk
3.2100,89.2926,1218.9658,4.1659,0.0000,4.1426,0.1176,1s5z
3.2200,59.0011,773.2811,2.6372,37.0420,4.4967,0.2500,1tog
3.2300,89.9887,1326.5267,4.0137,27.0421,5.2785,0.1111,3zsy
3.2600,43.2543,766.7039,1.9322,34.9974,1.7429,0.2500,5yas
3.2800,92.6819,1384.9982,3.5938,32.7901,4.8637,0.0909,3zsx
3.3000,60.4292,661.2778,4.4061,0.0000,7.7033,0.2222,1tpw
3.3200,71.6106,909.2902,1.8005,35.3603,1.2258,0.1667,1pzo
3.3400,45.6553,896.3551,1.9163,47.4375,0.0000,0.2857,3f33
3.3700,59.2445,586.9912,2.4635,5.5226,4.4590,0.4000,1v2u
3.4000,157.3728,2054.1233,12.4549,0.0000,12.9435,0.0952,1bxr
3.4000,67.4671,744.9394,4.4923,6.7616,7.1244,0.2857,1uz4
3.4000,107.1216,1197.4142,4.6265,23.3425,3.0819,0.0435,3jzh
3.4200,79.7101,1269.7953,3.0133,0.0000,4.1765,0.2000,3iob
3.4600,48.8287,925.9975,3.7349,6.6866,5.5753,0.1667,3muz
3.4800,69.8684,869.8256,4.1786,15.7285,1.9339,0.5000,3nyd
3.5100,74.2097,1056.6415,5.0731,2.3411,9.3939,0.0667,2r0h
3.5200,48.6052,839.5918,3.6142,0.0000,4.1777,0.2000,3mfw
3.5500,66.9801,1022.3224,5.6821,8.8526,7.7162,0.1250,2qwc
3.5900,74.8728,604.6540,3.4485,0.0000,4.1002,0.6667,1nli
3.6000,42.7444,997.9108,1.2241,0.0000,1.2280,0.0952,2qpu
3.6000,42.2355,682.0377,4.3847,35.3163,4.5279,0.1667,3g0i
