pbindaff,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,Hydrophobic,Vdw,HBond,Ent,PDB
5.8200,3492.0000,947.0000,899.0000,49.0000,481.0000,133.0000,128.0000,10.0000,1412.0000,359.0000,369.0000,18.0000,176.0000,46.0000,41.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,323.0000,83.0000,75.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,131.9936,1628.0815,6.5491,36.5276,7.4662,24.4446,234.7372,2.3667,3.6353,0.0000,0.0500,-1.6746,-2.7158,-0.0260,0.9240,11gs
7.5700,2762.0000,709.0000,636.0000,10.0000,156.0000,45.0000,38.0000,0.0000,920.0000,246.0000,218.0000,0.0000,0.0000,0.0000,0.0000,0.0000,189.0000,52.0000,43.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93.9692,1168.4709,3.7839,62.4447,4.4122,11.8716,85.1607,0.2938,2.4438,0.0000,0.0870,-1.9786,-2.1887,-0.0172,0.5040,1a0q
6.4000,2354.0000,684.0000,663.0000,37.0000,228.0000,78.0000,63.0000,5.0000,914.0000,289.0000,275.0000,14.0000,0.0000,0.0000,0.0000,0.0000,126.0000,41.0000,42.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,83.9814,1223.7361,5.9918,30.0145,7.8610,26.5348,204.4361,1.0426,5.6313,0.0000,0.0588,-2.1994,-2.1285,-0.0478,0.7140,1a1c
6.0000,2270.0000,667.0000,649.0000,35.0000,236.0000,77.0000,66.0000,5.0000,904.0000,286.0000,272.0000,14.0000,0.0000,0.0000,0.0000,0.0000,126.0000,41.0000,40.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,83.0550,1184.0804,5.3453,29.5745,8.2710,25.2784,200.9525,0.6097,8.4462,0.0000,0.0625,-1.5489,-2.2148,-0.0472,0.6720,1a1e
9.8900,2101.0000,554.0000,489.0000,12.0000,605.0000,162.0000,150.0000,4.0000,994.0000,269.0000,257.0000,5.0000,640.0000,186.0000,166.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.5230,1148.4381,4.0062,15.1576,3.2747,3.1821,71.2054,0.0000,0.3575,0.0000,0.1053,-1.7437,-2.3871,-0.0023,0.3780,1a42
8.0000,3229.0000,948.0000,890.0000,12.0000,426.0000,131.0000,126.0000,2.0000,856.0000,260.0000,228.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.4441,1470.1277,2.3405,41.9288,0.3660,6.4004,110.9751,1.0175,4.6669,0.0000,0.1333,-0.9700,-2.5074,-0.0005,0.3360,1a4k
6.6600,1388.0000,353.0000,441.0000,20.0000,880.0000,228.0000,277.0000,14.0000,1446.0000,353.0000,426.0000,22.0000,0.0000,0.0000,0.0000,0.0000,310.0000,76.0000,87.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.7047,1290.9684,5.8838,0.0000,6.3700,11.3795,108.4410,0.1183,0.0000,0.0000,0.1176,-1.6680,-2.8487,-0.0315,0.4200,1a4r
5.9200,4145.0000,1084.0000,1244.0000,90.0000,1136.0000,309.0000,345.0000,25.0000,537.0000,132.0000,158.0000,13.0000,226.0000,64.0000,72.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.0798,1833.4337,5.0998,44.2083,6.1157,32.0104,262.6822,1.3976,12.2710,0.0000,0.0667,-1.8724,-2.8988,-0.0136,0.5460,1a4w
9.7000,7296.0000,1732.0000,1762.0000,6.0000,307.0000,77.0000,77.0000,0.0000,2084.0000,495.0000,493.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,137.9523,2545.8281,4.0712,76.5300,4.7458,24.0363,254.5416,0.5559,8.4100,0.0000,0.0571,-2.4161,-4.1272,0.0000,0.6720,1a7x
5.5200,1558.0000,522.0000,529.0000,11.0000,393.0000,128.0000,126.0000,0.0000,1382.0000,442.0000,461.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.3172,1078.2510,3.2711,0.0000,7.7358,1.3291,7.4429,0.0001,0.0000,0.0117,0.2500,-1.0800,-1.9689,0.0000,0.0420,1a8i
7.8500,6028.0000,1684.0000,1764.0000,7.0000,1478.0000,411.0000,425.0000,3.0000,1430.0000,397.0000,428.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,141.4093,2738.4910,7.0474,61.3570,7.0264,57.0599,417.1881,6.0776,7.1228,1.0474,0.0308,-3.4440,-4.1880,-0.0287,1.2180,1a94
5.7000,938.0000,215.0000,272.0000,7.0000,467.0000,108.0000,134.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.5830,456.2386,2.5660,27.1777,3.0362,0.0021,1.9428,0.0000,0.0000,0.0000,0.2000,-0.9616,-0.8367,-0.0297,0.1260,1a99
