PDB,pbindaff,predicted
1w8l,0.49,2.65
1wkm,0.82,1.57
2a31,1.01,3.04
1f9g,1.28,1.93
1b74,1.30,-1.16
1qpb,1.36,1.24
1tnk,1.49,2.67
1w8m,1.60,2.92
1rdj,1.66,2.52
2hdr,1.72,2.00
1ga8,1.80,2.66
1af6,1.82,4.30
1d5r,1.82,2.79
1rdn,1.84,2.83
1tnl,1.88,2.76
1f2p,1.90,4.18
1f2o,1.91,2.94
1tnj,1.96,2.60
1jfh,2.05,3.56
1qq9,2.06,2.82
1rdi,2.06,2.66
1njj,2.10,2.08
1uxb,2.15,2.46
1x8d,2.21,3.46
1icj,2.22,2.25
2aac,2.22,4.70
1rdl,2.24,2.63
1ew8,2.26,-1.94
1uto,2.27,3.07
1ps3,2.28,5.11
1uxa,2.30,2.44
3pcg,2.30,1.18
1m0o,2.31,5.34
1qi0,2.35,3.32
1nwl,2.39,1.83
3pcb,2.40,2.59
1oba,2.44,1.28
1utl,2.47,2.86
1gyx,2.48,3.78
1ai4,2.50,3.60
1gwv,2.57,4.06
2c4v,2.60,2.80
1ajn,2.63,3.83
1o8b,2.68,4.53
1pfu,2.72,2.17
1rql,2.75,3.06
2bza,2.80,3.19
1cet,2.89,3.12
1iih,2.89,3.75
1ugp,2.89,2.63
2fkf,2.92,3.86
2fw6,2.92,4.04
2fwp,2.92,3.96
1tng,2.93,2.98
1ykp,2.96,0.94
2br6,2.96,1.06
1ecq,3.00,1.20
1hqg,3.00,2.61
1ux7,3.00,2.87
1ws4,3.00,3.59
1utm,3.01,2.79
1ws5,3.03,3.50
1uj5,3.05,3.47
1uj6,3.05,3.38
1y1z,3.08,4.22
1af2,3.10,6.78
1ec9,3.10,3.47
1pu7,3.10,2.92
1pu8,3.10,2.50
1ax0,3.13,3.71
1e6q,3.15,4.78
1ro7,3.18,7.91
1axz,3.20,3.41
6tim,3.21,2.43
1br6,3.22,5.61
1e6s,3.22,3.99
1ew9,3.22,-1.23
1k1y,3.22,6.01
1tog,3.22,4.16
1px4,3.23,4.07
1v2j,3.25,3.87
5yas,3.26,3.82
1pzp,3.31,4.01
1pzo,3.32,4.36
1jlr,3.33,3.78
1tnh,3.37,3.49
1v2u,3.37,3.97
2fzg,3.38,0.68
1bxr,3.40,6.32
1ikt,3.40,4.13
1jt1,3.40,-2.81
1l83,3.40,3.59
1m83,3.40,7.86
1uz4,3.40,4.41
220l,3.40,3.47
2sim,3.42,4.83
1moq,3.46,5.17
1c5o,3.49,3.39
1gzc,3.49,3.45
1utn,3.49,3.24
1imx,3.52,2.05
1vjd,3.54,4.46
1v2r,3.55,3.78
2qwc,3.55,3.94
1h46,3.57,4.00
1vjc,3.58,4.63
1nli,3.59,3.77
2gsu,3.59,4.24
1d7i,3.60,1.09
2fzk,3.60,1.77
3jdw,3.60,1.90
3pcc,3.62,2.83
1gyy,3.64,3.67
3pcn,3.66,1.64
1c3x,3.68,3.20
1qsc,3.68,4.40
2a8g,3.69,2.08
1fwu,3.70,2.51
1gz3,3.70,6.34
1gz4,3.70,6.29
1pdz,3.70,2.56
1wht,3.70,3.88
2bjm,3.70,6.40
2bmz,3.70,3.16
2fx6,3.70,4.20
1fwv,3.72,1.46
1grp,3.72,4.17
2am4,3.72,6.53
1li6,3.80,2.48
2hb1,3.80,4.08
2hu6,3.81,6.59
1r0x,3.83,4.67
1utj,3.84,3.29
1n1t,3.85,4.63
1aj7,3.87,4.13
2gvv,3.90,4.45
2a5b,3.93,4.13
2cbz,3.93,4.84
1v1m,3.94,6.23
1z3t,3.94,5.03
1mrs,3.96,5.82
1x9d,3.96,5.17
2fpz,3.96,3.62
1v11,3.98,6.07
1lgw,4.00,3.89
1nu3,4.00,2.68
1tni,4.00,2.08
1wc1,4.00,5.19
1c5z,4.01,3.88
1v2w,4.01,3.75
1hi5,4.04,3.12
1li2,4.04,3.97
1awi,4.05,6.44
1r4w,4.05,3.47
1tuf,4.05,2.44
1gj4,4.07,4.23
1hyo,4.07,4.09
1y2g,4.08,4.28
1ai7,4.09,3.40
1jn2,4.09,1.94
1o0n,4.09,3.88
1c5t,4.10,4.52
1odj,4.10,5.83
1rzx,4.10,3.47
