PDB,pbindaff,predicted
2iw4,9.30,3.79
2wbg,4.45,5.27
2wc3,6.08,5.28
2wc4,5.29,4.86
2yay,6.10,7.39
2yaz,5.14,7.12
2yb0,3.85,6.21
2xg9,4.15,4.75
2xib,7.26,4.38
2xii,7.20,6.62
2xye,8.34,6.30
2xyf,8.44,6.22
2y8c,6.40,5.28
2yfe,6.63,5.49
2yi0,8.12,6.15
2yi7,8.32,5.67
2yim,3.92,6.19
2yiv,2.78,2.56
2ymd,3.16,5.03
2yme,7.66,5.36
3alt,2.92,2.69
3dhv,2.96,5.41
3ebo,4.72,6.22
3ebp,5.91,6.59
3ekp,8.89,5.41
3ekt,10.59,5.58
3ekv,9.41,6.51
3ekw,7.96,7.23
3ekx,9.41,7.64
3el1,9.64,7.09
3el4,7.17,8.18
3el5,7.72,7.31
3el9,8.40,7.30
3ng4,5.43,2.08
3nw3,6.49,4.54
3nyd,3.48,3.56
3o4k,7.62,3.95
3o75,6.68,4.29
3oil,5.68,4.59
3oim,6.74,4.79
3oku,6.36,4.50
3okv,6.23,5.41
3ozg,9.19,5.52
3p17,4.48,6.18
3p3r,7.25,5.21
3p3s,7.59,4.81
3p3t,7.24,4.57
3p8n,9.28,6.67
3p8o,8.72,6.23
3pb7,5.74,3.60
3pb8,5.24,2.14
3pb9,6.58,3.64
3pbb,7.02,3.73
3pfp,6.44,4.68
3po1,4.02,5.12
3pwk,3.35,2.53
3q1x,5.33,2.13
3q5u,4.31,3.86
3q6w,7.57,8.30
3qbc,4.97,3.77
3qdd,8.77,5.87
3qfd,4.17,5.78
3qlm,6.37,2.65
3qqs,5.82,5.54
3vd4,4.82,4.37
3vd9,4.00,4.34
3vdb,2.52,2.82
4djy,8.27,6.32
4dko,6.52,5.79
4dkp,5.72,5.96
4dkq,6.60,7.08
4dkr,6.52,6.53
4dmw,4.94,4.78
4do4,7.29,4.71
4do5,5.83,4.00
3qt6,5.37,5.80
3qto,4.13,6.64
3qtv,4.65,6.45
3qw5,6.45,4.73
3qwc,4.26,6.11
3qx5,4.20,6.82
3r0y,4.84,3.51
3r6c,4.72,6.56
3r7o,8.36,7.95
3r88,4.82,3.81
3rbu,9.43,2.58
3re4,7.40,4.95
3rr4,4.55,5.12
3rt4,8.80,4.43
3rv8,4.92,5.30
3s43,8.60,6.25
3s45,8.49,6.19
3s54,9.64,5.01
3s56,9.62,7.76
3s5y,7.41,4.04
3s6t,7.35,5.83
3s8x,7.30,3.76
3s9t,6.82,4.48
3sap,7.59,3.72
3sax,6.57,4.42
3sbh,7.28,3.86
3sbi,7.92,3.91
3sfg,6.06,1.39
3sha,5.59,5.96
3shc,5.72,6.02
3si3,4.16,5.96
3si4,3.88,6.39
3spf,3.86,3.73
3su0,6.79,8.17
3su1,6.68,8.18
3su2,4.35,8.58
3su3,9.13,8.74
3su4,6.26,8.51
3su5,5.58,8.33
3su6,6.02,8.95
3sue,9.08,7.59
3suf,7.56,8.30
3sug,6.21,7.26
3sur,4.15,0.41
3sus,4.15,5.05
3sut,7.85,5.39
3suu,8.52,5.11
3suv,4.55,4.54
3suw,4.70,5.67
3sv2,4.19,6.33
3sxf,8.60,7.35
3sym,4.57,6.82
3syr,5.10,7.07
3t08,3.04,4.37
3t09,3.80,3.41
3t0b,4.30,4.40
3t0d,2.37,3.60
3t0x,8.00,9.38
3t2q,3.66,3.40
3t3c,10.23,6.79
3t3u,8.60,7.25
3t6b,6.36,5.73
3tb6,5.08,3.88
3tei,6.30,3.63
3tg5,4.70,5.23
3tif,5.38,6.47
3tkw,5.27,5.90
3ttm,8.52,3.24
3ttn,7.84,3.32
3twp,3.92,3.21
3u10,5.44,7.86
3u15,7.11,5.80
3u6h,9.00,8.53
3u7k,7.07,5.56
3u7l,7.28,5.64
3u7m,7.45,4.02
3u7n,7.95,3.61
3u7s,8.43,6.51
3u81,4.44,6.37
3u90,4.62,1.31
3u9q,4.38,3.20
3ubd,5.54,6.57
3ucj,6.00,2.08
3udd,7.10,7.71
3udh,2.85,5.22
3ueu,5.24,3.43
3uev,5.89,3.72
3uew,6.31,3.47
3uex,6.92,3.85
3ug2,8.25,4.33
3uj9,4.63,3.90
3ujb,5.10,6.61
3ujc,4.59,3.69
3ujd,4.69,3.85
3uo4,6.52,6.58
3uod,7.31,6.68
3up2,7.40,6.46
3upv,5.30,4.07
3uri,9.00,5.24
3utu,10.92,7.28
3uu1,5.20,4.30
3uug,4.51,5.52
3uuo,7.96,5.80
3uvx,4.34,3.43
3uw4,7.77,5.89
3uw5,7.85,5.86
3uxd,4.41,4.05
3uxk,4.93,4.15
3uxl,5.57,3.35
3uz5,7.22,3.55
