PDB,pbindaff,p
1w8l,0.49,5.05
1wkm,0.82,4.92
2a31,1.01,4.83
1f9g,1.28,4.65
1b74,1.3,4.52
1qpb,1.36,4.48
1tnk,1.49,5.04
1w8m,1.6,5.04
1rdj,1.66,4.4
2hdr,1.72,4.78
1ga8,1.8,5.19
1af6,1.82,5.41
1d5r,1.82,4.82
1rdn,1.84,4.63
1tnl,1.88,5.06
1f2p,1.9,5.43
1f2o,1.91,4.94
1tnj,1.96,4.96
1jfh,2.05,5.48
1qq9,2.06,4.89
1rdi,2.06,4.43
1njj,2.1,5.22
1uxb,2.15,5.27
1x8d,2.21,5.03
1icj,2.22,5.8
2aac,2.22,5.37
1rdl,2.24,4.45
1ew8,2.26,4.38
1uto,2.27,4.98
1ps3,2.28,5.38
1uxa,2.3,5.24
3pcg,2.3,5.35
1m0o,2.31,6.51
1qi0,2.35,5.04
1nwl,2.39,5.73
3pcb,2.4,5.38
1oba,2.44,4.5
1utl,2.47,5.04
1gyx,2.48,5.43
1ai4,2.5,5.53
1gwv,2.57,5.44
2c4v,2.6,5.15
1ajn,2.63,5.68
1o8b,2.68,5.03
1pfu,2.72,4.9
1rql,2.75,4.79
2bza,2.8,4.92
1cet,2.89,5.78
1iih,2.89,5.06
1ugp,2.89,4.83
2fkf,2.92,5.01
2fw6,2.92,5.26
2fwp,2.92,5.25
1tng,2.93,4.83
1ykp,2.96,5.11
2br6,2.96,4.54
1ecq,3,5.08
1hqg,3,4.78
1ux7,3,4.88
1ws4,3,4.95
1utm,3.01,4.82
1ws5,3.03,4.92
1uj5,3.05,5.14
1uj6,3.05,5.01
1y1z,3.08,5.23
1af2,3.1,6.11
1ec9,3.1,5.27
1pu7,3.1,5.22
1pu8,3.1,5.17
1ax0,3.13,5.12
1e6q,3.15,5.31
1ro7,3.18,7.58
1axz,3.2,4.9
6tim,3.21,4.85
1br6,3.22,6.14
1e6s,3.22,5.16
1ew9,3.22,4.29
1k1y,3.22,6.99
1tog,3.22,5.43
1px4,3.23,5.38
1v2j,3.25,5
5yas,3.26,5.59
1pzp,3.31,6.06
1pzo,3.32,5.95
1jlr,3.33,5.75
1tnh,3.37,4.95
1v2u,3.37,5.02
2fzg,3.38,5.48
1bxr,3.4,6.82
1ikt,3.4,6.87
1jt1,3.4,4.47
1l83,3.4,5.46
1m83,3.4,6.68
1uz4,3.4,5.18
220l,3.4,5.6
2sim,3.42,5.64
1moq,3.46,5.47
1c5o,3.49,4.96
1gzc,3.49,5.18
1utn,3.49,4.9
1imx,3.52,5.87
1vjd,3.54,6.24
1v2r,3.55,5.61
2qwc,3.55,5.48
1h46,3.57,6.29
1vjc,3.58,5.86
1nli,3.59,5.02
2gsu,3.59,5.73
1d7i,3.6,4.47
2fzk,3.6,5.61
3jdw,3.6,4.84
3pcc,3.62,5.28
1gyy,3.64,5.75
3pcn,3.66,5.46
1c3x,3.68,5.13
1qsc,3.68,7.06
2a8g,3.69,5.5
1fwu,3.7,5.08
1gz3,3.7,6.37
1gz4,3.7,6.44
1pdz,3.7,4.66
1wht,3.7,5.92
2bjm,3.7,7.36
2bmz,3.7,4.97
2fx6,3.7,5.12
1fwv,3.72,4.99
1grp,3.72,4.98
2am4,3.72,6.85
1li6,3.8,5.01
2hb1,3.8,5.39
2hu6,3.81,6.93
1r0x,3.83,5.6
1utj,3.84,4.9
1n1t,3.85,5.57
1aj7,3.87,6.15
