weight,n,rmse,sdev,pcor,scor,kcor
0.05846,1105,1.855,1.856,0.534,0.523,0.367
0.00,1105,1.769,1.770,0.548,0.563,0.399
0.01,1105,1.727,1.727,0.577,0.579,0.413
0.02,1105,1.725,1.726,0.578,0.574,0.409
0.03,1105,1.745,1.746,0.569,0.562,0.399
0.04,1105,1.777,1.778,0.557,0.548,0.387
0.05,1105,1.817,1.818,0.544,0.534,0.376
0.06,1105,1.862,1.863,0.533,0.521,0.365
0.07,1105,1.911,1.912,0.522,0.510,0.356
0.08,1105,1.961,1.962,0.512,0.500,0.348
0.09,1105,2.013,2.014,0.504,0.491,0.342
0.10,1105,2.066,2.067,0.496,0.484,0.336
0.11,1105,2.119,2.120,0.488,0.477,0.331
0.12,1105,2.172,2.173,0.482,0.471,0.326
0.13,1105,2.224,2.225,0.476,0.465,0.322
0.14,1105,2.276,2.278,0.470,0.460,0.318
0.15,1105,2.328,2.329,0.465,0.455,0.314
0.16,1105,2.379,2.380,0.460,0.450,0.311
0.17,1105,2.430,2.431,0.455,0.446,0.308
0.18,1105,2.479,2.480,0.451,0.442,0.306
0.19,1105,2.528,2.529,0.446,0.439,0.303
0.20,1105,2.576,2.577,0.443,0.436,0.301
0.21,1105,2.624,2.625,0.439,0.433,0.299
0.22,1105,2.670,2.671,0.435,0.430,0.297
0.23,1105,2.716,2.717,0.432,0.427,0.295
0.24,1105,2.761,2.762,0.429,0.425,0.293
0.25,1105,2.805,2.807,0.426,0.423,0.291
0.26,1105,2.849,2.850,0.423,0.421,0.290
0.27,1105,2.892,2.893,0.420,0.419,0.289
0.28,1105,2.934,2.935,0.417,0.417,0.287
0.29,1105,2.975,2.977,0.414,0.415,0.286
0.30,1105,3.016,3.018,0.412,0.413,0.285
0.31,1105,3.056,3.058,0.409,0.412,0.284
0.32,1105,3.096,3.097,0.407,0.410,0.283
0.33,1105,3.135,3.136,0.405,0.409,0.282
0.34,1105,3.173,3.174,0.402,0.407,0.281
0.35,1105,3.211,3.212,0.400,0.406,0.280
0.36,1105,3.248,3.249,0.398,0.405,0.279
0.37,1105,3.284,3.286,0.396,0.404,0.278
0.38,1105,3.320,3.322,0.394,0.403,0.278
0.39,1105,3.356,3.357,0.392,0.402,0.277
0.40,1105,3.391,3.392,0.390,0.400,0.276
0.41,1105,3.425,3.427,0.389,0.399,0.275
0.42,1105,3.459,3.460,0.387,0.398,0.274
0.43,1105,3.492,3.494,0.385,0.397,0.274
0.44,1105,3.525,3.527,0.383,0.396,0.273
0.45,1105,3.558,3.560,0.382,0.395,0.272
0.46,1105,3.590,3.592,0.380,0.394,0.272
0.47,1105,3.622,3.623,0.379,0.394,0.271
0.48,1105,3.653,3.654,0.377,0.393,0.270
0.49,1105,3.684,3.685,0.376,0.392,0.270
0.50,1105,3.714,3.716,0.374,0.391,0.269
0.51,1105,3.744,3.746,0.373,0.390,0.269
0.52,1105,3.774,3.775,0.371,0.390,0.268
0.53,1105,3.803,3.805,0.370,0.389,0.268
0.54,1105,3.832,3.834,0.369,0.388,0.267
0.55,1105,3.860,3.862,0.367,0.387,0.267
0.56,1105,3.889,3.890,0.366,0.387,0.266
0.57,1105,3.916,3.918,0.365,0.386,0.266
0.58,1105,3.944,3.946,0.364,0.386,0.265
0.59,1105,3.971,3.973,0.362,0.385,0.265
0.60,1105,3.998,4.000,0.361,0.384,0.265
0.61,1105,4.025,4.026,0.360,0.384,0.264
0.62,1105,4.051,4.053,0.359,0.383,0.264
0.63,1105,4.077,4.079,0.358,0.382,0.263
0.64,1105,4.102,4.104,0.357,0.382,0.263
0.65,1105,4.128,4.130,0.356,0.381,0.262
0.66,1105,4.153,4.155,0.355,0.381,0.262
0.67,1105,4.178,4.179,0.354,0.380,0.262
0.68,1105,4.202,4.204,0.353,0.380,0.261
0.69,1105,4.226,4.228,0.352,0.379,0.261
0.70,1105,4.250,4.252,0.351,0.379,0.261
0.71,1105,4.274,4.276,0.350,0.378,0.260
0.72,1105,4.298,4.300,0.349,0.378,0.260
0.73,1105,4.321,4.323,0.348,0.378,0.260
0.74,1105,4.344,4.346,0.347,0.377,0.260
0.75,1105,4.367,4.369,0.346,0.377,0.259
0.76,1105,4.389,4.391,0.345,0.376,0.259
0.77,1105,4.412,4.414,0.344,0.376,0.259
0.78,1105,4.434,4.436,0.343,0.376,0.258
0.79,1105,4.456,4.458,0.342,0.375,0.258
0.80,1105,4.477,4.479,0.341,0.375,0.258
0.81,1105,4.499,4.501,0.341,0.374,0.258
0.82,1105,4.520,4.522,0.340,0.374,0.257
0.83,1105,4.541,4.543,0.339,0.374,0.257
0.84,1105,4.562,4.564,0.338,0.374,0.257
0.85,1105,4.582,4.585,0.337,0.373,0.257
0.86,1105,4.603,4.605,0.337,0.373,0.257
0.87,1105,4.623,4.625,0.336,0.373,0.256
0.88,1105,4.643,4.645,0.335,0.372,0.256
0.89,1105,4.663,4.665,0.334,0.372,0.256
0.90,1105,4.683,4.685,0.334,0.372,0.256
0.91,1105,4.702,4.705,0.333,0.372,0.256
0.92,1105,4.722,4.724,0.332,0.371,0.255
0.93,1105,4.741,4.743,0.332,0.371,0.255
0.94,1105,4.760,4.762,0.331,0.371,0.255
0.95,1105,4.779,4.781,0.330,0.370,0.255
0.96,1105,4.798,4.800,0.329,0.370,0.254
0.97,1105,4.816,4.818,0.329,0.370,0.254
0.98,1105,4.834,4.837,0.328,0.369,0.254
0.99,1105,4.853,4.855,0.328,0.369,0.254
1.00,1105,4.871,4.873,0.327,0.369,0.254
