pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,nacttors,ninacttors,PDB
5.8200,131.9936,1628.0815,6.5491,36.5276,7.4662,18.0000,2.0000,11gs
7.5700,93.9692,1168.4709,3.7839,62.4447,4.4122,10.0000,1.0000,1a0q
6.4000,83.9814,1223.7361,5.9918,30.0145,7.8610,15.0000,2.0000,1a1c
6.0000,83.0550,1184.0804,5.3453,29.5745,8.2710,14.0000,2.0000,1a1e
9.8900,70.5230,1148.4381,4.0062,15.1576,3.2747,7.0000,3.0000,1a42
8.0000,84.4441,1470.1277,2.3405,41.9288,0.3660,6.0000,1.0000,1a4k
6.6600,118.7047,1290.9684,5.8838,0.0000,6.3700,6.0000,3.0000,1a4r
5.9200,99.0798,1833.4337,5.0998,44.2083,6.1157,13.0000,2.0000,1a4w
9.7000,137.9523,2545.8281,4.0712,76.5300,4.7458,11.0000,11.0000,1a7x
5.5200,75.3172,1078.2510,3.2711,0.0000,7.7358,1.0000,4.0000,1a8i
7.8500,141.4093,2738.4910,7.0474,61.3570,7.0264,28.0000,7.0000,1a94
5.7000,54.5830,456.2386,2.5660,27.1777,3.0362,3.0000,2.0000,1a99
6.9200,111.6643,2157.3494,4.6991,42.9297,5.6070,19.0000,4.0000,1a9m
8.4000,106.0679,1982.9348,9.0832,47.2741,8.8956,17.0000,9.0000,1aaq
5.4200,54.4028,824.1589,4.9071,4.8234,8.1111,0.0000,5.0000,1abf
6.7400,95.0647,1285.8998,4.1037,4.4021,4.0920,2.0000,4.0000,1add
5.3600,47.2798,1216.8921,1.0702,49.8354,2.1230,14.0000,1.0000,1adl
6.0000,52.2936,541.9473,2.1916,0.0000,3.2647,4.0000,1.0000,1ado
3.1000,104.3324,1347.4518,4.4211,6.6081,6.7185,2.0000,3.0000,1af2
1.8200,75.6229,1049.4810,5.9921,0.0000,9.9913,5.0000,8.0000,1af6
6.6200,98.5499,1193.9684,6.6856,0.0000,6.6208,8.0000,2.0000,1afk
6.2800,104.1888,1219.2313,13.4635,0.0000,5.8102,8.0000,1.0000,1afl
12.0000,125.5616,1921.0671,6.7606,15.2857,10.6587,9.0000,14.0000,1agm
2.5000,51.2891,767.1401,2.1198,28.0624,1.3252,2.0000,2.0000,1ai4
4.0900,48.0200,507.1369,1.0691,38.5756,0.0000,0.0000,1.0000,1ai7
4.8200,46.0274,1230.5140,0.6026,46.5698,0.0000,6.0000,1.0000,1aid
5.9200,79.9603,1314.4893,1.8405,32.2427,1.7842,9.0000,9.0000,1aj6
3.8700,85.8939,1242.8829,3.4623,22.1001,1.5796,8.0000,0.0000,1aj7
2.6300,49.5433,842.2430,2.0193,32.5899,1.0000,3.0000,0.0000,1ajn
7.7200,141.3814,2269.5188,5.3333,85.7294,6.2019,10.0000,2.0000,1ajv
7.9100,120.0436,2172.0176,3.2337,74.3122,5.2153,10.0000,2.0000,1ajx
6.5200,29.0514,579.5496,0.4490,29.9947,0.0000,3.0000,1.0000,1alw
4.5400,70.8271,1303.7507,3.4287,0.0000,2.4582,6.0000,3.0000,1amw
5.8200,55.6978,797.7427,3.8096,4.1445,6.6381,0.0000,5.0000,1apb
9.0000,114.4776,1668.7909,4.9839,40.5681,9.1628,14.0000,11.0000,1apv
6.2800,97.6100,1208.7809,6.1525,12.1731,3.1816,9.0000,4.0000,1atl
4.0500,132.6766,2127.9810,7.3944,52.6299,4.4089,10.0000,0.0000,1awi
3.1300,50.3978,772.9088,3.0302,3.4267,5.1514,2.0000,5.0000,1ax0
3.2000,44.5700,644.1353,2.6892,0.0000,5.0092,1.0000,5.0000,1axz
7.1200,124.0091,1600.4434,7.7154,15.2382,10.4507,14.0000,4.0000,1b05
6.7000,165.5893,2210.0383,9.3702,66.7659,11.7733,15.0000,3.0000,1b0h
7.3900,57.6837,1049.1592,2.1864,24.7329,3.6278,12.0000,4.0000,1b11
7.0300,157.3138,1991.4779,7.6076,49.5291,10.5728,16.0000,3.0000,1b1h
4.5400,131.9947,1767.8455,6.2234,24.3287,11.6643,16.0000,4.0000,1b2h
7.1000,138.4967,1747.3563,7.2723,20.8687,11.1834,16.0000,4.0000,1b32
6.6000,104.2166,1834.2919,8.5737,0.0000,10.9831,8.0000,3.0000,1b38
6.8900,139.0086,1894.8679,8.5570,20.5417,11.3861,15.0000,3.0000,1b3f
6.7000,127.4592,1727.1128,7.3400,33.8513,11.0420,15.0000,5.0000,1b3g
6.2100,137.3792,1941.9977,6.9893,40.4583,9.9408,15.0000,3.0000,1b3h
5.8900,107.0383,1418.9590,6.4785,14.8660,10.7720,13.0000,3.0000,1b3l
7.2800,148.5301,1983.6722,7.3724,47.8410,10.4082,15.0000,3.0000,1b40
5.2800,122.6009,1687.3578,6.2948,26.3982,10.5252,12.0000,3.0000,1b46
5.4600,125.3669,1676.4612,7.8125,19.9102,11.1766,15.0000,4.0000,1b4h
5.2300,131.6663,1755.3156,7.1473,21.4281,11.6181,15.0000,3.0000,1b4z
