pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
6.0000,83.0549,1184.0800,5.3453,29.5745,8.2710,0.0667,1a1e
8.0000,84.4441,1470.1277,2.3405,41.9288,0.3660,0.1429,1a4k
6.6600,118.7047,1290.9684,5.8838,0.0000,6.3700,0.1176,1a4r
5.9200,99.0798,1833.4337,5.0998,44.2083,6.1157,0.0714,1a4w
5.5200,75.3172,1135.3738,3.2711,0.0000,7.7358,0.2500,1a8i
7.8500,141.4094,2738.4905,7.0474,61.3570,7.0264,0.0339,1a94
5.7000,54.5830,456.2386,2.5660,27.1777,3.0362,0.2000,1a99
6.9200,111.6643,2157.3525,4.6991,42.9297,5.6070,0.0488,1a9m
8.4000,106.0679,1982.9342,9.0832,47.2741,8.8956,0.0526,1aaq
6.7400,95.0647,1285.8998,4.1037,4.4021,4.0920,0.2000,1add
5.3600,47.2798,1216.8911,1.0702,49.8354,2.1230,0.0667,1adl
6.0000,52.2936,541.9473,2.1916,0.0000,3.2647,0.1818,1ado
6.6200,98.5499,1193.9684,6.6856,0.0000,6.6208,0.1000,1afk
6.2800,104.1888,1219.2313,13.4635,0.0000,5.8102,0.1053,1afl
2.5000,51.2891,767.1401,2.1198,28.0624,1.3252,0.2500,1ai4
4.0900,48.0200,507.1369,1.0691,38.5756,0.0000,0.6667,1ai7
4.8200,46.0274,1230.5143,0.6026,46.5698,0.0000,0.1333,1aid
3.8700,85.8938,1242.8828,3.4623,22.1001,1.5796,0.1111,1aj7
2.6300,49.5433,842.2430,2.0193,32.5899,1.0000,0.2500,1ajn
7.7200,141.3814,2269.5188,5.3333,85.7294,6.2019,0.0833,1ajv
7.9100,120.0436,2172.0176,3.2337,74.3122,5.2153,0.0833,1ajx
6.5200,29.0514,579.5497,0.4490,29.9947,0.0000,0.2222,1alw
4.3000,49.9910,590.9911,7.2442,0.0000,4.9859,0.2500,1amk
4.5400,70.8271,1303.7507,3.4287,0.0000,2.4582,0.1176,1amw
9.0000,114.4776,1668.7902,4.9839,40.5681,9.1628,0.0625,1apv
6.2800,97.6101,1208.7809,6.1525,12.1731,3.1816,0.0952,1atl
3.1300,50.3978,772.9088,3.0302,3.4267,5.1514,0.2000,1ax0
3.2000,44.5700,644.1353,2.6892,0.0000,5.0092,0.2222,1axz
7.1200,124.0091,1600.4434,7.7154,15.2382,10.4507,0.0588,1b05
6.7000,165.5893,2210.0383,9.3702,66.7659,11.7733,0.0571,1b0h
7.0300,157.3138,1991.4779,7.6076,49.5291,10.5728,0.0541,1b1h
4.5400,131.9947,1767.8455,6.2234,24.3287,11.6643,0.0526,1b2h
7.1000,138.4967,1747.3563,7.2723,20.8687,11.1834,0.0541,1b32
6.6000,104.2166,1834.2919,8.5737,0.0000,10.9831,0.0952,1b38
6.8900,139.0086,1894.8679,8.5570,20.5417,11.3861,0.0571,1b3f
6.7000,127.4592,1727.1130,7.3400,33.8513,11.0420,0.0571,1b3g
6.2100,137.3792,1941.9977,6.9893,40.4583,9.9408,0.0571,1b3h
5.8900,107.0382,1418.9600,6.4785,14.8660,10.7720,0.0645,1b3l
7.2800,148.5301,1983.6722,7.3724,47.8410,10.4082,0.0571,1b40
5.2800,122.6009,1687.3578,6.2948,26.3982,10.5252,0.0690,1b46
5.4600,125.3669,1676.4612,7.8125,19.9102,11.1766,0.0556,1b4h
5.2300,131.6663,1755.3156,7.1473,21.4281,11.6181,0.0571,1b4z
7.3700,117.7894,1589.9142,6.0558,14.3039,10.3541,0.0588,1b51
7.1200,122.2847,1630.1571,6.4137,18.7041,10.8079,0.0588,1b52
7.4000,107.9274,1319.1741,10.1843,0.0000,12.1294,0.1000,1b55
6.5900,149.2224,1980.9109,6.8681,41.3692,11.1702,0.0556,1b58
6.0100,121.1930,1603.1586,7.1796,15.4202,10.5451,0.0588,1b5h
7.0500,127.8265,1736.1929,6.5751,20.8765,10.4382,0.0571,1b5i
7.4300,138.7746,1818.3484,7.0399,27.3326,11.8520,0.0541,1b5j
7.8200,128.2072,1678.2476,7.1163,30.2669,10.9333,0.0571,1b6h
7.9200,130.3994,2484.0554,4.6578,48.0813,8.1796,0.0690,1b6j
8.7400,114.2709,2417.7698,4.5922,66.9409,6.4453,0.0714,1b6k
8.3000,104.9325,2069.2747,4.3323,47.3469,6.2983,0.1176,1b6l
8.4000,112.1789,2242.3396,4.1783,78.1178,5.6384,0.0800,1b6m
10.5200,104.4129,1356.3256,4.1712,2.6446,6.5442,0.2000,1b8n
7.8500,117.4796,1648.2737,3.8789,46.8743,2.9603,0.1429,1b8y
7.7000,121.4590,2748.0156,7.0003,52.0178,6.4163,0.0339,1bai
8.7000,37.7188,544.4706,2.1980,15.7993,2.0033,0.4000,1bcd
3.7000,50.4562,609.2549,3.7093,1.5578,6.0362,0.2000,1bcj
6.3400,118.8694,2043.5219,3.6111,76.1059,4.4470,0.0645,1bdq
8.5700,66.3917,1308.2166,3.1629,24.1985,1.8314,0.5000,1bgq
4.3800,109.1141,1402.3947,3.9568,42.0529,5.8834,0.0476,1bhf
6.8400,106.7781,1531.8376,2.8429,39.9349,4.3509,0.1000,1bhx
3.2200,106.7548,1297.7814,4.9542,12.9078,4.8829,0.1818,1br6
5.8000,82.1456,939.7517,6.5977,7.9611,8.2080,0.1667,1g3c
5.5500,67.4088,886.1483,4.0519,5.6853,7.8004,0.1667,1g3d
5.3800,69.6804,926.8552,4.5118,4.8030,7.1920,0.1667,1g3e
8.6400,49.9311,897.3288,3.8455,31.0509,1.6040,0.1818,1g45
8.8000,54.3361,930.6564,3.8057,32.2976,1.5548,0.1818,1g46
8.4100,52.3294,934.5818,3.9251,30.2905,1.5239,0.1818,1g48
5.1300,99.7489,1041.2361,6.5675,48.9912,4.9965,0.2222,1gcz
4.3500,70.1836,1056.2095,4.1103,12.7101,5.2599,0.2857,1ghv
4.2000,78.5165,1048.3210,6.2330,20.4940,5.7855,0.2500,1ghw
8.3300,91.0594,1585.7870,2.4958,57.2749,4.2713,0.1000,1hwr
9.9200,137.9337,2403.4829,5.2194,82.3755,5.2530,0.0690,1hxb
10.8200,142.8040,2329.4548,5.0025,66.5930,5.8400,0.0513,1hxw
4.0700,64.9100,804.2957,4.0544,6.2297,6.4253,0.2000,1hyo
7.0900,171.5727,1832.4564,7.4544,48.7990,2.8450,0.0870,1lpg
7.5500,153.1334,1609.8395,4.2087,61.7981,3.0513,0.0952,1lpk
7.6000,144.5962,1567.6704,4.8856,65.1730,3.2968,0.1333,1lpz
6.8000,72.4054,1570.4493,1.5581,75.6558,2.2110,0.1429,1nq7
4.8000,88.4462,1025.1003,2.6580,13.2634,4.5060,0.2222,1bju
5.5400,87.0682,1183.2664,3.3456,11.1049,4.7778,0.1538,1bjv
7.5200,58.1699,1167.0173,3.0513,58.7071,0.9451,0.2000,1bm7
9.3400,59.1670,952.8584,5.5004,30.6062,2.9784,0.1538,1bn1
9.8900,63.5417,1043.3265,5.6959,23.7744,3.0663,0.2857,1bn3
9.3100,60.0418,988.9022,5.8252,27.3144,3.0013,0.1333,1bn4
10.0000,64.5424,1058.6644,5.2273,22.0308,2.9021,0.2857,1bnn
9.4900,64.4219,1097.3431,3.4535,10.4812,2.7315,0.1333,1bnq
9.8000,58.1747,1102.6326,3.7003,23.4456,3.4910,0.2500,1bnt
9.7000,60.3423,1079.4371,3.2309,9.1972,3.2881,0.2000,1bnu
8.7700,63.9206,1135.4724,5.4381,12.0663,3.2883,0.2222,1bnv
9.0800,56.7498,884.1835,3.4517,10.1830,1.7779,0.1538,1bnw
5.4000,69.3967,1038.9207,5.1835,0.6737,8.9402,0.1818,1bp0
5.2200,55.4879,1034.2791,4.6312,0.0349,6.0132,0.1429,1bq4
9.3000,184.2503,2650.3530,5.2328,104.2702,7.5935,0.0714,1bv7
9.9600,175.3362,2677.6121,6.4058,90.9925,9.0688,0.0714,1bv9
8.6000,162.4118,2687.2393,6.0247,78.0005,9.7380,0.0714,1bwa
8.4200,177.0882,2897.7944,7.9860,89.3215,10.6690,0.0714,1bwb
7.3800,142.0416,2033.9773,5.4142,65.5144,5.7689,0.0500,1bxq
3.4000,157.3728,2054.1233,12.4549,0.0000,12.9435,0.0952,1bxr
5.0000,88.5027,1669.2740,10.2461,0.0000,15.4516,0.0952,1byk
4.9200,125.1743,1303.6605,7.3052,81.4666,8.1338,0.1111,1bzc
4.6600,103.9525,1142.3690,7.1395,81.5764,6.4366,0.2500,1bzj
8.3400,139.9688,1571.7823,11.4343,6.8051,15.8026,0.1667,1bzy
7.6300,81.1841,1126.7981,3.0007,4.4550,5.7955,0.2222,1c1r
8.2500,80.1623,1209.2845,3.0341,8.8587,4.7039,0.2222,1c1u
7.6400,86.8884,1311.8369,4.5667,9.6609,5.6260,0.1538,1c1v
6.5900,125.4646,1714.0515,8.5133,48.8906,6.9327,0.0870,1c2t
6.5900,124.7460,1726.1904,8.1885,42.1914,6.1646,0.0870,1c3e
3.6800,72.3348,732.0588,4.0964,1.0199,2.4191,1.0000,1c3x
10.3700,120.1373,1721.1525,7.2934,47.4550,4.2620,0.1176,1c4u
6.9600,90.7470,1267.6575,5.4492,43.1441,5.6168,0.2500,1c5c
4.7000,52.1992,771.1151,2.3638,2.6230,2.5180,0.4000,1c5n
3.4900,45.4817,589.7881,1.9801,5.4955,3.1496,0.4000,1c5o
4.6800,56.2662,607.5009,2.2391,3.6357,3.9924,0.4000,1c5p
6.3600,66.6662,766.5778,1.8681,4.1817,3.5100,0.4000,1c5q
6.0000,69.4854,730.5157,3.0129,6.9239,4.6987,0.4000,1c5s
4.1000,57.8706,747.9852,2.3343,4.7590,4.3987,0.4000,1c5t
6.6800,78.5934,799.3052,3.6009,7.0349,4.2791,0.4000,1c5x
4.2000,71.3965,776.2308,3.1125,4.8616,4.4739,0.4000,1c5y
4.0100,60.2250,620.1006,2.9335,5.2894,4.5818,0.4000,1c5z
10.3000,150.8896,2394.6921,4.2233,84.7183,4.9773,0.0714,1c70
4.8500,103.5130,1029.3821,6.1268,39.5538,6.2947,0.2500,1c83
5.0000,95.3964,1059.0657,5.7658,58.3870,4.6337,0.2500,1c84
4.7000,93.1405,1002.9290,7.7819,21.1742,8.1475,0.2500,1c86
4.2000,88.4574,1001.5494,7.9599,21.6949,7.6513,0.2500,1c87
5.2900,104.9305,1025.7034,7.8897,24.1235,8.1445,0.2500,1c88
6.3500,67.7116,1039.5529,5.6390,29.3628,5.8067,0.1667,1cbx
6.0000,51.1939,555.5002,4.4902,34.8042,4.7346,0.2857,1ceb
2.8900,54.5711,748.8432,1.0196,41.1716,0.3904,0.1111,1cet
6.8700,120.7213,1742.0920,5.5331,27.1971,6.5456,0.0500,1cgl
7.0000,153.3807,1776.9454,8.9749,0.0000,10.5665,0.1333,1ch8
7.4400,141.2678,2039.5227,5.1681,63.4470,2.5565,0.1111,1ciz
7.7200,65.0110,1093.4546,3.5719,21.5180,1.7604,0.0714,1cnw
7.3700,66.2087,1036.6538,1.9271,22.0548,1.8734,0.0833,1cnx
7.8500,61.4067,1065.2668,1.8346,21.4792,1.4557,0.0625,1cny
6.6600,58.2941,1034.0408,5.1837,20.7075,5.5275,0.1429,1cps
6.5200,127.0032,1641.5857,5.6945,62.4617,5.0545,0.0741,1ct8
4.5200,88.4950,1302.8682,4.1460,7.5808,5.7721,0.2222,1ctt
11.9200,99.5147,1376.2303,8.4737,6.1324,9.7612,0.2000,1ctu
6.0000,145.8780,1364.9412,10.4500,0.0000,15.8347,0.1176,1d2e
9.0900,121.4598,1737.2450,2.7315,67.0056,1.0000,0.0952,1d3d
7.3900,123.5001,1721.4545,1.5414,57.8443,0.9261,0.0800,1d3p
10.0000,148.1812,2477.2554,5.1863,98.9848,7.2999,0.0645,1d4h
8.8500,158.0525,2555.5281,4.3414,103.1075,6.5208,0.0645,1d4i
8.3600,149.3408,2537.7161,4.2892,96.9829,6.3448,0.0606,1d4j
9.2200,120.7671,2460.1738,6.1418,82.2347,6.5398,0.0769,1d4k
8.7700,106.7341,2184.3713,5.2183,62.4016,6.0338,0.0909,1d4l
6.3000,97.4798,1444.5122,2.1776,46.4455,3.3535,0.1818,1d4p
11.1000,114.2342,2127.0659,3.8812,68.0387,5.3605,0.0741,1d4y
6.1700,109.0455,1560.9977,3.8282,103.8429,0.9287,0.1176,1d6v
5.9600,120.3412,1840.7372,9.0075,47.9922,2.8098,0.1250,1d6w
3.6000,31.7843,304.4360,1.7698,0.0000,0.9204,0.3333,1d7i
9.1100,105.1143,1532.4247,7.7321,39.5692,2.6175,0.1176,1d9i
4.9600,117.5635,1153.2684,9.4427,0.0000,10.6035,0.1176,1dar
9.2600,85.8712,1888.4894,3.2790,90.7403,5.2743,0.1176,1db1
6.7000,118.8877,1703.0466,4.7791,48.6332,4.2656,0.0870,1dfo
6.5500,93.8678,1434.5214,3.1711,35.2172,5.3299,0.0952,1dhj
10.6600,176.5102,2715.4954,4.4721,97.9992,6.2020,0.0476,1dif
6.4900,88.8569,916.6048,5.6296,12.6012,0.5781,0.1250,1dl7
9.5500,125.1344,2153.0244,3.7168,89.6772,5.3728,0.0909,1dmp
8.0000,105.8988,1139.0569,7.7681,2.5230,13.4199,0.1667,1dqn
11.0500,101.5782,1507.7861,10.7105,4.6008,12.4923,0.1538,1dqx
7.4000,74.1131,739.2638,5.4069,0.0000,9.8032,0.3333,1drj
6.8200,78.6909,742.2603,6.1227,0.0000,9.9407,0.3333,1drk
6.5400,144.9644,2097.6191,10.9071,20.9730,8.2280,0.0690,1drv
4.8200,83.0640,1053.2842,2.4713,10.4730,4.5082,0.1333,1dud
11.8000,116.1141,1210.0405,11.1970,2.0453,18.1903,0.1000,1duv
4.3600,104.4489,1178.8447,2.9854,57.6917,4.2868,0.1333,1dy4
6.1000,25.2337,887.5322,3.5964,19.5958,0.0000,0.2500,1dzk
5.8900,59.4883,1140.3116,4.2321,11.5249,4.1764,0.1818,1e1x
4.9400,84.9487,1210.5432,3.6702,36.4549,2.0179,0.2500,1e2k
4.2900,86.1793,1148.6333,4.4562,32.4156,3.5088,0.2500,1e2l
4.3400,43.5224,1217.6674,2.3996,39.8062,1.0000,0.1667,1e3v
8.4100,37.9125,749.7852,0.6493,35.0119,0.0000,0.6667,1e4h
4.0000,100.5001,1577.3708,5.3260,0.0000,9.6406,0.0541,1e5j
3.1500,78.7066,921.1265,5.4340,0.0000,7.9690,0.2500,1e6q
3.2200,80.9791,866.6215,7.7136,0.0000,9.6786,0.1818,1e6s
6.0100,137.0817,1419.3281,8.4386,40.0635,6.7202,0.1176,1eb2
10.8200,72.7410,705.7564,9.7194,0.0000,13.5142,0.2857,1ebg
9.0500,130.8143,2395.6799,5.5779,81.9588,9.0501,0.0476,1ebw
9.7000,154.2404,2545.6565,5.6936,100.4329,7.9447,0.0625,1eby
9.4000,138.3448,2453.4082,5.7654,81.0608,8.2322,0.0571,1ebz
8.4900,170.9368,2717.8423,6.4378,103.0476,8.3038,0.0625,1ec0
8.9200,151.0528,2688.0967,7.4258,79.5429,9.3935,0.0476,1ec1
10.0000,142.5387,2694.8606,6.3074,80.2438,9.1025,0.0476,1ec2
9.0400,146.7795,2647.8438,7.7825,74.0827,8.3952,0.0435,1ec3
3.1000,83.9321,1018.8129,9.6514,0.0000,10.6347,0.1429,1ec9
3.0000,82.7170,1023.5984,14.1028,0.7759,10.0302,0.1333,1ecq
4.8500,98.4886,928.1633,5.8304,38.7419,6.4445,0.2500,1ecv
8.2200,93.0098,1010.3241,1.6408,42.1997,1.4945,0.2500,1efy
5.7000,60.1096,672.7029,5.8830,0.0000,8.1472,0.2500,1egh
11.0600,101.9366,1523.4432,9.7664,4.7703,13.8552,0.1538,1eix
5.6200,100.5518,1371.1223,5.3601,7.2936,7.3331,0.2000,1ejn
6.6600,157.3564,1669.8722,13.8990,43.1915,2.0000,0.0690,1elc
6.7000,108.9211,1501.4231,13.8565,52.9598,3.7028,0.1000,1eld
6.8500,96.6910,1289.2455,3.0422,35.1913,2.4251,0.1111,1ele
4.9600,110.0320,1359.1783,6.2397,28.2785,10.4403,0.0435,1elr
5.0800,66.5942,778.1538,2.0121,27.2889,4.2040,0.6667,1enu
6.0500,56.0018,827.9420,5.7323,18.8082,4.4827,0.3333,1eoc
7.9600,141.7577,2118.9417,7.0906,53.7769,9.6780,0.0588,1epo
8.1000,56.5491,1495.0756,0.5067,68.9715,0.0000,0.1250,1erb
2.2600,53.7313,482.9260,11.3842,0.0000,3.7717,0.3333,1ew8
3.2200,32.6198,303.2842,5.8153,0.0000,0.5953,0.4000,1ew9
6.3300,192.7919,2376.8342,12.7581,0.0000,19.7997,0.0625,1ex8
5.1000,107.1683,1533.5396,2.7839,0.0000,4.0593,0.0444,1ez9
9.0500,167.2811,1654.1678,7.9797,101.5441,6.4351,0.0833,1ezq
7.6600,121.7504,1477.5771,3.9752,36.7585,2.0000,0.1667,1f0r
7.7400,125.0040,1355.2640,4.0739,35.3536,2.0000,0.1667,1f0s
6.0000,103.8068,1259.6500,4.3069,17.2352,4.3770,0.1250,1f0t
7.1600,129.4997,1413.9343,3.8126,42.7147,5.3143,0.0833,1f0u
6.7000,65.3974,843.7582,3.0024,19.1264,5.1138,0.5000,1f3e
5.5900,72.4951,939.2668,3.3912,5.3309,5.5034,0.1176,1f4x
5.6400,33.9362,370.0777,3.3448,0.0000,3.9067,0.2500,1f57
