pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,flexibility,PDB
0.4900,35.9239,499.2256,1.6108,21.0663,1.0000,0.5000,1w8l
0.8200,51.1692,632.2584,5.3088,7.1610,3.2279,0.1667,1wkm
1.0100,45.4109,565.8831,2.7808,1.0000,4.6949,0.2222,2a31
1.2800,26.2692,428.5943,0.1514,0.0000,0.3894,0.2000,1f9g
1.3000,26.2395,566.8311,7.0084,0.9834,0.0000,0.1818,1b74
1.3600,27.3913,345.0158,2.2542,1.0000,1.6123,0.4000,1qpb
1.4900,50.8561,657.0640,2.5786,5.1364,2.0000,0.2222,1tnk
1.6000,47.7414,547.9244,1.2978,10.7937,1.6599,0.2222,1w8m
1.6600,26.7978,362.1683,4.0042,0.0000,7.6336,0.2857,1rdj
1.7200,26.3315,458.5208,1.0222,9.0360,0.4829,0.3333,2hdr
1.8000,40.3058,855.2267,2.0207,2.4119,1.6780,0.1176,1ga8
1.8200,75.6229,1049.4810,5.9921,0.0000,9.9913,0.1000,1af6
1.8200,67.1972,588.8718,6.3426,0.0000,7.8162,0.2000,1d5r
1.8400,31.4693,507.7477,3.7605,1.1376,7.2594,0.1818,1rdn
1.8800,55.6368,665.6876,3.1911,5.5864,1.9757,0.4000,1tnl
1.9000,54.7090,732.5897,3.8153,27.6843,5.7501,0.2222,1f2p
1.9100,48.5369,583.1623,4.0427,9.5667,5.7895,0.1818,1f2o
1.9600,53.5728,598.8158,2.6609,3.2738,2.0206,0.2857,1tnj
2.0500,53.4586,1053.9083,1.6311,0.0000,2.9499,0.0909,1jfh
2.0600,56.3336,616.9015,4.3959,1.3869,5.8460,0.1667,1qq9
2.0600,29.0679,381.6414,4.1363,0.0000,8.2474,0.2222,1rdi
2.1000,38.1087,959.3782,4.9788,6.3202,4.2079,0.0769,1njj
2.1500,46.2543,767.4036,2.5299,14.0891,3.1184,0.0741,1uxb
2.2100,37.3397,696.2489,3.0486,8.8457,4.4250,0.3333,1x8d
2.2200,75.3002,1259.5542,2.8927,0.0000,1.6591,0.0370,1icj
2.2200,64.2255,797.1244,3.2436,12.9560,5.4883,0.2857,2aac
2.2400,26.6785,395.9317,3.8102,0.0000,7.7130,0.2222,1rdl
2.2600,53.7309,477.8780,11.3842,0.0000,3.7717,0.3333,1ew8
2.2700,41.0500,572.6500,0.7622,6.2835,1.3651,0.2857,1uto
2.2800,91.1199,979.8383,7.1719,0.0000,10.0943,0.2500,1ps3
2.3000,44.9970,746.6675,2.3736,13.7045,3.0875,0.0741,1uxa
2.3000,56.0236,791.1844,8.9142,32.4915,3.6043,0.2857,3pcg
2.3100,112.7696,1581.8260,8.2204,22.9745,8.5803,0.1000,1m0o
2.3500,65.0744,776.7975,5.8332,0.0000,8.8769,0.1111,1qi0
2.3900,72.8151,1163.0858,7.4259,17.2080,2.0665,0.0800,1nwl
2.4000,50.2890,717.9618,4.7184,29.7197,2.1697,0.4000,3pcb
2.4400,31.5293,281.6779,0.6182,0.0000,0.1762,0.2000,1oba
2.4700,46.3200,590.2482,1.2988,8.4041,1.3726,0.2222,1utl
2.4800,60.3248,446.8197,1.3062,39.4297,1.2277,0.5000,1gyx
2.5000,51.2891,767.1401,2.1198,28.0624,1.3252,0.2500,1ai4
2.5700,66.1745,954.7536,1.7160,0.0000,3.9134,0.1111,1gwv
2.6000,74.8572,940.5540,10.3816,4.1297,10.4324,0.1538,2c4v
2.6300,49.5433,842.2430,2.0193,32.5899,1.0000,0.2500,1ajn
2.6800,59.3048,807.9192,6.0985,0.0000,11.3189,0.1818,1o8b
2.7200,46.3809,546.2112,2.3860,5.5507,2.0000,0.1667,1pfu
2.7500,44.1735,464.1837,2.3235,5.4823,3.7713,0.5000,1rql
