pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,PDB
0.4900,35.9240,499.2257,1.6108,21.0663,1.0000,1w8l
1.2800,26.2692,428.5943,0.1514,0.0000,0.3894,1f9g
1.3000,23.2201,513.8458,6.2368,0.9834,0.0000,1b74
1.3600,27.3913,345.0157,2.2542,1.0000,1.6123,1qpb
1.4900,50.8561,657.0640,2.5786,5.1364,2.0000,1tnk
1.6000,47.7414,547.9244,1.2978,10.7937,1.6599,1w8m
1.6600,26.7978,362.1683,4.0042,0.0000,7.6336,1rdj
1.8200,75.6229,1049.4810,5.9921,0.0000,9.9913,1af6
1.8200,67.1972,588.8718,6.3426,0.0000,7.8162,1d5r
1.8400,31.4693,507.7477,3.7605,1.1376,7.2594,1rdn
1.8800,55.6368,665.6876,3.1911,5.5864,1.9757,1tnl
1.9000,54.7090,732.5897,3.8153,27.6843,5.7501,1f2p
1.9100,48.5369,583.1624,4.0427,9.5667,5.7895,1f2o
1.9600,53.5728,598.8158,2.6609,3.2738,2.0206,1tnj
2.0600,56.3336,616.9017,4.3959,1.3869,5.8460,1qq9
2.0600,29.0679,381.6415,4.1363,0.0000,8.2474,1rdi
2.1000,38.1087,959.3779,4.9788,6.3202,4.2079,1njj
2.1200,75.8340,767.5932,10.1231,1.6763,6.9124,1qx1
2.2200,90.6546,1265.1355,6.0736,0.0000,4.7067,1fkx
2.2200,75.3002,1259.5542,2.8927,0.0000,1.6591,1icj
2.2200,64.2255,797.1244,3.2436,12.9560,5.4883,2aac
2.2400,26.6785,395.9317,3.8102,0.0000,7.7130,1rdl
2.2600,53.7309,477.8781,11.3842,0.0000,3.7717,1ew8
2.2700,41.0500,572.6500,0.7622,6.2835,1.3651,1uto
2.2800,91.1199,979.8383,7.1719,0.0000,10.0943,1ps3
2.3000,105.2533,1593.7378,6.0496,11.5580,10.0064,1cru
2.3000,56.0236,791.1844,8.9142,32.4915,3.6043,3pcg
2.3100,112.7696,1581.8258,8.2204,22.9745,8.5803,1m0o
2.3500,65.0744,776.7975,5.8332,0.0000,8.8769,1qi0
2.3900,72.3998,1136.3855,6.6783,0.5798,11.2562,1f73
2.3900,72.8151,1163.0858,7.4259,17.2080,2.0665,1nwl
2.4000,50.2890,717.9619,4.7184,29.7197,2.1697,3pcb
