pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,PDB
6.4000,111.8976,1374.5138,5.2593,35.4061,7.0350,10gs
5.6200,85.7255,1250.6732,3.4858,32.6792,5.4494,1a08
6.4000,85.0644,1159.9365,5.5878,30.1372,7.6279,1a1b
4.3000,85.6817,1306.8168,4.7111,20.4932,3.5947,1a30
5.3000,96.6926,1201.3448,4.2388,0.0000,4.6918,1a69
3.7200,57.4769,833.5275,2.2321,34.2044,1.4665,1ai5
2.2300,53.6159,770.4449,2.0653,21.2198,1.4426,1ajp
4.3100,59.6251,621.9600,2.4477,19.7976,2.5140,1ajq
8.0000,111.5541,1600.2546,4.6777,40.6302,8.1655,1apw
3.9000,13.3911,303.6917,1.3650,0.0000,1.0000,1avn
6.9200,103.9840,1812.2059,9.2062,0.0000,9.5769,1b39
8.0200,131.9391,1760.4229,7.4103,34.4988,10.5699,1b7h
10.6400,93.2780,1279.7040,3.3658,2.0746,5.8467,1b8o
5.9600,126.4287,1739.9197,6.9013,30.9430,11.3821,1b9j
3.2800,61.6900,865.7314,0.6354,11.1526,0.7476,1bcu
4.5900,117.5641,1613.5723,5.3877,48.5889,2.7752,1bma
1.8200,54.9023,610.7928,2.2715,6.6087,3.1695,1bra
10.0000,146.5634,2051.6858,4.9309,65.4640,5.5933,1bxo
7.5700,94.8086,1150.9894,9.7849,2.8746,16.2414,1d09
3.3000,28.4234,323.8843,0.7733,20.3397,0.7926,1d7j
4.3000,71.2748,856.8722,3.9061,0.0000,6.5151,1det
9.7000,86.8543,1158.0555,3.2050,33.5465,4.6617,1df8
7.2600,84.8786,1408.0975,2.7449,31.6161,4.5178,1dhi
4.9200,70.0055,1170.2344,4.3180,12.2018,2.7573,1e1v
7.6400,29.3291,546.9122,1.0704,23.6350,1.2927,1e5a
9.8900,126.4666,1345.5151,2.1968,89.2305,0.0000,1e66
6.3600,93.8676,1409.5258,3.7539,43.9953,3.6898,1ela
7.1500,102.4820,1376.7936,6.3917,39.8448,2.8937,1elb
2.9600,41.3640,854.4972,1.0496,47.7815,1.3226,1f4e
4.6200,73.8860,1426.2892,1.8273,48.8653,0.7257,1f4f
6.4800,97.6075,1755.1864,3.2856,56.1800,3.5606,1f4g
3.7400,50.6531,618.7176,2.1068,2.4314,3.7287,1f5k
7.1900,117.3308,1934.3541,2.1417,136.4690,1.8054,1fcx
9.2200,117.4536,1809.0088,2.4188,136.5433,1.9992,1fcz
8.4000,125.5207,1978.2800,2.6200,136.9566,2.1820,1fd0
5.2400,89.7490,1003.7949,6.5675,0.0000,8.5680,1fh7
6.8900,80.4189,918.5646,5.2001,6.3778,8.6112,1fh8
6.4300,105.0344,1134.8861,9.5881,0.0000,11.8430,1fh9
9.7000,108.7249,1758.7052,3.0140,63.5447,4.2878,1fkb
7.0000,85.5698,1230.9664,1.5532,59.1728,1.7966,1fki
8.8000,155.1722,2566.5522,9.9159,47.7833,13.1422,1fkn
10.0000,125.1950,1403.1854,2.8991,77.4154,3.6708,1flr
5.5900,274.0424,3696.4780,16.0131,106.6345,20.1442,1fo0
7.6100,86.6392,940.5820,4.6028,16.5453,7.5125,1ftm
