PDB,pbindaff
11gs,5.82
1a0q,7.57
1a1c,6.40
1a1e,6.00
1a42,9.89
1a4k,8.00
1a4r,6.66
1a4w,5.92
1a7x,9.70
1a8i,5.52
1a94,7.85
1a99,5.70
1a9m,6.92
1aaq,8.40
1abf,5.42
1add,6.74
1adl,5.36
1ado,6.00
1af2,3.10
1af6,1.82
1afk,6.62
1afl,6.28
1agm,12.00
1ai4,2.50
1ai7,4.09
1aid,4.82
1aj6,5.92
1aj7,3.87
1ajn,2.63
1ajv,7.72
1ajx,7.91
1alw,6.52
1amw,4.54
1apb,5.82
1apv,9.00
1atl,6.28
1awi,4.05
1ax0,3.13
1axz,3.20
1b05,7.12
1b0h,6.70
1b11,7.39
1b1h,7.03
1b2h,4.54
1b32,7.10
1b38,6.60
1b3f,6.89
1b3g,6.70
1b3h,6.21
1b3l,5.89
1b40,7.28
1b46,5.28
1b4h,5.46
1b4z,5.23
1b51,7.37
1b52,7.12
1b55,7.40
1b58,6.59
1b5h,6.01
1b5i,7.05
1b5j,7.43
1b6h,7.82
1b6j,7.92
1b6k,8.74
1b6l,8.30
1b6m,8.40
1b74,1.30
1b8n,10.52
1b8y,7.85
1bai,7.70
1bap,6.85
1bcd,8.70
1bdq,6.34
1bgq,8.57
1bhf,4.38
1bhx,6.84
1bn1,9.34
1bn3,9.89
1bn4,9.31
1bnn,10.00
1bnq,9.49
1bnt,9.80
1bnu,9.70
1bnv,8.77
1bnw,9.08
1bp0,5.40
1bq4,5.22
1br6,3.22
1bv7,9.30
1bv9,8.96
1bwa,7.60
1bwb,8.42
1bxq,7.38
1bxr,3.40
1byk,5.00
1bzc,4.92
1bzh,6.77
1bzj,4.66
1bzy,8.34
1c1r,7.63
1c1u,8.25
1c1v,7.64
1c3x,3.68
1c4u,10.37
1c4v,10.80
1c5c,6.96
1c5n,4.70
1c5o,3.49
1c5p,4.68
1c5q,6.36
1c5s,6.00
1c5t,4.10
1c5x,6.68
1c5y,4.20
1c5z,4.01
1c70,10.30
1c83,4.85
1c84,5.00
1c86,4.70
1c87,4.20
1c88,5.29
1caq,7.72
1cbx,6.35
1ce5,4.74
1cea,4.96
1ceb,6.00
1cet,2.89
1cgl,6.87
1ch8,7.00
1cil,9.43
1cim,8.82
1cin,8.73
1ciz,7.44
1cnw,7.72
1cnx,7.37
1cny,7.85
1cps,6.66
1ct8,6.52
1ctt,4.52
1ctu,11.92
1d2e,6.00
1d3d,9.09
1d3p,7.39
1d4k,9.22
1d4l,8.77
1d4p,6.30
1d4y,11.10
1d5r,1.82
1d6v,6.17
1d6w,5.96
1d7i,3.60
1d9i,9.11
1db1,9.26
1dfo,6.70
1dhj,6.55
1dif,10.66
1dl7,6.49
1dmp,9.55
1dqn,8.00
1dqx,11.05
1drj,7.40
1drk,6.82
1dud,4.82
1duv,11.80
1dy4,4.36
1dzk,6.10
1e1x,5.89
1e2k,4.94
1e2l,4.29
1e3v,4.34
1e4h,8.41
1e6q,3.15
1e6s,3.22
1ec9,3.10
1ecq,3.00
1ecv,4.85
1efy,8.22
1egh,5.70
1eix,11.06
1ejn,5.62
1elc,6.66
1eld,6.70
1ele,6.85
1elr,4.96
1ent,6.96
1epo,7.96
1erb,8.10
1ew8,2.26
1ew9,3.22
1ex8,6.33
1ez9,5.10
1ezq,9.05
1f0r,7.66
1f0s,7.74
1f0t,6.00
1f0u,7.16
1f2o,1.91
1f2p,1.90
1f3e,6.70
1f4x,5.59
1f57,5.64
1f5l,5.28
1f8a,5.00
1f9g,1.28
1fao,7.37
1fch,7.15
1fcy,8.52
1fdq,7.27
1fhd,6.82
1fiv,6.59
1fj4,4.59
1fjs,9.96
1fkf,9.40
1fkg,8.00
1fkh,8.15
1fkw,5.05
1fl3,6.80
1fm9,9.00
1fo0,5.59
1fpc,7.00
1fq5,8.40
1fv0,5.93
1fwu,3.70
1fwv,3.72
1fzm,7.70
1fzo,7.89
1fzq,7.62
1g1d,9.44
1g2k,7.96
1g2l,7.24
1g2o,10.55
1g30,6.85
1g32,6.11
1g35,8.14
1g36,7.17
1g3b,5.74
1g3c,5.80
1g3d,5.55
1g3e,5.38
1g45,8.64
1g46,8.80
1g48,8.41
1g4j,8.70
1g4o,8.25
1g52,9.54
1g53,9.04
1g54,8.82
1g7g,6.60
1g7v,6.40
1g85,5.48
1g98,5.70
1g9r,5.70
1ga8,1.80
1gaf,8.00
1gah,12.00
1gai,8.00
1gar,10.00
1gcz,5.13
1ghv,4.35
1ghw,4.20
1ghy,8.10
1ghz,4.80
1gi1,5.47
1gi4,7.19
1gi6,6.22
1gi7,4.51
1gi8,5.05
1gi9,5.22
1gj4,4.07
1gj6,7.00
1gj7,7.89
1gj8,6.96
1gja,5.42
1gjb,6.35
1gjc,6.35
1gjd,5.22
1gnm,6.25
1gnn,5.68
1gno,7.70
1gny,4.14
1gpn,6.48
1grp,3.72
1gt1,6.00
1gu1,4.52
1gvw,6.96
1gvx,7.22
1gwv,2.57
1gyx,2.48
1gyy,3.64
1gz3,3.70
1gz4,3.70
1gz9,3.51
1gzc,3.49
1h0a,5.44
1h1d,8.22
1h1h,5.22
1h1p,4.92
1h1s,8.22
1h22,9.10
1h2t,7.89
1h46,3.57
1h4w,4.66
1h6h,5.30
1h9z,5.42
1hbv,6.37
1heg,7.74
1hi3,4.19
1hi5,4.04
1hih,8.05
1hii,7.28
1hlk,5.00
1hmr,6.55
1hms,6.37
1hmt,5.79
1hn2,6.00
