PDB,pbindaff
10gs,6.40
1a08,5.62
1a1b,6.40
1a30,4.30
1a69,5.30
1ai5,3.72
1ajp,2.23
1ajq,4.31
1apw,8.00
1avn,3.90
1b39,6.92
1b7h,8.02
1b8o,10.64
1b9j,5.96
1bcu,3.28
1bma,4.59
1bra,1.82
1bxo,10.00
1d09,7.57
1d7j,3.30
1det,4.30
1df8,9.70
1dhi,7.26
1e1v,4.92
1e5a,7.64
1e66,9.89
1ela,6.36
1elb,7.15
1f4e,2.96
1f4f,4.62
1f4g,6.48
1f5k,3.74
1fcx,7.19
1fcz,9.22
1fd0,8.40
1fh7,5.24
1fh8,6.89
1fh9,6.43
1fkb,9.70
1fki,7.00
1fkn,8.80
1flr,10.00
1fo0,5.59
1ftm,7.61
1fzk,8.40
1g7q,6.06
1gni,8.07
1gpk,5.37
1gz9,3.51
1h23,8.35
1ha2,5.54
1hfs,8.70
1hi4,4.49
1hk4,5.31
1if7,10.52
1is0,7.00
1j16,3.84
1j17,5.22
1jaq,4.48
1jq9,8.45
1jqd,5.16
1jys,3.52
1k4g,5.85
1k9s,6.52
1kv1,5.94
1kv5,4.22
1l2s,4.59
1lol,6.39
1loq,3.70
1m0n,2.22
1m0q,3.89
1m2q,6.10
1mq6,11.15
1n2v,4.08
1nc1,6.12
1ndw,5.23
1ndy,6.17
1ndz,8.11
1nfy,8.89
1nhu,5.66
1nja,6.31
1nje,3.80
1nny,7.66
1nvq,8.25
1o0h,5.92
1o3f,7.96
1o3p,6.66
1ols,5.82
1olu,4.41
1om1,6.77
1p1q,4.89
1pb9,3.62
1pbq,6.27
1ppm,5.80
1pr5,3.92
1pxo,8.70
1pz5,5.40
1q7a,7.19
1q8t,4.76
1re8,9.52
1rnt,5.19
1s39,7.70
1sl3,11.85
1slg,3.90
1sqa,9.21
1sv3,4.74
1syh,6.31
1tmn,7.30
1toi,4.05
1toj,3.39
1tok,2.47
1trd,5.40
1tsy,4.96
1ttm,7.35
1tyr,7.00
1u1b,7.80
1u2y,1.74
1u33,4.60
1utp,1.44
1uwt,5.97
1v16,3.87
1v2o,4.73
1v48,7.80
1vfn,5.60
1vzq,7.44
1x1z,11.06
1xd1,7.92
1xgj,6.00
1y1m,1.82
1y6q,11.70
1ydt,7.32
1zc9,3.22
1zoe,7.40
1zs0,6.15
1zvx,9.22
2aou,7.73
2aov,7.04
2ayr,9.29
2azr,3.64
2b1v,5.74
2b7d,8.70
2baj,8.40
2bak,7.43
2bok,6.55
2brb,4.86
2brm,5.89
2bz6,7.09
2bzz,6.43
2c02,4.04
2ceq,7.28
2cer,9.22
2cet,8.02
2cgr,7.28
2ctc,3.89
2d0k,5.02
2d1o,7.70
2d3u,6.92
2d3z,6.64
2drc,9.89
2er9,7.40
2f01,13.00
2f80,8.18
2fai,6.24
2fdp,7.59
2flb,5.74
2fzc,2.70
2g5u,8.49
2g8r,3.99
2g94,9.52
2gss,4.94
2h3e,5.70
2hdq,1.40
2i0d,12.10
2j77,4.89
2j78,6.42
2qwb,2.74
2qwd,4.85
2qwe,7.48
2rkm,3.90
2std,9.85
2usn,6.51
3gss,5.82
3pce,2.00
3pch,5.40
3pcj,7.22
3std,11.11
4er2,9.30
4tim,2.16
4tln,3.72
4tmn,10.17
5er1,6.02
6rnt,2.37
6std,8.64
7cpa,13.96
8cpa,9.15
