PDB,pbindaff,predicted
10gs,6.40,4.93
1a08,5.62,3.64
1a1b,6.40,3.29
1a30,4.30,3.55
1a69,5.30,5.38
1ai5,3.72,4.07
1ajp,2.23,3.58
1ajq,4.31,3.57
1apw,8.00,5.04
1avn,3.90,0.95
1b39,6.92,5.15
1b7h,8.02,5.35
1b8o,10.64,6.45
1b9j,5.96,5.60
1bcu,3.28,4.96
1bma,4.59,4.49
1bra,1.82,3.56
1bxo,10.00,7.07
1d09,7.57,5.83
1d7j,3.30,2.00
1det,4.30,4.16
1df8,9.70,5.83
1dhi,7.26,5.34
1e1v,4.92,4.22
1e5a,7.64,3.24
1e66,9.89,8.35
1ela,6.36,4.90
1elb,7.15,3.26
1f4e,2.96,4.54
1f4f,4.62,5.09
1f4g,6.48,5.96
1f5k,3.74,3.71
1fcx,7.19,10.09
1fcz,9.22,9.47
1fd0,8.40,10.30
1fh7,5.24,4.57
1fh8,6.89,5.07
1fh9,6.43,4.81
1fkb,9.70,6.42
1fki,7.00,7.77
1fkn,8.80,4.96
1flr,10.00,9.04
1fo0,5.59,7.67
1ftm,7.61,5.39
1fzk,8.40,6.74
1g7q,6.06,5.10
1gni,8.07,4.46
1gpk,5.37,7.03
1gz9,3.51,4.14
1h23,8.35,7.09
1ha2,5.54,5.93
1hfs,8.70,8.26
1hi4,4.49,2.73
1hk4,5.31,3.35
1if7,10.52,3.27
1is0,7.00,3.75
1j16,3.84,4.04
1j17,5.22,7.10
1jaq,4.48,3.79
1jq9,8.45,0.91
1jqd,5.16,4.99
1jys,3.52,2.96
1k4g,5.85,5.01
1k9s,6.52,6.32
1kv1,5.94,5.95
1kv5,4.22,2.26
1l2s,4.59,4.69
1lol,6.39,5.59
1loq,3.70,5.27
1m0n,2.22,5.48
1m0q,3.89,5.28
1m2q,6.10,6.26
1mq6,11.15,6.82
1n2v,4.08,4.70
1nc1,6.12,5.39
1ndw,5.23,4.34
1ndy,6.17,5.05
1ndz,8.11,5.16
1nfy,8.89,6.93
1nhu,5.66,4.42
1nja,6.31,5.38
1nje,3.80,4.85
1nny,7.66,6.87
1nvq,8.25,8.78
1o0h,5.92,4.23
1o3f,7.96,5.61
1o3p,6.66,5.21
1ols,5.82,6.28
1olu,4.41,6.18
1om1,6.77,6.83
1p1q,4.89,3.50
1pb9,3.62,3.27
1pbq,6.27,5.68
1ppm,5.80,5.46
1pr5,3.92,4.71
1pxo,8.70,4.49
1pz5,5.40,3.82
1q7a,7.19,3.90
1q8t,4.76,4.62
1re8,9.52,8.99
1rnt,5.19,3.59
1s39,7.70,5.43
1sl3,11.85,7.61
1slg,3.90,4.66
1sqa,9.21,5.60
1sv3,4.74,2.86
1syh,6.31,6.69
1tmn,7.30,4.70
1toi,4.05,3.89
1toj,3.39,3.93
1tok,2.47,3.42
1trd,5.40,2.75
1tsy,4.96,5.36
1ttm,7.35,3.37
1tyr,7.00,-0.05
1u1b,7.80,5.25
1u2y,1.74,2.93
1u33,4.60,4.24
1utp,1.44,2.49
1uwt,5.97,4.19
1v16,3.87,6.40
1v2o,4.73,3.64
1v48,7.80,5.43
1vfn,5.60,3.39
1vzq,7.44,7.92
1x1z,11.06,6.59
1xd1,7.92,5.64
1xgj,6.00,3.74
1y1m,1.82,4.39
1y6q,11.70,6.36
1ydt,7.32,6.12
1zc9,3.22,2.26
1zoe,7.40,4.52
1zs0,6.15,5.13
1zvx,9.22,5.38
2aou,7.73,5.75
2aov,7.04,5.29
2ayr,9.29,7.55
2azr,3.64,4.81
2b1v,5.74,5.54
2b7d,8.70,6.14
2baj,8.40,7.81
2bak,7.43,7.33
2bok,6.55,5.90
2brb,4.86,5.53
2brm,5.89,5.21
2bz6,7.09,5.56
2bzz,6.43,4.74
2c02,4.04,4.09
2ceq,7.28,3.83
2cer,9.22,5.67
2cet,8.02,5.75
2cgr,7.28,6.90
2ctc,3.89,4.17
2d0k,5.02,5.11
2d1o,7.70,4.87
2d3u,6.92,6.04
2d3z,6.64,5.92
2drc,9.89,5.42
2er9,7.40,5.33
2f01,13.00,6.26
2f80,8.18,5.97
2fai,6.24,5.60
2fdp,7.59,7.17
2flb,5.74,5.06
2fzc,2.70,2.93
2g5u,8.49,5.38
2g8r,3.99,3.04
2g94,9.52,5.65
2gss,4.94,3.50
2h3e,5.70,6.60
2hdq,1.40,2.93
2i0d,12.10,5.80
2j77,4.89,4.13
2j78,6.42,4.19
2qwb,2.74,4.32
2qwd,4.85,3.81
2qwe,7.48,5.06
2rkm,3.90,4.78
2std,9.85,6.25
2usn,6.51,4.08
3gss,5.82,4.55
3pce,2.00,2.30
3pch,5.40,2.39
3pcj,7.22,3.37
3std,11.11,9.44
4er2,9.30,4.51
4tim,2.16,2.28
4tln,3.72,1.12
4tmn,10.17,5.68
5er1,6.02,4.00
6rnt,2.37,3.11
6std,8.64,6.50
7cpa,13.96,5.55
8cpa,9.15,4.02
