pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,nacttors,ninacttors,PDB
6.0000,100.4153,1274.4264,4.0415,24.9214,8.4760,25.7719,217.0070,0.3144,8.4475,0.0000,14.0000,0.0000,1a1e
8.0000,91.8209,1636.5031,1.4743,44.9566,2.0937,13.7402,133.5331,0.8831,4.5719,0.5797,6.0000,0.0000,1a4k
6.6600,123.7329,1294.0654,4.6589,0.0000,9.4955,8.4732,105.5227,0.1235,0.0000,0.6604,6.0000,3.0000,1a4r
5.9200,109.5496,1931.2476,1.9867,48.3587,4.6246,34.3626,271.7000,0.5159,12.5995,0.0000,13.0000,0.0000,1a4w
5.5200,78.1318,1142.4207,1.9821,0.0000,6.4832,0.4098,7.8963,0.2645,0.0000,0.7348,1.0000,4.0000,1a8i
7.8500,167.8559,2770.4814,4.0607,64.6487,7.4237,58.3125,421.7674,1.5209,6.0677,0.5762,28.0000,1.0000,1a94
5.7000,60.4948,445.3631,2.0492,28.1313,2.9476,0.0058,1.8674,0.0000,0.0000,0.0000,3.0000,2.0000,1a99
6.9200,139.5011,2190.5398,3.2554,48.6568,6.1312,35.9365,256.9831,0.6188,5.9941,0.4335,19.0000,1.0000,1a9m
8.4000,113.4036,1988.8546,3.3321,48.7625,7.9109,29.3571,218.3359,0.5336,4.7705,0.5267,17.0000,2.0000,1aaq
6.7400,101.0037,1307.9453,4.1768,2.9426,5.2184,4.8445,42.9866,0.0866,0.0000,0.3747,2.0000,4.0000,1add
5.3600,53.8893,1202.4681,0.5156,52.4723,1.2238,31.2515,96.3263,0.1192,48.5702,0.0000,14.0000,0.0000,1adl
6.0000,37.2426,542.1683,2.6342,0.0000,6.6873,6.6228,4.4050,0.6674,0.0000,1.1832,4.0000,1.0000,1ado
6.6200,81.5531,1104.9307,1.8429,0.0000,4.3230,12.9357,151.1221,0.4601,0.0000,0.6367,8.0000,2.0000,1afk
6.2800,78.4872,1093.0918,2.1194,0.0000,4.2334,19.0930,161.7124,0.3752,0.0000,0.3215,8.0000,1.0000,1afl
2.5000,58.3933,766.1942,1.0633,30.9760,1.9024,2.1781,11.5016,0.0008,0.0000,0.0000,2.0000,2.0000,1ai4
4.0900,48.7893,515.7924,0.3245,38.9415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1ai7
4.8200,56.1167,1282.6812,0.8588,46.3926,0.8545,9.6057,101.9448,0.1214,8.1098,0.0000,6.0000,1.0000,1aid
3.8700,93.8608,1273.3158,2.1404,27.2121,2.6311,8.0368,47.4653,0.2830,0.0000,0.0000,8.0000,0.0000,1aj7
2.6300,57.4641,810.5332,0.5244,40.9049,0.0000,4.3787,17.1899,0.0059,0.0000,0.0000,3.0000,0.0000,1ajn
7.7200,145.2767,2305.4651,4.3758,93.1337,5.8022,19.2966,286.3201,0.1185,1.4396,0.0000,10.0000,2.0000,1ajv
