pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,nacttors,ninacttors,PDB
6.4000,109.8313,1323.6873,2.2537,74.5734,4.5683,28.0523,171.1459,0.3418,2.8704,0.0000,13.0000,1.0000,10gs
5.6200,97.2319,1447.8108,2.6116,28.1268,4.9361,56.8380,275.5323,0.7579,28.5762,1.0328,19.0000,3.0000,1a08
6.4000,111.3779,1336.5923,3.5281,34.7952,7.6397,45.9403,236.2735,0.6639,14.0737,0.0000,19.0000,3.0000,1a1b
4.3000,96.5715,1464.1450,1.7767,34.2822,3.2060,19.5349,128.3570,0.7931,0.2578,1.5518,12.0000,3.0000,1a30
5.3000,91.5769,1241.2390,4.3388,0.0000,7.0299,10.3177,40.5854,0.3530,0.0000,0.0000,2.0000,3.0000,1a69
3.7200,65.8208,824.3367,1.5424,34.4691,2.6704,3.8001,17.1389,0.0208,0.0000,0.0000,3.0000,0.0000,1ai5
2.2300,61.1703,800.7880,2.0797,28.5316,1.9432,3.6298,8.9665,0.0346,0.0000,0.0000,2.0000,2.0000,1ajp
4.3100,60.8248,615.9860,1.8453,26.4918,2.3077,2.5413,3.7007,0.0089,0.0000,0.0000,2.0000,0.0000,1ajq
8.0000,114.7744,1714.4034,3.5866,52.7104,6.7691,42.9400,216.4636,0.8852,14.6046,1.2686,14.0000,10.0000,1apw
3.9000,46.3540,483.9052,2.6513,4.0000,3.9094,1.6420,1.8648,0.0000,0.0000,0.0000,2.0000,1.0000,1avn
6.9200,110.2561,1887.3242,3.6459,0.0000,7.6082,16.7120,128.2585,0.4634,0.0000,0.0000,8.0000,3.0000,1b39
8.0200,130.4910,1742.4360,5.1809,34.6755,11.9289,13.2067,121.7603,0.3224,0.0000,0.3641,16.0000,4.0000,1b7h
10.6400,96.0156,1291.5353,2.8190,2.0810,5.5429,9.0408,43.2453,0.5090,0.0000,0.0000,2.0000,3.0000,1b8o
5.9600,129.6964,1742.7830,5.0348,32.6890,11.5777,15.3865,120.0017,0.4136,0.0000,0.3419,15.0000,5.0000,1b9j
3.2800,65.8966,851.9915,0.9288,13.0208,2.1029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1bcu
4.5900,112.0533,1539.9060,1.9368,54.2390,2.0745,25.1985,224.1893,0.8565,3.8487,0.6435,12.0000,5.0000,1bma
1.8200,58.5999,610.2626,2.1539,7.6351,3.3706,0.8972,2.0604,0.0000,0.0000,0.0000,1.0000,1.0000,1bra
10.0000,151.6468,2073.8601,3.9955,72.0115,6.0418,25.0078,187.7627,0.4543,6.6961,0.0000,10.0000,7.0000,1bxo
7.5700,93.0033,1151.2893,7.4554,2.9443,17.2318,11.9213,33.9835,0.9071,0.0000,1.2282,6.0000,0.0000,1d09
3.3000,35.7018,340.3834,0.8008,21.7451,2.0502,0.2175,0.6337,0.0000,0.0000,0.0000,2.0000,2.0000,1d7j
4.3000,68.7805,1013.8627,2.6397,0.0000,6.6821,9.0237,93.7644,0.0209,0.0000,0.0000,4.0000,3.0000,1det
9.7000,91.4914,1159.4795,2.5994,33.7505,4.2114,3.0360,30.1834,0.0247,0.0000,0.0000,5.0000,0.0000,1df8
7.2600,90.3157,1746.3240,1.5614,12.3663,4.2106,16.4637,114.5640,0.2356,1.8415,0.5127,9.0000,3.0000,1dhi
4.9200,60.7104,1132.4537,1.0210,41.0022,1.6837,2.2829,40.2688,0.0000,0.0000,0.0000,3.0000,1.0000,1e1v
7.6400,43.1745,642.6371,0.6500,17.1853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1e5a
9.8900,103.7593,1399.9202,5.3333,57.4140,0.7625,0.0381,9.7827,0.0000,0.6563,0.0000,1.0000,2.0000,1e66
6.3600,106.4808,1439.5481,2.4032,42.5304,3.4317,19.7216,166.6061,0.6798,3.4163,0.8379,10.0000,3.0000,1ela
7.1500,104.7268,1450.8368,1.9123,55.9044,1.6234,29.6080,191.4501,0.6175,4.6685,1.0933,13.0000,5.0000,1elb
2.9600,43.2163,888.0074,0.9833,39.2586,2.4049,8.0479,39.6420,0.1252,2.4889,0.0000,3.0000,1.0000,1f4e
4.6200,100.8450,1486.6283,1.5578,45.2880,3.7506,16.6159,96.5032,0.4748,2.9255,0.0000,9.0000,0.0000,1f4f
6.4800,98.5562,1910.6141,2.8747,26.5698,6.0380,31.0191,200.2140,0.7941,7.0668,0.8498,12.0000,0.0000,1f4g
3.7400,55.4669,623.7725,2.1726,3.8687,4.5712,0.4821,2.4209,0.0000,0.0000,0.0000,1.0000,1.0000,1f5k
7.1900,115.6170,1931.7323,1.9568,134.3889,2.8635,3.3506,74.3409,0.2993,8.4602,0.0000,3.0000,5.0000,1fcx
9.2200,118.2394,1806.2689,2.1482,138.2764,2.8251,2.2659,64.0941,0.1573,6.7210,0.0000,4.0000,4.0000,1fcz
8.4000,128.5017,1972.6434,2.6305,137.3108,3.5630,4.5760,84.6960,1.0203,8.1321,0.0000,3.0000,5.0000,1fd0
5.2400,67.3828,910.5447,2.9458,0.0000,6.1255,5.1192,39.0169,0.2053,0.0000,0.3167,2.0000,5.0000,1fh7
6.8900,77.2521,917.0999,4.8265,5.9584,8.6407,4.1720,35.2994,0.0000,0.0000,0.0000,2.0000,4.0000,1fh8
6.4300,75.4329,1095.6591,2.8337,0.0000,5.6088,4.8049,45.8693,0.0543,0.0000,0.3187,2.0000,6.0000,1fh9
9.7000,111.6798,1764.9097,2.7707,65.4864,4.2461,21.4206,227.1998,0.0179,11.5144,0.0000,6.0000,13.0000,1fkb
7.0000,90.8771,1249.4968,1.5999,60.8638,2.0542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1fki
8.8000,201.7629,3088.6665,7.3018,75.6039,10.5440,57.2728,440.4175,1.0352,11.1327,1.8718,29.0000,8.0000,1fkn
10.0000,125.4823,1402.0580,2.4942,77.9513,3.4857,12.9239,72.1103,1.4603,13.6484,0.0000,2.0000,1.0000,1flr
5.5900,124.5809,1732.8351,2.2392,29.3555,4.7783,92.3342,618.9528,2.4268,24.1091,4.6110,30.0000,7.0000,1fo0
7.6100,84.2669,930.5225,4.0851,17.3579,7.6902,4.0951,17.1660,0.0234,0.0000,0.0000,3.0000,2.0000,1ftm
8.4000,202.9034,2980.1614,5.0018,118.5983,7.6942,54.5795,505.4385,2.7159,1.6296,2.5529,23.0000,6.0000,1fzk
6.0600,167.1485,2604.6243,5.2834,24.5686,8.0081,65.8009,435.5278,2.4929,0.1071,5.0106,21.0000,6.0000,1g7q
8.0700,108.1797,1265.8944,1.0781,143.2635,0.0000,16.5083,50.4474,0.0697,26.2018,0.0000,15.0000,1.0000,1gni
5.3700,72.1831,1217.0071,0.8981,49.4159,1.6840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1gpk
3.5100,57.3295,918.0366,2.5560,0.0000,5.2791,30.2455,184.2577,1.8699,0.0000,2.9790,6.0000,11.0000,1gz9
8.3500,170.1636,2304.0830,3.1411,131.8188,2.8330,29.4597,212.5588,0.6415,25.9573,0.0000,15.0000,0.0000,1h23
5.5400,78.8205,1222.5543,1.1613,71.4612,1.1538,10.3255,71.5650,0.5172,6.3253,0.0000,4.0000,2.0000,1ha2
8.7000,190.8706,2901.0457,1.9690,151.7794,2.4370,31.6743,299.8080,0.7826,26.1227,0.2454,18.0000,2.0000,1hfs
4.4900,92.2510,1033.1115,2.4884,0.0000,4.7629,13.2298,104.8360,0.7668,0.0000,1.0000,6.0000,1.0000,1hi4
5.3100,78.1507,1202.3311,3.9007,39.9291,1.1975,7.4410,69.5176,0.5463,5.5385,0.0000,5.0000,2.0000,1hk4
10.5200,78.9201,1241.0828,1.8606,40.5651,2.1016,13.6094,91.1398,0.1072,5.3249,0.0000,6.0000,2.0000,1if7
7.0000,120.0521,1683.0577,3.7204,14.8897,8.0427,46.7182,293.1457,1.0870,4.1454,0.9290,19.0000,3.0000,1is0
3.8400,63.4556,613.7359,1.5714,7.1289,3.1228,0.5374,2.3751,0.0000,0.0000,0.0000,1.0000,1.0000,1j16
5.2200,130.0614,1534.5468,1.5108,41.5908,0.0000,6.7618,131.4971,0.1592,3.6150,0.0000,4.0000,0.0000,1j17
4.4800,78.5665,1098.9266,3.2881,16.9483,8.0042,13.0356,68.4328,0.0935,0.6357,0.5072,8.0000,4.0000,1jaq
8.4500,157.2036,1883.8247,4.6117,65.9748,3.2276,44.4564,369.3710,1.1749,0.0000,1.7407,20.0000,6.0000,1jq9
5.1600,82.9178,1425.3556,2.8493,0.0000,5.8666,14.9303,86.5560,0.0571,0.0000,0.0000,7.0000,3.0000,1jqd
3.5200,49.0186,547.9583,0.6808,0.0000,1.8168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1jys
5.8500,71.9046,1209.2406,1.3890,16.7529,4.5650,2.4172,43.4679,0.0000,0.0000,0.0000,3.0000,2.0000,1k4g
6.5200,104.0632,1301.7498,3.4421,0.0000,6.8677,9.7943,47.1978,0.2666,0.0000,0.1571,2.0000,5.0000,1k9s
5.9400,74.2992,1218.0553,1.2403,49.8002,2.5000,6.3356,51.3218,0.9664,0.0000,0.0000,3.0000,4.0000,1kv1
