pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,gauss1_inter_3,gauss2_inter_3,repulsion_inter_3,hydrophobic_inter_3,hydrogenbonding_inter_3,gauss1_intra_3,gauss2_intra_3,repulsion_intra_3,hydrophobic_intra_3,hydrogenbonding_intra_3,gauss1_inter_4,gauss2_inter_4,repulsion_inter_4,hydrophobic_inter_4,hydrogenbonding_inter_4,gauss1_intra_4,gauss2_intra_4,repulsion_intra_4,hydrophobic_intra_4,hydrogenbonding_intra_4,gauss1_inter_5,gauss2_inter_5,repulsion_inter_5,hydrophobic_inter_5,hydrogenbonding_inter_5,gauss1_intra_5,gauss2_intra_5,repulsion_intra_5,hydrophobic_intra_5,hydrogenbonding_intra_5,gauss1_inter_6,gauss2_inter_6,repulsion_inter_6,hydrophobic_inter_6,hydrogenbonding_inter_6,gauss1_intra_6,gauss2_intra_6,repulsion_intra_6,hydrophobic_intra_6,hydrogenbonding_intra_6,gauss1_inter_7,gauss2_inter_7,repulsion_inter_7,hydrophobic_inter_7,hydrogenbonding_inter_7,gauss1_intra_7,gauss2_intra_7,repulsion_intra_7,hydrophobic_intra_7,hydrogenbonding_intra_7,gauss1_inter_8,gauss2_inter_8,repulsion_inter_8,hydrophobic_inter_8,hydrogenbonding_inter_8,gauss1_intra_8,gauss2_intra_8,repulsion_intra_8,hydrophobic_intra_8,hydrogenbonding_intra_8,gauss1_inter_9,gauss2_inter_9,repulsion_inter_9,hydrophobic_inter_9,hydrogenbonding_inter_9,gauss1_intra_9,gauss2_intra_9,repulsion_intra_9,hydrophobic_intra_9,hydrogenbonding_intra_9,nacttors,ninacttors,PDB
2.0000,80.2536,1123.9603,2.6955,0.0000,7.1695,14.6866,76.5429,0.0863,0.0000,0.0000,74.7992,1151.7932,2.9861,0.0000,7.4093,7.6658,88.6564,0.0399,0.0000,0.0000,74.6524,1135.1968,3.3412,0.0000,8.2040,8.3573,78.2612,0.2204,0.0000,0.0000,65.9026,1109.1704,3.4253,0.0000,8.4623,15.6834,71.7308,0.4374,0.0000,0.4959,57.7878,1126.9984,2.2608,0.0000,6.4020,16.0310,86.7354,0.0879,0.0000,0.1419,65.7764,1044.0573,2.2963,0.0000,6.3132,11.5988,66.0644,0.4816,0.0000,1.0183,58.0638,1068.4620,2.7808,0.0000,7.1586,16.1540,68.7654,0.7813,0.0000,1.2177,61.9079,1064.2509,2.5459,0.0000,6.9426,10.0960,82.2821,0.0382,0.0000,0.0000,66.7927,1107.9187,3.4645,0.0000,7.4270,12.8752,89.1619,0.1946,0.0000,0.0000,7.0000,2.0000,3c2f
2.0000,68.5293,563.6950,1.7417,29.7483,1.3365,1.3620,17.9813,0.0000,0.0000,0.0000,58.4751,536.0224,0.8881,24.5625,1.0795,2.8656,18.6051,0.0000,0.0000,0.0000,66.3752,589.9028,1.7252,16.9593,1.4841,2.2390,19.4229,0.0000,0.0000,0.0000,62.2302,605.8990,0.7846,16.2525,0.2722,1.7105,19.1236,0.0000,0.0000,0.0000,61.6761,467.0490,1.1081,20.1205,1.7043,2.3719,19.5875,0.0000,0.0000,0.0000,51.6735,472.8090,0.6756,24.0382,0.6279,4.6095,18.2128,0.0795,0.0000,0.0000,30.5252,478.0565,0.7147,3.4802,1.7343,15.8552,7.3757,0.2346,0.0000,0.5631,39.4795,350.6572,0.8985,13.8184,2.2166,10.3729,14.6991,0.0124,0.0000,0.0000,43.5770,367.1806,1.0974,10.1662,2.5198,4.2138,19.3924,0.0000,0.0000,0.0000,6.0000,3.0000,2r58
2.0000,56.8545,803.3505,2.2391,3.0665,4.8579,4.2739,18.2014,0.3602,1.0000,0.8573,46.8303,728.8458,2.0622,14.1333,5.1918,3.7297,18.1197,0.5781,0.9896,1.0000,46.0566,735.1243,1.7778,3.3646,5.1944,3.4350,18.1504,0.5635,1.0000,0.9943,47.2069,693.6976,2.4089,11.4010,5.3924,4.5058,18.1998,0.0928,1.0000,0.3870,48.6596,757.9821,2.8546,12.3005,5.3332,4.8345,18.1677,0.0425,1.0000,0.0000,44.8168,785.0792,1.7624,5.8571,3.7471,4.2149,18.1898,0.3385,1.0000,0.8311,42.2432,742.9586,1.2511,4.8578,3.5173,4.3073,18.1139,0.2943,1.0000,0.7750,43.9476,693.6266,1.3550,13.5774,3.6767,4.1101,18.1334,0.6104,1.0000,1.0000,42.3362,765.3083,1.4728,9.0832,3.1675,4.6963,18.1803,0.1280,1.0000,0.5110,2.0000,2.0000,3g2y
2.0500,77.0035,1395.5961,2.6157,0.0000,5.2483,10.0701,85.2809,0.2420,0.0000,0.5789,72.6045,1379.7538,2.5228,0.0000,4.7566,15.2360,89.6034,0.6564,0.0000,1.3438,64.3145,1333.7133,2.2322,0.0000,4.1245,14.9067,93.9273,0.2554,0.0000,0.2839,80.9376,1309.8217,2.9287,0.0000,3.9095,14.3356,94.8630,0.2442,0.0000,0.4895,65.4174,1249.7507,1.8770,0.0000,3.5961,12.5315,92.7696,0.6514,0.0000,1.1209,58.7088,1299.9962,1.6090,0.0000,3.3331,11.0034,86.7111,0.3557,0.0000,0.6495,69.8866,1304.8551,0.6920,0.0000,0.9450,11.5090,92.2196,0.5897,0.0000,1.0217,69.3769,1205.4379,1.9367,0.0000,3.6250,13.5862,86.6905,0.1196,0.0000,0.0000,63.4545,1199.2640,0.9665,0.0000,2.0511,9.9108,86.5522,0.3510,0.0000,0.8386,6.0000,8.0000,1jfh
2.0600,52.0847,612.3045,2.6373,1.2795,5.6274,1.9154,5.8458,0.0419,0.0000,0.0000,57.3585,626.7103,2.9901,1.3702,5.3361,1.0323,6.8071,0.0000,0.0000,0.0000,58.8236,655.7611,0.5958,5.4146,1.2489,1.1696,5.7815,0.0000,0.0000,0.0000,49.9087,597.7674,2.6771,1.4156,5.4421,2.2667,4.9614,0.0134,0.0000,0.0000,51.6589,658.3177,0.8813,5.1220,2.0563,0.6620,5.8008,0.0000,0.0000,0.0000,59.4083,658.1577,0.9129,3.8221,1.2648,0.1136,7.2411,0.0000,0.0000,0.0000,41.8833,630.8333,0.4123,3.2395,1.4936,1.9463,6.2063,0.0335,0.0000,0.0000,46.8872,557.1406,1.6704,1.1210,3.5045,3.1354,4.3102,0.0038,0.0000,0.0000,41.8614,640.5737,1.0318,4.6311,2.0183,0.5217,7.0367,0.0000,0.0000,0.0000,4.0000,2.0000,1qq9
2.0700,102.0307,1015.6293,2.7063,23.0193,1.4773,0.5694,26.5750,0.0000,0.3556,0.0000,74.7473,854.3045,0.7142,12.4380,1.2278,0.7018,27.1000,0.0000,0.2901,0.0000,77.9751,935.7434,1.8195,14.5576,1.7438,0.7965,27.0720,0.0000,0.2522,0.0000,71.2496,920.8217,1.4635,17.8155,1.0752,0.8551,27.1782,0.0000,0.9137,0.0000,72.3049,910.8604,1.2004,18.5055,0.4360,0.8220,27.0628,0.0000,0.2441,0.0000,64.8328,865.1940,0.7362,14.9311,0.7625,0.8328,27.1840,0.0000,0.9052,0.0000,71.3194,847.8970,0.5419,13.1616,0.0000,0.8566,27.1768,0.0000,0.9141,0.0000,59.9691,798.9779,0.9613,19.0836,0.8329,0.8584,27.1739,0.0000,0.9142,0.0000,73.2420,905.3328,1.2732,10.3144,0.0000,0.8179,27.0624,0.0000,0.2459,0.0000,1.0000,2.0000,3ao4
2.1200,122.0414,1470.5973,6.3958,3.6241,9.0981,12.7297,89.4516,0.5101,0.0000,0.8145,113.6211,1468.3345,5.3564,3.6247,7.1305,8.8365,86.2821,0.1201,0.0000,0.4816,79.0146,1243.8635,2.1421,14.4219,5.6264,7.2590,84.4378,0.1375,0.0000,0.6375,112.2762,1459.8273,6.7150,3.6357,8.5964,10.6042,88.4612,0.9821,0.0000,1.8385,106.9649,1386.6235,5.3518,3.1913,8.0786,10.3837,73.6094,1.6017,0.0000,1.5917,70.2069,1245.7306,0.9921,11.6941,2.8109,5.8888,80.3355,0.3880,0.0000,1.2464,104.1449,1498.6141,9.7923,3.5341,11.5481,8.3935,81.9450,0.3330,0.0000,0.5614,64.9246,1226.1903,1.2126,11.7768,3.1620,8.5424,83.1597,0.3114,0.0000,0.5764,60.6436,1139.5165,1.5907,2.5647,3.2956,20.7805,80.8783,0.7218,0.0000,1.8238,7.0000,3.0000,2w8w
2.1700,67.0303,1022.6793,1.8388,43.7392,3.3812,4.8981,39.5556,0.1406,4.4350,0.0000,59.3694,986.3540,1.5282,41.2458,3.6714,5.1368,39.6662,0.0551,4.4371,0.0000,66.4871,1021.9471,1.8090,43.4020,3.2424,4.9441,39.5532,0.1308,4.4582,0.0000,78.2620,1085.7731,1.9539,41.3099,1.7790,4.7488,38.7228,0.2269,4.4552,0.0000,65.8764,996.5187,0.9903,37.8192,2.0823,4.4174,39.7543,0.5588,4.4351,0.0000,70.6158,964.6514,1.1403,40.7490,2.4076,4.3870,39.6290,0.8998,4.4402,0.0000,84.0893,1014.4886,2.7984,36.7119,2.1697,4.6024,39.8208,0.4696,4.4627,0.0000,70.9806,729.8325,1.3446,44.0542,2.3942,4.1646,39.6394,0.2693,4.4613,0.0000,71.9479,740.5908,0.7830,44.5248,1.0383,4.3817,38.9797,0.0282,4.4292,0.0000,3.0000,1.0000,3gqz
2.2100,42.9603,694.3664,1.1307,11.6294,2.6184,0.0000,0.0000,0.0000,0.0000,0.0000,40.0671,699.3011,1.9188,8.2605,3.9302,0.0000,0.0000,0.0000,0.0000,0.0000,40.1738,684.5905,2.1239,7.1267,4.3793,0.0000,0.0000,0.0000,0.0000,0.0000,43.1470,705.3472,2.2055,2.7410,4.3884,0.0000,0.0000,0.0000,0.0000,0.0000,42.9084,700.5563,0.7561,12.4696,1.4551,0.0000,0.0000,0.0000,0.0000,0.0000,43.1889,701.7563,1.3223,6.9244,2.5159,0.0000,0.0000,0.0000,0.0000,0.0000,37.4348,704.5306,1.2346,5.9597,2.2877,0.0000,0.0000,0.0000,0.0000,0.0000,38.0453,702.6166,1.7162,7.1646,2.7637,0.0000,0.0000,0.0000,0.0000,0.0000,37.3760,676.0764,0.9209,4.8038,1.7894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1x8d
2.2200,64.4245,816.3275,2.7119,13.3831,5.4590,0.0000,0.0000,0.0000,0.0000,0.0000,59.5784,815.5336,3.2766,5.1663,3.8676,0.0000,0.0000,0.0000,0.0000,0.0000,65.0224,827.5573,3.2786,9.0300,2.8590,0.0000,0.0000,0.0000,0.0000,0.0000,58.1394,797.7716,3.2090,6.6173,3.4893,0.0000,0.0000,0.0000,0.0000,0.0000,64.1973,813.8807,3.2110,12.5847,2.3891,0.0000,0.0000,0.0000,0.0000,0.0000,40.8733,492.8620,2.2981,1.5787,5.6564,0.0000,0.0000,0.0000,0.0000,0.0000,67.2081,814.5432,4.5091,5.2671,3.8822,0.0000,0.0000,0.0000,0.0000,0.0000,63.6776,813.6851,4.8566,6.6552,4.3567,0.0000,0.0000,0.0000,0.0000,0.0000,56.1796,535.1756,2.5036,0.6599,4.2124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,2aac
