pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,nacttors,ninacttors,PDB
2.0000,80.2536,1123.9603,2.6955,0.0000,7.1695,14.6866,76.5429,0.0863,0.0000,0.0000,74.7992,1151.7932,2.9861,0.0000,7.4093,7.6658,88.6564,0.0399,0.0000,0.0000,7.0000,2.0000,3c2f
2.0000,68.5293,563.6950,1.7417,29.7483,1.3365,1.3620,17.9813,0.0000,0.0000,0.0000,58.4751,536.0224,0.8881,24.5625,1.0795,2.8656,18.6051,0.0000,0.0000,0.0000,6.0000,3.0000,2r58
2.0000,56.8545,803.3505,2.2391,3.0665,4.8579,4.2739,18.2014,0.3602,1.0000,0.8573,46.8303,728.8458,2.0622,14.1333,5.1918,3.7297,18.1197,0.5781,0.9896,1.0000,2.0000,2.0000,3g2y
2.0500,77.0035,1395.5961,2.6157,0.0000,5.2483,10.0701,85.2809,0.2420,0.0000,0.5789,72.6045,1379.7538,2.5228,0.0000,4.7566,15.2360,89.6034,0.6564,0.0000,1.3438,6.0000,8.0000,1jfh
2.0600,52.0847,612.3045,2.6373,1.2795,5.6274,1.9154,5.8458,0.0419,0.0000,0.0000,57.3585,626.7103,2.9901,1.3702,5.3361,1.0323,6.8071,0.0000,0.0000,0.0000,4.0000,2.0000,1qq9
2.0700,102.0307,1015.6293,2.7063,23.0193,1.4773,0.5694,26.5750,0.0000,0.3556,0.0000,74.7473,854.3045,0.7142,12.4380,1.2278,0.7018,27.1000,0.0000,0.2901,0.0000,1.0000,2.0000,3ao4
2.1200,122.0414,1470.5973,6.3958,3.6241,9.0981,12.7297,89.4516,0.5101,0.0000,0.8145,113.6211,1468.3345,5.3564,3.6247,7.1305,8.8365,86.2821,0.1201,0.0000,0.4816,7.0000,3.0000,2w8w
2.1700,67.0303,1022.6793,1.8388,43.7392,3.3812,4.8981,39.5556,0.1406,4.4350,0.0000,59.3694,986.3540,1.5282,41.2458,3.6714,5.1368,39.6662,0.0551,4.4371,0.0000,3.0000,1.0000,3gqz
2.2100,42.9603,694.3664,1.1307,11.6294,2.6184,0.0000,0.0000,0.0000,0.0000,0.0000,40.0671,699.3011,1.9188,8.2605,3.9302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1x8d
2.2200,64.4245,816.3275,2.7119,13.3831,5.4590,0.0000,0.0000,0.0000,0.0000,0.0000,59.5784,815.5336,3.2766,5.1663,3.8676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,2aac
2.2200,132.5798,1690.6635,6.5709,26.1937,8.7817,11.1183,112.4528,0.9866,2.2059,1.0000,124.0973,1692.3303,5.0705,21.8672,5.8334,14.4431,110.4183,3.0395,1.0348,1.0000,6.0000,2.0000,1m0n
