pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,gauss1_inter_3,gauss2_inter_3,repulsion_inter_3,hydrophobic_inter_3,hydrogenbonding_inter_3,gauss1_intra_3,gauss2_intra_3,repulsion_intra_3,hydrophobic_intra_3,hydrogenbonding_intra_3,gauss1_inter_4,gauss2_inter_4,repulsion_inter_4,hydrophobic_inter_4,hydrogenbonding_inter_4,gauss1_intra_4,gauss2_intra_4,repulsion_intra_4,hydrophobic_intra_4,hydrogenbonding_intra_4,gauss1_inter_5,gauss2_inter_5,repulsion_inter_5,hydrophobic_inter_5,hydrogenbonding_inter_5,gauss1_intra_5,gauss2_intra_5,repulsion_intra_5,hydrophobic_intra_5,hydrogenbonding_intra_5,gauss1_inter_6,gauss2_inter_6,repulsion_inter_6,hydrophobic_inter_6,hydrogenbonding_inter_6,gauss1_intra_6,gauss2_intra_6,repulsion_intra_6,hydrophobic_intra_6,hydrogenbonding_intra_6,gauss1_inter_7,gauss2_inter_7,repulsion_inter_7,hydrophobic_inter_7,hydrogenbonding_inter_7,gauss1_intra_7,gauss2_intra_7,repulsion_intra_7,hydrophobic_intra_7,hydrogenbonding_intra_7,gauss1_inter_8,gauss2_inter_8,repulsion_inter_8,hydrophobic_inter_8,hydrogenbonding_inter_8,gauss1_intra_8,gauss2_intra_8,repulsion_intra_8,hydrophobic_intra_8,hydrogenbonding_intra_8,gauss1_inter_9,gauss2_inter_9,repulsion_inter_9,hydrophobic_inter_9,hydrogenbonding_inter_9,gauss1_intra_9,gauss2_intra_9,repulsion_intra_9,hydrophobic_intra_9,hydrogenbonding_intra_9,nacttors,ninacttors,PDB
9.3000,69.5149,608.6163,5.8409,0.0000,11.2246,2.3387,3.4587,0.0166,0.0000,0.0000,68.4358,611.7131,6.4112,0.0000,11.9892,2.5618,3.3531,0.0285,0.0000,0.0000,68.6896,609.9890,5.9608,0.0000,10.8242,2.7632,3.3444,0.0086,0.0000,0.0000,67.6790,607.3015,5.7252,0.0000,10.5641,2.1196,3.3881,0.1154,0.0000,0.0000,46.5121,639.9929,1.8119,0.0000,4.4402,2.7683,3.3905,0.0195,0.0000,0.0000,45.7829,641.5150,1.9778,0.0000,4.7258,2.6336,3.4477,0.0299,0.0000,0.0000,45.6425,641.0021,2.0692,0.0000,4.7980,2.3714,3.4445,0.0045,0.0000,0.0000,46.0800,642.0198,1.8263,0.0000,4.3614,2.5503,3.3691,0.0023,0.0000,0.0000,46.4498,620.5537,1.3059,0.0000,3.7523,2.5696,3.3489,0.0142,0.0000,0.0000,2.0000,0.0000,2iw4
4.4500,133.3939,1387.8406,5.2984,28.7368,7.8005,8.3421,44.8577,0.0339,5.9596,0.0000,127.2517,1276.1530,5.3301,33.2208,7.6582,4.5212,38.8858,0.1207,4.3531,0.0000,90.1869,1370.2167,1.4954,38.6635,2.6804,4.8167,41.2247,0.0018,5.5210,0.0000,107.2946,1355.0293,5.0328,22.1950,7.6339,3.7012,46.8063,0.0361,3.7448,0.0000,75.1400,1357.9727,1.9347,39.9702,3.5128,5.6596,52.0966,0.0544,4.2449,0.0000,85.2044,1361.6920,1.2685,45.3472,1.8762,4.2927,34.5648,0.2467,2.9048,0.0000,76.9265,1363.9957,1.3333,36.0074,2.4433,5.4237,40.3599,0.0598,5.3782,0.0000,68.2202,1326.9199,1.6007,39.0038,2.5119,12.1237,54.8989,0.0917,2.5448,0.0000,64.0905,1344.6267,1.0051,28.1214,1.5446,4.4206,31.4559,0.0217,5.8480,0.0000,7.0000,4.0000,2wbg
6.0800,124.3990,1388.2031,4.9690,27.6722,8.3471,9.5345,45.9411,0.0616,6.0000,0.0000,113.6051,1389.9570,4.8762,28.4793,8.2981,8.2367,54.6260,0.0222,5.7162,0.0000,92.1531,1395.4989,1.7573,42.6019,2.8056,7.3116,49.5577,0.0793,5.8128,0.0000,76.4633,1377.6519,0.7798,36.4417,1.4995,5.4851,35.6673,0.0001,5.8584,0.0000,74.3285,1327.4697,1.6453,42.4723,2.5857,6.6846,47.7452,0.2959,2.4197,0.0000,69.6256,1366.7257,0.9953,31.2978,1.7140,7.0841,36.9149,0.0768,6.0000,0.0000,84.5751,1406.5317,1.3170,16.2581,1.6133,9.3911,44.6106,0.0203,4.0000,0.0000,64.8727,1241.1499,1.0978,33.7145,2.4827,5.7894,67.9578,0.0101,3.6957,0.0000,67.3701,1344.6182,1.2663,17.8723,2.3774,9.6380,44.9294,0.0004,5.9823,0.0000,7.0000,4.0000,2wc3
5.2900,103.7768,1390.5546,1.9054,45.9671,3.0237,4.5451,35.3447,0.0000,5.3263,0.0000,131.1022,1410.2552,6.5643,24.1082,8.2934,6.4030,33.5123,0.1031,6.0000,0.0000,82.8069,1360.1560,2.1007,37.5124,3.9889,6.8818,44.3441,0.1011,5.5435,0.0000,111.0061,1376.8513,6.1824,27.4131,8.1637,5.1914,55.4857,0.0142,2.8282,0.0000,67.7142,1298.7964,2.2963,32.6242,4.7200,5.6382,60.5755,0.0000,2.7450,0.0000,77.2840,1319.2250,3.9730,28.8601,5.6730,6.3382,47.9963,0.0041,3.7921,0.0000,70.0948,1317.3123,2.1197,26.0319,2.6913,15.7760,55.9668,0.1309,5.9983,0.0000,58.5744,1320.7732,1.8337,18.5883,3.8113,4.5691,36.4571,0.0068,3.6459,0.0000,75.6580,1342.0306,1.6480,20.6207,2.1647,4.4045,34.9007,0.0001,2.3809,0.0000,7.0000,4.0000,2wc4
6.1000,142.5419,1797.1377,8.3105,18.7681,15.6005,10.4771,103.2938,1.6605,0.6012,1.7529,142.5419,1797.1377,8.3105,18.7681,15.6005,10.4771,103.2938,1.6605,0.6012,1.7529,138.9171,1774.5742,7.6230,18.7415,14.9992,12.7636,97.6039,1.6037,0.6012,1.4025,118.2975,1657.8662,6.7073,13.9686,12.1668,18.9667,94.6044,2.2704,0.6144,2.1830,104.0625,1530.7958,3.6406,12.9745,7.1693,16.2114,90.2493,1.3357,0.6120,2.2361,133.8940,1770.1381,11.6631,13.1228,14.4192,13.5626,96.7299,1.3039,0.9693,1.8523,103.8894,1515.4724,3.6840,13.0897,7.5533,13.2339,86.4023,1.1139,0.5960,0.8881,98.7444,1578.5211,3.4003,10.0775,6.8012,14.6396,92.1078,1.6238,1.0000,1.5165,112.9593,1591.6453,5.0918,9.4061,7.9385,17.4779,93.4315,2.3858,0.8030,2.5243,8.0000,2.0000,2yay
5.1400,106.0801,1389.0304,3.7224,18.0428,8.1157,3.9377,49.5825,0.2357,0.7308,0.0000,106.0801,1389.0304,3.7224,18.0428,8.1157,3.9377,49.5825,0.2357,0.7308,0.0000,106.0801,1389.0304,3.7224,18.0428,8.1157,3.9377,49.5825,0.2357,0.7308,0.0000,106.0801,1389.0304,3.7224,18.0428,8.1157,3.9377,49.5825,0.2357,0.7308,0.0000,106.0801,1389.0304,3.7224,18.0428,8.1157,3.9377,49.5825,0.2357,0.7308,0.0000,111.5335,1385.3654,4.4375,13.1073,7.6800,4.0941,53.0947,0.9851,1.0000,0.0000,86.7715,1330.8119,4.1121,7.9488,6.4076,9.2896,49.9179,0.3931,1.0000,0.2800,102.8598,1376.5652,6.8801,11.1690,8.7001,11.1515,47.5334,0.7286,0.6567,0.0642,86.2976,1227.1356,3.4378,8.0147,5.3748,6.1121,48.2356,0.0128,1.0000,0.0000,4.0000,1.0000,2yaz
3.8500,82.7050,1149.9286,2.6519,17.5084,5.2814,2.7782,29.2492,0.2279,0.8356,0.0000,73.0671,1053.2855,2.5145,12.3460,4.5349,2.5575,29.1970,0.3847,0.7872,0.0000,75.8250,1032.1704,2.1531,8.1128,3.9519,2.8975,29.6433,0.2273,1.0000,0.0000,77.5370,1141.1562,3.4775,7.9704,4.3755,4.3491,28.2882,0.0000,1.0000,0.0000,72.8693,983.1970,2.6718,2.4216,4.9896,3.2534,29.9907,0.0590,1.0000,0.0000,62.9079,1014.7557,2.4323,6.2793,4.2090,4.9741,29.5914,0.0000,1.0000,0.0000,83.4975,1172.2546,4.3686,16.4808,3.6195,4.3285,29.9448,0.0000,1.0000,0.0000,67.0361,1024.8368,3.2813,7.2722,5.8925,7.6673,26.6701,0.8727,0.6733,0.0000,77.5368,977.9888,4.7728,3.5887,6.5639,7.9792,26.2934,0.8743,0.7657,0.6536,2.0000,2.0000,2yb0
4.1500,61.9299,1118.6229,2.3935,0.0000,5.9881,15.5546,69.2031,0.6217,0.0000,2.0587,59.5081,1131.8098,2.4238,0.0000,6.8765,12.8806,68.2357,0.6532,0.0000,0.9446,64.1609,1125.9204,2.5815,0.0000,6.6501,14.2560,66.6989,1.5549,0.0000,2.2873,65.0987,1102.6296,2.9179,0.0000,6.9915,13.2103,68.8216,0.9693,0.0000,1.7401,62.6623,1113.9211,2.1771,0.0000,5.5560,15.8171,68.9824,0.9983,0.0000,1.6890,61.4482,1161.4664,2.9202,0.0000,6.8017,12.3575,68.2651,0.7567,0.0000,0.9281,48.0952,1043.9243,2.7675,0.0000,7.1127,12.1025,69.3903,1.3101,0.0000,2.8836,48.4216,1137.9550,1.8933,0.0000,4.4070,13.7689,68.5788,0.7592,0.0000,2.2910,61.3673,1121.3610,2.9904,0.0000,5.6331,13.0783,68.3534,0.9180,0.0000,2.2429,4.0000,7.0000,2xg9
7.2600,66.5401,652.8264,3.5399,10.8250,7.5797,0.0000,0.0000,0.0000,0.0000,0.0000,58.9246,652.8810,2.8246,4.5058,3.9050,0.0000,0.0000,0.0000,0.0000,0.0000,46.2934,599.6194,1.5793,5.8340,3.2796,0.0000,0.0000,0.0000,0.0000,0.0000,36.0747,528.6255,2.2106,0.0000,5.5661,0.0000,0.0000,0.0000,0.0000,0.0000,28.5965,557.1135,2.1698,0.0000,4.8113,0.0000,0.0000,0.0000,0.0000,0.0000,33.6157,453.5804,1.3218,7.2417,3.7656,0.0000,0.0000,0.0000,0.0000,0.0000,32.4643,517.6912,1.2593,5.0150,3.2276,0.0000,0.0000,0.0000,0.0000,0.0000,34.9133,467.7097,1.5483,5.1785,3.8597,0.0000,0.0000,0.0000,0.0000,0.0000,45.9884,612.9954,2.9097,4.3862,3.8464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2xib
7.2000,114.4339,1377.9814,4.8509,23.4782,8.6220,5.0906,81.6185,0.4228,0.0000,0.7542,99.0080,1265.2213,4.8668,19.9745,8.9702,5.2339,83.5930,0.0603,0.0000,0.3264,89.6273,1099.8262,4.5086,16.0079,9.2047,6.1067,75.5050,0.0032,0.0000,0.0000,82.5245,927.6498,2.7066,54.3160,4.6589,10.6543,99.8518,0.5815,0.4718,1.3800,85.4662,993.8238,2.0065,45.5995,3.2183,9.0920,94.0659,1.0792,0.0000,1.9761,98.4100,1075.5557,2.8629,16.1736,4.2222,9.0697,116.4701,0.6007,0.0000,1.4159,77.4242,1098.8051,1.2479,55.5950,1.2809,7.4704,74.8851,0.2303,0.0000,0.6434,78.0567,1257.2618,2.5480,21.1743,3.9346,6.3250,77.1453,0.7071,0.0000,1.0987,65.0590,1063.9647,1.7038,41.1451,2.9760,10.4256,99.0237,0.2549,0.0000,0.9473,3.0000,3.0000,2xii
