pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,nacttors,ninacttors,PDB
9.3000,69.5149,608.6163,5.8409,0.0000,11.2246,2.3387,3.4587,0.0166,0.0000,0.0000,68.4358,611.7131,6.4112,0.0000,11.9892,2.5618,3.3531,0.0285,0.0000,0.0000,2.0000,0.0000,2iw4
4.4500,133.3939,1387.8406,5.2984,28.7368,7.8005,8.3421,44.8577,0.0339,5.9596,0.0000,127.2517,1276.1530,5.3301,33.2208,7.6582,4.5212,38.8858,0.1207,4.3531,0.0000,7.0000,4.0000,2wbg
6.0800,124.3990,1388.2031,4.9690,27.6722,8.3471,9.5345,45.9411,0.0616,6.0000,0.0000,113.6051,1389.9570,4.8762,28.4793,8.2981,8.2367,54.6260,0.0222,5.7162,0.0000,7.0000,4.0000,2wc3
5.2900,103.7768,1390.5546,1.9054,45.9671,3.0237,4.5451,35.3447,0.0000,5.3263,0.0000,131.1022,1410.2552,6.5643,24.1082,8.2934,6.4030,33.5123,0.1031,6.0000,0.0000,7.0000,4.0000,2wc4
6.1000,142.5419,1797.1377,8.3105,18.7681,15.6005,10.4771,103.2938,1.6605,0.6012,1.7529,138.9171,1774.5742,7.6230,18.7415,14.9992,12.7636,97.6039,1.6037,0.6012,1.4025,8.0000,2.0000,2yay
5.1400,106.0801,1389.0304,3.7224,18.0428,8.1157,3.9377,49.5825,0.2357,0.7308,0.0000,111.5335,1385.3654,4.4375,13.1073,7.6800,4.0941,53.0947,0.9851,1.0000,0.0000,4.0000,1.0000,2yaz
3.8500,82.7050,1149.9286,2.6519,17.5084,5.2814,2.7782,29.2492,0.2279,0.8356,0.0000,73.0671,1053.2855,2.5145,12.3460,4.5349,2.5575,29.1970,0.3847,0.7872,0.0000,2.0000,2.0000,2yb0
4.1500,61.9299,1118.6229,2.3935,0.0000,5.9881,15.5546,69.2031,0.6217,0.0000,2.0587,59.5081,1131.8098,2.4238,0.0000,6.8765,12.8806,68.2357,0.6532,0.0000,0.9446,4.0000,7.0000,2xg9
7.2600,66.5401,652.8264,3.5399,10.8250,7.5797,0.0000,0.0000,0.0000,0.0000,0.0000,58.9246,652.8810,2.8246,4.5058,3.9050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2xib
7.2000,114.4339,1377.9814,4.8509,23.4782,8.6220,5.0906,81.6185,0.4228,0.0000,0.7542,99.0080,1265.2213,4.8668,19.9745,8.9702,5.2339,83.5930,0.0603,0.0000,0.3264,3.0000,3.0000,2xii
8.3400,138.6899,2566.0215,3.8460,98.1983,5.1304,37.8592,321.8538,0.9620,7.6690,0.2865,146.7532,2530.5073,3.0246,94.3064,1.9897,47.2484,309.1736,1.3671,8.0553,0.3079,18.0000,1.0000,2xye
8.4400,129.3550,2546.5444,2.8825,82.8011,4.3490,40.1804,320.0344,1.0342,4.6847,0.3295,139.4530,2354.7588,3.6513,61.2829,2.8574,58.4006,350.1141,1.4067,15.1946,0.3946,18.0000,1.0000,2xyf
6.4000,104.7761,1566.8486,1.9346,61.1486,3.2707,36.0698,252.6760,1.5594,41.3735,0.0000,106.1446,1518.3392,1.6685,62.0397,2.7624,37.6712,247.3805,1.7368,42.0520,0.0000,12.0000,1.0000,2y8c
6.6300,77.9184,1303.8729,0.5198,52.8301,0.6334,17.1598,89.7594,0.2327,10.0520,0.4699,89.0616,1294.5098,1.5095,59.5197,1.3728,16.8238,98.4523,1.0712,12.2882,0.9148,7.0000,1.0000,2yfe
8.1200,91.6975,1359.8379,2.0808,24.0201,2.2614,8.9026,81.4321,0.2112,7.2231,0.4406,81.0378,1305.9613,1.5692,21.1271,1.2250,9.6630,75.0503,0.7774,6.0048,0.0000,3.0000,2.0000,2yi0
8.3200,86.6615,1362.7855,1.4286,23.3729,1.6001,8.9210,86.4274,0.3930,8.6909,0.6755,70.5182,1180.2855,0.8562,18.5923,0.9467,10.2194,91.5124,0.4445,9.5612,0.7250,4.0000,2.0000,2yi7
3.9200,155.2341,2542.7964,3.3664,18.2920,6.5404,37.7507,280.0467,2.4850,0.3691,3.4778,145.2072,2526.7383,2.7588,21.0345,4.9044,47.8903,313.9768,1.2398,0.0780,1.8967,22.0000,3.0000,2yim
2.7800,41.8426,422.7526,0.1735,39.6660,0.0000,0.0033,1.8946,0.0000,0.0000,0.0000,38.7875,414.7237,0.2054,41.3262,0.0000,0.7640,1.1688,0.0000,0.0000,0.0000,3.0000,0.0000,2yiv
3.1600,80.8494,910.5475,3.2041,29.2602,4.8474,2.1569,9.1766,0.0809,0.0000,0.0000,81.6630,895.4404,3.2161,36.0004,2.7335,1.2597,9.8329,0.0071,0.0000,0.0000,2.0000,2.0000,2ymd
7.6600,92.7505,1291.2660,3.1179,70.1422,0.1761,8.1667,62.4935,0.8001,0.8027,0.7884,54.9517,1179.7278,0.7345,35.0783,0.9968,2.5897,70.2201,0.0177,0.8857,0.0000,2.0000,0.0000,2yme
2.9200,61.5140,825.9174,4.3494,0.0000,9.9796,10.9926,74.7816,0.6434,0.0000,1.4085,71.0149,851.8904,3.5156,0.0000,8.0987,18.3709,72.4878,0.6971,0.0000,0.8115,4.0000,8.0000,3alt
2.9600,96.6686,1250.1442,3.7930,0.0000,5.8561,10.8973,80.1875,0.3124,0.0000,0.6332,96.5764,1242.9344,1.7301,0.0000,2.9547,9.6933,65.9409,0.7240,0.0000,1.2730,4.0000,3.0000,3dhv
4.7200,109.9818,1026.4755,1.8929,80.6612,1.3129,2.0194,31.3111,0.0000,2.6853,0.0000,109.0219,1013.9482,1.3084,66.9720,0.0000,2.0112,31.3118,0.0000,2.6825,0.0000,1.0000,2.0000,3ebo
5.9100,117.7664,1298.0713,1.8868,74.0113,0.0000,8.9905,116.5056,1.3893,6.9782,0.7830,108.1564,1240.4677,2.2623,74.4702,1.3949,9.3723,114.6986,1.5416,7.1033,0.8837,2.0000,3.0000,3ebp
8.8900,112.9032,1943.2660,3.7813,72.3201,3.9024,33.8370,208.6378,1.7684,4.2438,1.1070,106.9787,1878.4985,1.4103,49.5881,1.9200,29.1714,182.1915,0.9923,10.8989,0.9382,12.0000,2.0000,3ekp
10.5900,136.3408,2134.2036,4.7868,54.1833,4.8622,52.8129,250.0599,2.4919,19.8562,0.0000,117.0528,2040.6655,2.9125,53.6510,2.6791,27.6471,208.5060,0.3532,9.0617,0.2066,12.0000,2.0000,3ekt
9.4100,122.8174,1956.4669,3.4834,62.7659,4.7928,24.8937,207.3133,0.3580,0.3154,0.0000,115.0813,1998.8875,3.7062,56.4310,3.2855,50.9933,216.6738,1.1552,22.1017,0.0000,12.0000,2.0000,3ekv
