pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,flexibility,PDB
5.8200,144.2224,1740.0760,2.1037,38.9122,4.6382,36.9611,220.2525,0.2857,5.7005,0.0000,130.6342,1799.6947,2.3556,47.0842,4.3162,35.0167,209.5721,0.4905,9.3582,0.0000,0.0500,11gs
5.2200,122.0684,1925.8008,3.3657,19.0408,5.1956,23.3807,179.2363,0.1350,1.9511,0.0000,120.4948,1848.3101,3.1944,10.6451,5.2958,29.5409,178.9414,0.0471,3.6086,0.0754,0.0690,16pk
6.4000,63.4456,920.6867,1.2666,28.7619,3.1006,61.3714,213.3922,0.6561,34.6201,0.8318,98.8967,1103.6527,1.4265,41.8997,2.0703,32.5299,179.8536,0.2671,10.9776,0.0000,0.0513,1a07
7.5700,101.2195,1227.3663,2.9850,69.2386,4.8314,18.5746,81.0095,0.3121,2.4125,0.3320,102.7084,1254.6345,2.4940,74.5848,3.5015,16.0534,80.1636,0.1762,3.3929,0.1528,0.0870,1a0q
6.4000,105.0614,1292.2162,3.2225,32.8843,7.8996,41.5502,251.4742,0.5691,7.7662,0.0000,117.0244,1327.8292,3.5628,35.0986,8.1479,31.2665,201.0599,0.6763,5.2653,0.0000,0.0588,1a1c
6.0000,104.0859,1213.2908,3.5302,29.3429,7.9382,36.8043,207.6661,0.8925,15.0024,0.5729,110.3043,1233.3203,4.5437,24.8056,9.3691,36.7491,212.8178,0.4651,7.6340,0.0000,0.0625,1a1e
9.8900,75.7465,1185.7030,2.2634,26.6104,3.4990,9.2272,71.2343,0.2037,0.9064,0.0000,78.4342,1228.4277,2.4129,14.5378,3.2693,5.8601,71.8369,0.1047,0.3750,0.0000,0.1053,1a42
8.0000,113.4266,1692.9259,2.2152,48.8109,3.4153,9.4150,110.2171,0.7978,4.5638,0.0000,108.0244,1666.1838,2.0800,47.5424,2.6859,13.7952,132.8997,0.9989,4.5356,0.3748,0.1333,1a4k
13.0000,103.7068,1319.9236,5.1822,0.0000,5.5275,4.2494,42.1541,0.2326,0.0000,0.6384,72.0837,1133.8672,2.8484,0.0000,3.1624,4.9225,43.5980,0.2087,0.0000,0.6370,0.2222,1a4m
5.9200,110.1513,1929.5728,2.0693,48.3923,4.7882,34.2983,273.8998,0.5401,12.6579,0.0000,117.5499,1802.6582,2.3753,39.7311,2.9096,44.4621,326.1702,1.0820,16.1229,1.0303,0.0667,1a4w
