pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
5.8200,131.5956,1740.7655,3.1765,33.3739,6.5024,25.2932,184.6718,0.2205,6.5770,0.0000,0.0500,11gs
7.5700,103.2783,1232.8906,2.3243,73.7032,3.3528,15.3894,81.7360,0.1275,3.4642,0.0000,0.0870,1a0q
6.4000,93.5281,1270.8999,2.7541,29.7984,7.4404,37.3499,212.5203,0.1241,9.8692,0.0000,0.0588,1a1c
6.0000,90.2146,1275.4766,3.3478,28.5851,7.1968,37.8080,197.9031,0.7169,11.5573,0.5191,0.0625,1a1e
9.8900,76.2231,1188.6477,3.1001,14.6139,3.8791,8.2387,69.4393,0.0057,2.0000,0.0000,0.1053,1a42
8.0000,113.1659,1688.0382,2.2598,48.6776,3.5029,9.4468,110.2263,0.7881,4.5521,0.0000,0.1333,1a4k
6.6600,127.6352,1293.4001,4.6802,0.0000,9.8999,9.0208,107.3758,0.1133,0.0000,0.0000,0.1176,1a4r
5.9200,109.5025,1932.5890,2.1084,48.4077,4.8278,34.4994,273.0577,0.5466,12.7612,0.0000,0.0667,1a4w
9.7000,144.7829,2564.8350,2.9984,77.0873,4.0496,25.4979,262.4347,0.2924,8.2259,0.0000,0.0571,1a7x
5.5200,78.1683,1077.6901,1.9721,0.0000,6.4548,0.4344,7.8970,0.2454,0.0000,0.7077,0.2500,1a8i
7.8500,140.8790,2298.4485,3.5498,64.3827,7.2404,75.1383,468.2899,1.0011,4.3918,0.9971,0.0308,1a94
5.7000,60.6168,446.5038,1.9844,28.6785,2.8750,0.0030,1.9182,0.0000,0.0000,0.0000,0.2000,1a99
6.9200,143.6196,2220.7476,3.0394,47.3128,5.4908,42.1493,263.5772,0.9826,3.4987,1.7383,0.0455,1a9m
8.4000,116.9588,2034.8842,3.1940,52.8668,7.9637,32.7099,222.6466,0.3912,8.4250,0.3722,0.0444,1aaq
5.4200,59.8325,817.2076,3.4891,4.2390,7.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.2857,1abf
6.7400,100.3868,1309.3774,3.7848,3.0945,4.7640,4.8330,42.9644,0.0797,0.0000,0.3520,0.2000,1add
5.3600,76.8465,1230.4689,1.7016,69.2753,2.5616,18.3364,80.4199,0.0349,34.1085,0.0000,0.0645,1adl
6.0000,33.4859,627.5252,1.5247,0.0000,4.5286,8.1586,4.4644,0.1480,0.0000,0.4569,0.1818,1ado
3.1000,105.7519,1354.3915,2.8173,6.7864,5.7149,7.8907,33.5393,0.0019,0.0000,0.0000,0.2222,1af2
1.8200,57.5218,1022.6001,2.3233,0.0000,5.2506,15.6220,83.4213,0.5764,0.0000,1.9121,0.1000,1af6
6.6200,92.0409,1175.9489,3.9793,0.0000,7.6432,13.5768,152.7040,0.1206,0.0000,0.0000,0.1000,1afk
6.2800,76.0908,1078.5220,1.7231,0.0000,4.1188,19.6212,157.1826,0.2762,0.0000,0.5541,0.1053,1afl
12.0000,128.2454,1871.7539,4.7944,16.7854,9.3526,27.7796,223.4036,1.9252,1.8523,3.5944,0.0588,1agm
2.5000,58.3869,766.2828,1.0576,30.9303,1.8979,2.1841,11.5047,0.0006,0.0000,0.0000,0.2500,1ai4
4.0900,48.7850,515.1758,0.3250,38.9405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1ai7
4.8200,48.2575,1215.9777,0.8797,52.0120,0.8920,20.7192,107.3222,0.1251,7.8892,0.0000,0.1333,1aid
5.9200,90.2676,1365.5618,1.9351,32.6344,3.5557,36.2748,248.6747,0.4854,11.3496,0.0000,0.0690,1aj6
3.8700,93.0363,1246.2439,2.2648,20.9712,3.5105,5.6630,48.5722,0.3221,0.0000,0.0000,0.1111,1aj7
2.6300,48.6691,838.6765,1.4807,33.1670,1.0750,4.0578,17.2154,0.0684,0.0000,0.0000,0.2500,1ajn
7.7200,145.3118,2305.7529,4.4100,93.3152,5.8456,19.3337,286.4097,0.1171,1.4296,0.0000,0.0833,1ajv
