pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,gauss1_inter_3,gauss2_inter_3,repulsion_inter_3,hydrophobic_inter_3,hydrogenbonding_inter_3,gauss1_intra_3,gauss2_intra_3,repulsion_intra_3,hydrophobic_intra_3,hydrogenbonding_intra_3,gauss1_inter_4,gauss2_inter_4,repulsion_inter_4,hydrophobic_inter_4,hydrogenbonding_inter_4,gauss1_intra_4,gauss2_intra_4,repulsion_intra_4,hydrophobic_intra_4,hydrogenbonding_intra_4,gauss1_inter_5,gauss2_inter_5,repulsion_inter_5,hydrophobic_inter_5,hydrogenbonding_inter_5,gauss1_intra_5,gauss2_intra_5,repulsion_intra_5,hydrophobic_intra_5,hydrogenbonding_intra_5,gauss1_inter_6,gauss2_inter_6,repulsion_inter_6,hydrophobic_inter_6,hydrogenbonding_inter_6,gauss1_intra_6,gauss2_intra_6,repulsion_intra_6,hydrophobic_intra_6,hydrogenbonding_intra_6,gauss1_inter_7,gauss2_inter_7,repulsion_inter_7,hydrophobic_inter_7,hydrogenbonding_inter_7,gauss1_intra_7,gauss2_intra_7,repulsion_intra_7,hydrophobic_intra_7,hydrogenbonding_intra_7,gauss1_inter_8,gauss2_inter_8,repulsion_inter_8,hydrophobic_inter_8,hydrogenbonding_inter_8,gauss1_intra_8,gauss2_intra_8,repulsion_intra_8,hydrophobic_intra_8,hydrogenbonding_intra_8,gauss1_inter_9,gauss2_inter_9,repulsion_inter_9,hydrophobic_inter_9,hydrogenbonding_inter_9,gauss1_intra_9,gauss2_intra_9,repulsion_intra_9,hydrophobic_intra_9,hydrogenbonding_intra_9,flexibility,PDB
6.0000,112.8517,1256.8502,4.4797,24.8276,9.1600,30.0673,202.4215,0.2179,9.3651,0.0000,100.4153,1274.4264,4.0415,24.9214,8.4760,25.7719,217.0070,0.3144,8.4475,0.0000,98.2610,1159.5122,3.7674,27.2116,8.0993,36.3717,208.5920,0.5772,11.8061,0.3486,98.4687,1235.5598,3.5948,24.0526,7.5809,33.8165,239.9905,0.4195,5.9591,0.0000,105.0632,1290.7577,4.1141,19.1506,8.1627,32.5723,223.3172,1.0356,9.8093,0.0000,90.1704,1176.6638,4.0029,17.2751,9.1688,29.2663,213.3497,0.4805,8.2452,0.0000,99.1106,1228.9059,4.2285,25.8927,7.7888,30.6551,209.0836,0.4964,9.7739,0.0000,85.1802,1202.2281,3.1948,22.8764,7.0586,36.0916,189.2555,0.3114,9.9317,0.0000,76.7096,1179.6107,3.2665,14.5644,7.1308,32.9925,215.6623,0.2677,8.6565,0.0000,0.0667,1a1e
8.0000,113.2983,1691.5165,2.2292,48.7715,3.4592,9.4552,110.2065,0.8020,4.5632,0.0000,91.8209,1636.5031,1.4743,44.9566,2.0937,13.7402,133.5331,0.8831,4.5719,0.5797,96.3252,1554.4276,1.7668,40.8568,2.0822,12.8841,117.2111,0.5745,4.8126,0.3586,88.0422,1556.9353,1.7606,34.2778,2.1604,10.2031,113.4150,0.2306,4.6504,0.0000,75.4993,1616.6105,0.6387,36.2131,0.1254,10.9635,111.3960,0.2219,5.0107,0.0000,70.3441,1439.1919,0.2644,37.1645,0.0000,13.6961,131.3912,0.1713,5.0162,0.0000,86.0792,1382.5624,0.9595,37.1741,0.6877,15.7122,134.0561,0.4604,4.9222,0.0000,83.4995,1379.8921,2.5727,32.5350,4.0762,9.6363,117.3877,0.9884,4.6263,0.0000,60.6916,1305.2393,0.9194,35.1319,1.8781,16.6802,135.8940,0.5566,4.5878,0.0000,0.1429,1a4k
6.6600,123.7329,1294.0654,4.6589,0.0000,9.4955,8.4732,105.5227,0.1235,0.0000,0.6604,106.4899,1330.2029,3.4619,0.0000,7.2181,7.5186,103.7491,0.3262,0.0000,0.8159,74.6687,1218.4387,3.7777,0.0000,8.7936,10.4414,106.7428,0.2361,0.0000,0.8847,81.4021,1192.2002,4.0933,0.0000,7.5890,32.7624,138.3653,1.1296,0.0000,1.8589,71.5007,1220.9955,2.6633,0.0000,6.7047,14.8589,97.1930,0.8491,0.0000,1.5843,72.1802,1095.0656,3.1095,0.0000,7.6429,19.3288,150.4574,0.2957,0.0000,0.5796,73.4570,1186.2374,2.4029,0.0000,6.3037,16.3691,115.9334,1.1059,0.0000,1.6060,72.0033,1121.9910,3.3000,0.0000,8.0995,11.4731,95.7100,0.7213,0.0000,1.2631,78.7549,1190.0533,4.9322,0.0000,10.1604,18.9067,121.0401,1.6885,0.0000,0.8666,0.1176,1a4r
5.9200,109.5496,1931.2476,1.9867,48.3587,4.6246,34.3626,271.7000,0.5159,12.5995,0.0000,118.6423,1813.1506,2.4321,39.8778,2.9155,44.1490,325.6415,1.0817,16.0561,1.0498,97.1772,1926.5411,1.8354,43.5206,3.9534,37.9818,281.5840,2.0257,10.0098,0.0000,93.6786,1685.4506,2.2427,45.4728,3.0950,44.5460,310.2448,0.7085,6.1494,1.3370,101.1756,1899.5042,2.0137,21.6895,3.8778,32.5039,278.0273,0.6131,3.1509,0.0000,97.9514,1927.1182,1.3589,26.8584,3.2342,20.4030,211.3382,0.3129,2.4359,0.0000,108.7550,1697.8031,1.6827,37.3910,4.0326,33.4344,253.4107,1.1149,8.2704,0.0000,85.0520,1665.5685,1.1158,56.7838,2.0386,37.4332,268.7439,0.6757,4.3246,0.7222,104.6211,1805.6879,3.5268,26.1366,5.6196,28.4316,251.2501,0.7344,9.0442,0.3438,0.0714,1a4w
5.5200,78.1318,1142.4207,1.9821,0.0000,6.4832,0.4098,7.8963,0.2645,0.0000,0.7348,76.8364,1171.9868,4.2081,0.0000,6.8648,0.2837,7.8878,0.4039,0.0000,0.9079,71.8836,1148.3875,2.6722,0.0000,4.9992,0.2535,7.8815,0.4599,0.0000,0.9688,70.9335,1186.6544,5.0956,0.0000,8.3800,1.2620,7.3290,0.0000,0.0000,0.0000,85.0191,1202.5188,5.1612,0.0000,7.1346,0.7072,7.8948,0.1015,0.0000,0.4551,84.5127,1175.0648,4.5437,0.0000,6.2355,1.1575,7.2643,0.0000,0.0000,0.0000,70.3520,1164.0962,4.7369,0.0000,6.6605,0.6914,7.6004,0.2205,0.0000,0.6708,65.2814,1149.5646,3.3442,0.0000,5.3944,0.8442,6.7727,0.0000,0.0000,0.0000,78.1647,1183.9283,5.0258,0.0000,6.7005,0.5415,7.5620,0.0000,0.0000,0.0000,0.2500,1a8i
7.8500,167.8559,2770.4814,4.0607,64.6487,7.4237,58.3125,421.7674,1.5209,6.0677,0.5762,167.5185,2739.7021,4.6038,68.1786,7.5858,65.7631,410.1767,2.1809,11.4875,0.7665,155.8610,2725.9182,3.9840,64.4630,7.3079,55.2657,390.9173,0.6846,4.5822,0.2155,157.5270,2372.2610,3.9991,71.5709,7.9999,62.4784,496.1054,0.8323,4.7567,0.9442,181.6557,2914.5911,6.6396,76.0005,6.9665,66.0974,489.1736,2.5529,9.7407,0.9837,174.9805,2737.1479,4.3288,67.4393,6.0666,59.4818,438.6519,2.0693,16.5414,0.5686,152.5223,2705.8647,4.4766,77.4010,4.9074,65.2723,461.7702,1.4253,3.0301,2.2971,168.3777,2834.6631,7.3738,75.9109,7.7548,81.6563,447.9196,3.8495,8.6901,2.7590,151.3661,2792.1965,3.2759,71.1584,3.6576,61.8341,438.9063,1.6451,5.7468,0.9334,0.0339,1a94
5.7000,54.9270,464.5353,0.6934,24.5918,2.0786,0.6543,1.2178,0.0000,0.0000,0.0000,55.5197,463.7915,0.7691,24.7035,2.1344,0.7558,1.1796,0.0000,0.0000,0.0000,49.9440,463.5675,1.4876,16.2647,3.3613,2.7260,0.3424,0.0281,0.0000,0.0000,49.9044,464.7274,1.4769,16.0914,3.3489,2.7008,0.3455,0.0263,0.0000,0.0000,60.4948,445.3631,2.0492,28.1313,2.9476,0.0058,1.8674,0.0000,0.0000,0.0000,60.1765,439.3728,2.0461,30.4202,1.8258,0.0050,1.8235,0.0000,0.0000,0.0000,60.2868,451.1331,2.8652,30.4016,2.4697,0.0308,1.6504,0.0000,0.0000,0.0000,43.9630,466.3200,2.0838,12.1710,2.9003,0.4717,1.2012,0.0000,0.0000,0.0000,48.7395,447.8320,4.7690,7.6013,3.9094,0.9989,0.7227,0.0000,0.0000,0.0000,0.2000,1a99
6.9200,145.1071,2285.8169,4.4209,66.2061,7.2299,51.3061,249.9420,2.7498,6.2591,2.7013,140.2929,2347.9563,5.5914,46.1230,5.7092,75.6017,274.4738,2.6845,18.8678,3.5274,124.2036,2288.7476,3.5506,48.0900,5.1164,62.8938,257.3364,1.7470,19.4710,2.0673,132.7605,2243.1467,3.0574,45.1827,6.0010,39.9572,265.3546,0.5852,6.2472,0.9089,142.4213,2250.0796,4.4857,59.6428,5.7786,50.1548,242.2836,1.6350,7.2663,1.9862,134.1160,2257.0540,2.4540,32.2103,4.6886,45.0957,259.6620,1.7884,22.6343,1.6513,139.5011,2190.5398,3.2554,48.6568,6.1312,35.9365,256.9831,0.6188,5.9941,0.4335,130.9419,2031.5468,3.4660,44.9760,7.7013,44.5760,256.7464,1.1472,11.3562,1.0335,121.9839,2163.8999,2.3557,44.6305,4.6518,47.0223,247.0061,1.0636,16.6254,1.2079,0.0488,1a9m
8.4000,127.3689,2054.1599,3.9394,52.6458,8.3258,33.9820,225.5692,0.5073,8.1562,0.2834,145.7727,2120.0679,3.5754,86.2142,4.8832,34.4548,260.7632,1.2654,12.2780,0.0000,121.6490,2077.1284,3.4768,64.7935,6.6484,31.6372,233.7039,0.3771,10.2374,0.1974,128.5055,2103.4067,3.6418,60.7801,6.0921,38.7880,246.3912,0.6750,13.4900,0.0000,123.3752,2091.0276,4.1303,59.4688,7.3597,33.9215,235.4899,0.4852,13.5427,0.0000,113.4036,1988.8546,3.3321,48.7625,7.9109,29.3571,218.3359,0.5336,4.7705,0.5267,119.1037,2114.6978,2.6360,65.0662,4.7022,32.0514,231.8005,1.3333,7.7390,0.6473,101.1405,1960.9115,2.9275,62.9503,5.5483,40.9034,227.5580,0.3471,16.3488,0.1674,119.2507,2084.1846,2.5424,54.2400,4.0030,36.2167,223.7235,0.5180,8.8584,0.1855,0.0526,1aaq
6.7400,101.0037,1307.9453,4.1768,2.9426,5.2184,4.8445,42.9866,0.0866,0.0000,0.3747,68.5668,1099.5735,1.3919,3.4876,2.5318,5.1438,44.0807,0.1904,0.0000,0.4330,75.9699,1133.0011,2.8461,9.6874,4.0200,5.9856,42.4732,0.5204,0.0000,0.0527,61.0742,1113.4207,1.2790,1.8187,2.3279,4.7887,42.5825,0.1553,0.0000,0.5275,62.3239,1126.1740,2.1856,1.0229,3.1563,4.1620,45.6845,0.2799,0.0000,0.0000,59.0179,1067.4912,2.2552,1.7451,3.1267,4.6399,42.7653,0.1706,0.0000,0.5547,95.7834,1267.1840,5.7216,2.6503,4.2541,4.6971,43.9152,0.0153,0.0000,0.0000,54.4550,1073.8728,1.6288,2.9108,2.2052,4.1477,46.2815,0.1105,0.0000,0.0000,83.4410,1291.8629,6.5530,6.5861,4.8494,4.6211,42.6849,0.1696,0.0000,0.5541,0.2000,1add
