pbindaff,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,flexibility,PDB
6.4000,109.8313,1323.6873,2.2537,74.5734,4.5683,28.0523,171.1459,0.3418,2.8704,0.0000,100.0346,1332.9198,1.5909,79.7734,3.0779,30.8173,217.6780,0.7179,3.2336,0.0000,0.0690,10gs
5.6200,97.2319,1447.8108,2.6116,28.1268,4.9361,56.8380,275.5323,0.7579,28.5762,1.0328,107.0345,1521.9489,2.4741,30.1581,5.3764,40.0318,257.6867,0.3421,19.7617,0.0000,0.0465,1a08
6.4000,111.3779,1336.5923,3.5281,34.7952,7.6397,45.9403,236.2735,0.6639,14.0737,0.0000,111.6859,1292.9170,3.5481,35.8349,7.7934,42.3252,246.8208,0.6514,8.6825,0.4686,0.0465,1a1b
4.3000,96.5715,1464.1450,1.7767,34.2822,3.2060,19.5349,128.3570,0.7931,0.2578,1.5518,99.1816,1507.4973,1.5885,36.7106,2.6461,21.9026,108.9878,0.4063,0.6321,0.4336,0.0690,1a30
5.3000,91.5769,1241.2390,4.3388,0.0000,7.0299,10.3177,40.5854,0.3530,0.0000,0.0000,91.2349,1253.5225,5.1486,0.0000,6.5855,13.1997,39.5026,0.1756,0.0000,0.0000,0.2222,1a69
3.7200,65.8208,824.3367,1.5424,34.4691,2.6704,3.8001,17.1389,0.0208,0.0000,0.0000,68.2751,857.0934,1.5400,29.9178,0.9884,3.1763,17.7213,0.0100,0.0000,0.0000,0.2500,1ai5
2.2300,61.1703,800.7880,2.0797,28.5316,1.9432,3.6298,8.9665,0.0346,0.0000,0.0000,53.7674,762.2979,1.3457,23.0558,1.6667,3.6401,9.2377,0.1255,0.0000,0.3336,0.2500,1ajp
4.3100,60.8248,615.9860,1.8453,26.4918,2.3077,2.5413,3.7007,0.0089,0.0000,0.0000,59.8293,627.2824,1.7765,21.5127,1.4179,1.9205,3.7480,0.1193,0.0000,0.0000,0.3333,1ajq
8.0000,114.7744,1714.4034,3.5866,52.7104,6.7691,42.9400,216.4636,0.8852,14.6046,1.2686,120.2346,1635.8856,3.6196,59.2494,6.7612,33.0938,201.6639,0.8376,8.0687,1.3690,0.0500,1apw
3.9000,46.3540,483.9052,2.6513,4.0000,3.9094,1.6420,1.8648,0.0000,0.0000,0.0000,34.6191,425.9002,1.2706,0.0000,3.3074,1.1314,2.3064,0.0002,0.0000,0.0000,0.2857,1avn
6.9200,110.2561,1887.3242,3.6459,0.0000,7.6082,16.7120,128.2585,0.4634,0.0000,0.0000,115.5810,1889.0762,3.7161,0.0000,8.0564,10.9570,135.1413,1.0016,0.0000,0.0000,0.0952,1b39
8.0200,130.4910,1742.4360,5.1809,34.6755,11.9289,13.2067,121.7603,0.3224,0.0000,0.3641,142.2067,1763.7006,4.4955,35.2532,8.1447,19.0449,114.6052,0.1150,0.3782,0.0000,0.0526,1b7h
10.6400,96.0156,1291.5353,2.8190,2.0810,5.5429,9.0408,43.2453,0.5090,0.0000,0.0000,82.2477,1321.7351,4.2471,2.6453,6.2042,6.0497,43.0539,0.3912,0.0000,0.8845,0.2222,1b8o
5.9600,129.6964,1742.7830,5.0348,32.6890,11.5777,15.3865,120.0017,0.4136,0.0000,0.3419,123.4062,1760.3359,4.5709,32.7702,8.7045,16.4496,123.2509,0.1036,0.0000,0.0000,0.0541,1b9j
3.2800,65.8966,851.9915,0.9288,13.0208,2.1029,0.0000,0.0000,0.0000,0.0000,0.0000,84.1570,955.5280,1.3615,11.3762,0.6631,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1bcu
4.5900,112.0533,1539.9060,1.9368,54.2390,2.0745,25.1985,224.1893,0.8565,3.8487,0.6435,103.0974,1646.6735,2.0274,63.1885,2.4475,23.1590,185.7838,1.0577,7.1405,0.0000,0.0645,1bma
1.8200,58.5999,610.2626,2.1539,7.6351,3.3706,0.8972,2.0604,0.0000,0.0000,0.0000,52.9216,610.3088,1.6290,7.5371,2.7354,0.7888,2.0535,0.0000,0.0000,0.0000,0.4000,1bra
10.0000,151.6468,2073.8601,3.9955,72.0115,6.0418,25.0078,187.7627,0.4543,6.6961,0.0000,149.8175,2095.8750,5.3359,70.3949,5.5464,29.8172,220.8037,1.3210,15.6302,0.0000,0.0690,1bxo
7.5700,93.0033,1151.2893,7.4554,2.9443,17.2318,11.9213,33.9835,0.9071,0.0000,1.2282,92.3429,1152.9948,6.9063,2.9438,16.4404,11.7268,34.2556,1.0738,0.0000,1.3000,0.1429,1d09
3.3000,35.7018,340.3834,0.8008,21.7451,2.0502,0.2175,0.6337,0.0000,0.0000,0.0000,35.3473,324.3002,0.4550,21.8814,1.1413,0.6876,0.3745,0.1155,0.0000,0.4856,0.2500,1d7j
4.3000,68.7805,1013.8627,2.6397,0.0000,6.6821,9.0237,93.7644,0.0209,0.0000,0.0000,69.4639,1072.2605,2.3774,0.0000,4.9050,17.8447,81.0436,0.8041,0.0000,0.5793,0.1538,1det
9.7000,91.4914,1159.4795,2.5994,33.7505,4.2114,3.0360,30.1834,0.0247,0.0000,0.0000,81.2150,1132.3167,3.4664,33.2073,2.6715,2.8034,26.8850,0.0207,0.0000,0.0000,0.1667,1df8
7.2600,90.3157,1746.3240,1.5614,12.3663,4.2106,16.4637,114.5640,0.2356,1.8415,0.5127,95.7470,1513.5886,2.0624,35.1218,5.5942,15.0324,121.1809,0.1173,0.4353,0.0000,0.0870,1dhi
4.9200,60.7104,1132.4537,1.0210,41.0022,1.6837,2.2829,40.2688,0.0000,0.0000,0.0000,62.9724,1139.8787,0.8687,41.2917,0.7397,4.6413,42.0341,0.0691,0.0000,0.0000,0.2222,1e1v
7.6400,43.1745,642.6371,0.6500,17.1853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.7541,642.3314,0.6377,17.2821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,1e5a
9.8900,103.7593,1399.9202,5.3333,57.4140,0.7625,0.0381,9.7827,0.0000,0.6563,0.0000,88.9593,1319.9607,4.8688,65.0366,0.0000,0.0156,8.7186,0.0000,0.5150,0.0000,0.3333,1e66
6.3600,106.4808,1439.5481,2.4032,42.5304,3.4317,19.7216,166.6061,0.6798,3.4163,0.8379,97.6602,1440.0239,2.5605,37.1400,4.3784,20.7446,147.8720,0.3445,4.1113,0.0000,0.0800,1ela
7.1500,104.7268,1450.8368,1.9123,55.9044,1.6234,29.6080,191.4501,0.6175,4.6685,1.0933,94.3842,1449.5239,1.5311,50.0431,2.8004,22.9310,159.1745,0.0296,5.4138,0.0000,0.0606,1elb
