pbindaff,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
9.3000,69.5149,608.6163,5.8409,0.0000,11.2246,2.3387,3.4587,0.0166,0.0000,0.0000,0.3333,2iw4
4.4500,133.3939,1387.8406,5.2984,28.7368,7.8005,8.3421,44.8577,0.0339,5.9596,0.0000,0.1000,2wbg
6.0800,124.3990,1388.2031,4.9690,27.6722,8.3471,9.5345,45.9411,0.0616,6.0000,0.0000,0.1000,2wc3
5.2900,103.7768,1390.5546,1.9054,45.9671,3.0237,4.5451,35.3447,0.0000,5.3263,0.0000,0.1000,2wc4
6.1000,142.5419,1797.1377,8.3105,18.7681,15.6005,10.4771,103.2938,1.6605,0.6012,1.7529,0.1000,2yay
5.1400,106.0801,1389.0304,3.7224,18.0428,8.1157,3.9377,49.5825,0.2357,0.7308,0.0000,0.1818,2yaz
3.8500,82.7050,1149.9286,2.6519,17.5084,5.2814,2.7782,29.2492,0.2279,0.8356,0.0000,0.2500,2yb0
4.1500,61.9299,1118.6229,2.3935,0.0000,5.9881,15.5546,69.2031,0.6217,0.0000,2.0587,0.1176,2xg9
7.2600,66.5401,652.8264,3.5399,10.8250,7.5797,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,2xib
7.2000,114.4339,1377.9814,4.8509,23.4782,8.6220,5.0906,81.6185,0.4228,0.0000,0.7542,0.1818,2xii
8.3400,138.6899,2566.0215,3.8460,98.1983,5.1304,37.8592,321.8538,0.9620,7.6690,0.2865,0.0513,2xye
8.4400,129.3550,2546.5444,2.8825,82.8011,4.3490,40.1804,320.0344,1.0342,4.6847,0.3295,0.0513,2xyf
6.4000,104.7761,1566.8486,1.9346,61.1486,3.2707,36.0698,252.6760,1.5594,41.3735,0.0000,0.0741,2y8c
6.6300,77.9184,1303.8729,0.5198,52.8301,0.6334,17.1598,89.7594,0.2327,10.0520,0.4699,0.1176,2yfe
8.1200,91.6975,1359.8379,2.0808,24.0201,2.2614,8.9026,81.4321,0.2112,7.2231,0.4406,0.2000,2yi0
8.3200,86.6615,1362.7855,1.4286,23.3729,1.6001,8.9210,86.4274,0.3930,8.6909,0.6755,0.1667,2yi7
3.9200,155.2341,2542.7964,3.3664,18.2920,6.5404,37.7507,280.0467,2.4850,0.3691,3.4778,0.0408,2yim
2.7800,41.8426,422.7526,0.1735,39.6660,0.0000,0.0033,1.8946,0.0000,0.0000,0.0000,0.2500,2yiv
3.1600,80.8494,910.5475,3.2041,29.2602,4.8474,2.1569,9.1766,0.0809,0.0000,0.0000,0.2500,2ymd
7.6600,92.7505,1291.2660,3.1179,70.1422,0.1761,8.1667,62.4935,0.8001,0.8027,0.7884,0.3333,2yme
2.9200,61.5140,825.9174,4.3494,0.0000,9.9796,10.9926,74.7816,0.6434,0.0000,1.4085,0.1111,3alt
2.9600,96.6686,1250.1442,3.7930,0.0000,5.8561,10.8973,80.1875,0.3124,0.0000,0.6332,0.1538,3dhv
4.7200,109.9818,1026.4755,1.8929,80.6612,1.3129,2.0194,31.3111,0.0000,2.6853,0.0000,0.3333,3ebo
5.9100,117.7664,1298.0713,1.8868,74.0113,0.0000,8.9905,116.5056,1.3893,6.9782,0.7830,0.2222,3ebp
8.8900,112.9032,1943.2660,3.7813,72.3201,3.9024,33.8370,208.6378,1.7684,4.2438,1.1070,0.0714,3ekp
10.5900,136.3408,2134.2036,4.7868,54.1833,4.8622,52.8129,250.0599,2.4919,19.8562,0.0000,0.0714,3ekt
9.4100,122.8174,1956.4669,3.4834,62.7659,4.7928,24.8937,207.3133,0.3580,0.3154,0.0000,0.0714,3ekv
7.9600,152.0756,2640.7793,2.5963,88.6713,5.6738,58.3167,370.5381,1.9678,3.7460,0.0000,0.0513,3ekw
9.4100,130.9438,2159.9102,2.3504,66.7487,2.9839,28.3099,257.7468,0.7211,9.6354,0.0000,0.0870,3ekx
9.6400,123.5983,2472.9138,3.1502,81.2108,5.6065,62.2337,375.4417,1.4331,4.2116,0.0000,0.0513,3el1
7.1700,143.0586,2372.9365,2.6859,74.0872,5.8876,40.3732,349.5977,0.6727,11.9284,0.0000,0.0690,3el4
7.7200,130.7544,2169.0483,2.6090,56.2951,3.5150,27.6083,249.3158,0.5176,11.7921,0.0000,0.0833,3el5
8.4000,140.1402,2556.1326,3.1534,87.4414,5.6641,64.0408,381.4906,1.1142,5.2904,0.0000,0.0513,3el9
5.4300,46.5998,663.6685,2.1008,0.0000,5.3133,2.1552,4.2934,0.5731,0.0000,1.6831,0.2000,3ng4
6.4900,114.1567,1966.2272,4.0071,10.7737,6.9970,33.1767,250.3878,1.7015,1.6008,2.8719,0.0690,3nw3
3.4800,80.5211,871.5558,2.6303,24.7602,1.7605,0.3019,7.7971,0.0000,0.0000,0.0000,0.5000,3nyd
7.6200,192.3330,3014.5427,4.7287,52.1823,6.6598,46.1413,366.2539,1.0395,22.0136,1.2883,0.0299,3o4k
6.6800,82.1751,1113.9072,5.5792,0.0000,11.2045,9.2295,27.4829,0.3374,0.0000,1.1113,0.1429,3o75
5.6800,57.2941,1189.3673,1.5882,27.1536,3.3443,6.5375,32.7151,0.0702,1.5330,0.0000,0.2000,3oil
6.7400,67.4328,1149.8284,1.7683,62.7953,2.5232,8.0661,31.4123,0.4410,1.9828,0.0000,0.2000,3oim
6.3600,72.2324,1220.2719,3.2820,69.5499,3.5406,6.6071,30.7566,0.5523,1.8967,0.0000,0.2222,3oku
6.2300,83.3651,1406.4987,1.5072,31.6126,1.0923,6.1227,34.4478,0.2472,2.0059,0.0000,0.2222,3okv
9.1900,101.2631,1433.5854,2.8823,6.7067,6.9209,6.8985,63.3232,0.1728,0.3121,0.4518,0.1176,3ozg
4.4800,99.9402,1391.1168,1.1168,54.7993,1.4403,17.6083,108.7252,0.4348,2.9473,0.7523,0.1333,3p17
7.2500,78.4684,1199.1476,3.0405,41.9775,2.6342,7.7998,55.9684,0.2845,6.4563,0.3296,0.2000,3p3r
7.5900,64.4186,1074.5851,3.1478,28.0366,3.5981,3.6998,41.6078,0.4266,0.0000,0.0000,0.2500,3p3s
7.2400,74.0678,1071.0258,1.4928,45.9557,1.1457,13.1469,45.6647,0.1453,6.8772,0.0000,0.1667,3p3t
9.2800,161.9355,1982.3572,3.9003,47.6385,5.4106,36.1267,378.7741,1.4694,7.9788,0.1089,0.0667,3p8n
8.7200,138.2632,1933.9987,3.2220,44.2984,5.3723,33.6831,367.4836,0.9294,7.3027,0.0826,0.0667,3p8o
5.7400,84.3812,1012.6544,0.6187,22.5596,0.8299,10.2607,68.0923,0.2708,0.0931,0.0000,0.1111,3pb7
5.2400,46.2496,694.7411,0.7714,6.3016,1.8262,3.9314,12.4815,0.0356,0.5430,0.2695,0.2500,3pb8
6.5800,54.0563,734.4138,0.5818,35.0507,1.2604,3.5478,13.2222,0.0015,0.0000,0.0000,0.3333,3pb9
7.0200,83.0117,1094.0248,1.0448,18.7150,1.2836,13.1479,87.0873,0.1016,1.1677,0.0000,0.1053,3pbb
6.4400,99.6756,1147.6616,5.2552,2.7144,12.7147,14.0073,45.5004,0.0908,0.0000,0.0000,0.0909,3pfp
4.0200,106.0933,1132.0883,1.1459,16.6818,2.0553,13.8932,48.1576,1.0434,0.0000,0.7658,0.1538,3po1
3.3500,46.6657,695.4542,1.6108,4.4830,4.2269,1.2879,11.9930,0.0000,0.0000,0.0000,0.3333,3pwk
5.3300,40.4821,545.0898,1.4367,0.0000,3.0936,1.2518,0.1258,0.2692,0.0000,0.9698,0.2500,3q1x
4.3100,143.6867,2142.5398,4.9744,27.6230,12.1027,82.6370,612.8198,1.7896,4.8110,3.4096,0.0290,3q5u
7.5700,155.7753,2015.5248,3.4545,52.7043,2.1502,12.3498,211.6029,0.0427,12.8632,0.0000,0.1250,3q6w
4.9700,81.1482,665.5109,2.2890,0.0000,2.4819,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,3qbc
8.7700,94.1583,1228.7338,1.3154,35.6339,0.7225,8.6554,63.8374,0.4219,0.0000,0.0000,0.2222,3qdd
4.1700,173.5145,2242.9849,4.6854,93.8799,5.4883,62.7986,405.7104,1.9876,0.7140,0.9056,0.0370,3qfd
6.3700,72.2065,1016.4509,0.7894,56.6740,1.2919,22.7502,50.1907,0.0377,24.0744,0.0000,0.0667,3qlm
5.8200,77.9513,1153.9595,2.0188,42.4358,3.5963,11.8164,51.6231,0.7574,5.5014,1.0076,0.2000,3qqs
4.8200,60.9580,926.7620,2.8296,12.2011,6.4769,1.9722,22.9751,0.1247,0.0000,0.4632,0.1667,3vd4
4.0000,57.6940,923.2380,2.9048,12.2081,6.7294,1.8635,22.4184,0.2134,0.0000,0.5399,0.1667,3vd9
2.5200,57.9690,881.4374,3.0915,0.0000,5.1157,1.4784,2.9973,0.2080,0.0000,0.6516,0.2500,3vdb
8.2700,99.7287,1315.5426,2.4376,52.4959,3.0260,9.9555,108.3046,0.1562,8.0946,0.0000,0.1818,4djy
6.5200,79.3805,1385.4031,1.3907,30.2485,0.6618,4.2023,67.6489,0.4885,0.0000,0.0000,0.2500,4dko
5.7200,80.8965,1339.4404,0.6751,44.0730,0.5413,4.3905,57.2912,0.6415,0.0000,0.0000,0.2222,4dkp
