pbindaff,6.6_1,7.6_1,8.6_1,16.6_1,6.7_1,7.7_1,8.7_1,16.7_1,6.8_1,7.8_1,8.8_1,16.8_1,6.16_1,7.16_1,8.16_1,16.16_1,6.15_1,7.15_1,8.15_1,16.15_1,6.9_1,7.9_1,8.9_1,16.9_1,6.17_1,7.17_1,8.17_1,16.17_1,6.35_1,7.35_1,8.35_1,16.35_1,6.53_1,7.53_1,8.53_1,16.53_1,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,6.6_2,7.6_2,8.6_2,16.6_2,6.7_2,7.7_2,8.7_2,16.7_2,6.8_2,7.8_2,8.8_2,16.8_2,6.16_2,7.16_2,8.16_2,16.16_2,6.15_2,7.15_2,8.15_2,16.15_2,6.9_2,7.9_2,8.9_2,16.9_2,6.17_2,7.17_2,8.17_2,16.17_2,6.35_2,7.35_2,8.35_2,16.35_2,6.53_2,7.53_2,8.53_2,16.53_2,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,flexibility,PDB
6.0000,2251.0000,705.0000,639.0000,37.0000,255.0000,86.0000,64.0000,5.0000,948.0000,299.0000,282.0000,12.0000,0.0000,0.0000,0.0000,0.0000,126.0000,41.0000,40.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,112.8517,1256.8502,4.4797,24.8276,9.1600,30.0673,202.4215,0.2179,9.3651,0.0000,2330.0000,687.0000,654.0000,37.0000,259.0000,83.0000,68.0000,5.0000,992.0000,305.0000,281.0000,13.0000,0.0000,0.0000,0.0000,0.0000,132.0000,41.0000,40.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.4153,1274.4264,4.0415,24.9214,8.4760,25.7719,217.0070,0.3144,8.4475,0.0000,0.0667,1a1e
8.0000,3413.0000,982.0000,936.0000,12.0000,449.0000,136.0000,128.0000,2.0000,991.0000,293.0000,263.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,113.2983,1691.5165,2.2292,48.7715,3.4592,9.4552,110.2065,0.8020,4.5632,0.0000,3378.0000,969.0000,926.0000,12.0000,446.0000,134.0000,131.0000,2.0000,942.0000,290.0000,255.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,91.8209,1636.5031,1.4743,44.9566,2.0937,13.7402,133.5331,0.8831,4.5719,0.5797,0.1429,1a4k
6.6600,1387.0000,356.0000,437.0000,20.0000,892.0000,228.0000,274.0000,14.0000,1423.0000,351.0000,419.0000,22.0000,0.0000,0.0000,0.0000,0.0000,313.0000,76.0000,90.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,123.7329,1294.0654,4.6589,0.0000,9.4955,8.4732,105.5227,0.1235,0.0000,0.6604,1411.0000,357.0000,442.0000,20.0000,869.0000,220.0000,268.0000,14.0000,1412.0000,339.0000,412.0000,21.0000,0.0000,0.0000,0.0000,0.0000,292.0000,66.0000,85.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.4899,1330.2029,3.4619,0.0000,7.2181,7.5186,103.7491,0.3262,0.0000,0.8159,0.1176,1a4r
5.9200,4270.0000,1131.0000,1293.0000,97.0000,1151.0000,313.0000,351.0000,26.0000,530.0000,137.0000,167.0000,13.0000,260.0000,69.0000,73.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,109.5496,1931.2476,1.9867,48.3587,4.6246,34.3626,271.7000,0.5159,12.5995,0.0000,3962.0000,1047.0000,1180.0000,82.0000,1027.0000,276.0000,297.0000,14.0000,523.0000,134.0000,155.0000,7.0000,294.0000,80.0000,91.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.6423,1813.1506,2.4321,39.8778,2.9155,44.1490,325.6415,1.0817,16.0561,1.0498,0.0714,1a4w
5.5200,1626.0000,536.0000,569.0000,12.0000,412.0000,131.0000,135.0000,0.0000,1450.0000,464.0000,491.0000,13.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.1318,1142.4207,1.9821,0.0000,6.4832,0.4098,7.8963,0.2645,0.0000,0.7348,1661.0000,515.0000,581.0000,15.0000,413.0000,137.0000,143.0000,1.0000,1458.0000,455.0000,503.0000,12.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.8364,1171.9868,4.2081,0.0000,6.8648,0.2837,7.8878,0.4039,0.0000,0.9079,0.2500,1a8i
7.8500,6060.0000,1674.0000,1746.0000,8.0000,1475.0000,421.0000,420.0000,6.0000,1472.0000,414.0000,442.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,167.8559,2770.4814,4.0607,64.6487,7.4237,58.3125,421.7674,1.5209,6.0677,0.5762,6051.0000,1669.0000,1752.0000,12.0000,1445.0000,419.0000,431.0000,4.0000,1422.0000,388.0000,422.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,167.5185,2739.7021,4.6038,68.1786,7.5858,65.7631,410.1767,2.1809,11.4875,0.7665,0.0339,1a94
5.7000,928.0000,218.0000,269.0000,6.0000,460.0000,105.0000,132.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.9270,464.5353,0.6934,24.5918,2.0786,0.6543,1.2178,0.0000,0.0000,0.0000,927.0000,219.0000,268.0000,6.0000,459.0000,106.0000,132.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.5197,463.7915,0.7691,24.7035,2.1344,0.7558,1.1796,0.0000,0.0000,0.0000,0.2000,1a99
6.9200,4950.0000,1442.0000,1421.0000,4.0000,1317.0000,375.0000,372.0000,1.0000,1081.0000,317.0000,312.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,145.1071,2285.8169,4.4209,66.2061,7.2299,51.3061,249.9420,2.7498,6.2591,2.7013,5079.0000,1460.0000,1457.0000,3.0000,1327.0000,379.0000,373.0000,3.0000,1166.0000,335.0000,322.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.2929,2347.9563,5.5914,46.1230,5.7092,75.6017,274.4738,2.6845,18.8678,3.5274,0.0488,1a9m
8.4000,4767.0000,1319.0000,1432.0000,1.0000,813.0000,229.0000,252.0000,1.0000,1118.0000,299.0000,332.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,127.3689,2054.1599,3.9394,52.6458,8.3258,33.9820,225.5692,0.5073,8.1562,0.2834,4932.0000,1379.0000,1494.0000,1.0000,832.0000,238.0000,261.0000,0.0000,1107.0000,297.0000,332.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,145.7727,2120.0679,3.5754,86.2142,4.8832,34.4548,260.7632,1.2654,12.2780,0.0000,0.0526,1aaq
6.7400,2529.0000,679.0000,673.0000,47.0000,915.0000,257.0000,265.0000,18.0000,908.0000,217.0000,214.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,101.0037,1307.9453,4.1768,2.9426,5.2184,4.8445,42.9866,0.0866,0.0000,0.3747,2219.0000,540.0000,545.0000,38.0000,744.0000,181.0000,189.0000,12.0000,920.0000,227.0000,225.0000,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.5668,1099.5735,1.3919,3.4876,2.5318,5.1438,44.0807,0.1904,0.0000,0.4330,0.2000,1add
