pbindaff,6.6_1,7.6_1,8.6_1,16.6_1,6.7_1,7.7_1,8.7_1,16.7_1,6.8_1,7.8_1,8.8_1,16.8_1,6.16_1,7.16_1,8.16_1,16.16_1,6.15_1,7.15_1,8.15_1,16.15_1,6.9_1,7.9_1,8.9_1,16.9_1,6.17_1,7.17_1,8.17_1,16.17_1,6.35_1,7.35_1,8.35_1,16.35_1,6.53_1,7.53_1,8.53_1,16.53_1,gauss1_inter_1,gauss2_inter_1,repulsion_inter_1,hydrophobic_inter_1,hydrogenbonding_inter_1,gauss1_intra_1,gauss2_intra_1,repulsion_intra_1,hydrophobic_intra_1,hydrogenbonding_intra_1,6.6_2,7.6_2,8.6_2,16.6_2,6.7_2,7.7_2,8.7_2,16.7_2,6.8_2,7.8_2,8.8_2,16.8_2,6.16_2,7.16_2,8.16_2,16.16_2,6.15_2,7.15_2,8.15_2,16.15_2,6.9_2,7.9_2,8.9_2,16.9_2,6.17_2,7.17_2,8.17_2,16.17_2,6.35_2,7.35_2,8.35_2,16.35_2,6.53_2,7.53_2,8.53_2,16.53_2,gauss1_inter_2,gauss2_inter_2,repulsion_inter_2,hydrophobic_inter_2,hydrogenbonding_inter_2,gauss1_intra_2,gauss2_intra_2,repulsion_intra_2,hydrophobic_intra_2,hydrogenbonding_intra_2,flexibility,PDB
6.4000,3245.0000,861.0000,851.0000,50.0000,457.0000,135.0000,116.0000,10.0000,896.0000,242.0000,232.0000,15.0000,158.0000,42.0000,43.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,109.8313,1323.6873,2.2537,74.5734,4.5683,28.0523,171.1459,0.3418,2.8704,0.0000,3068.0000,808.0000,788.0000,28.0000,439.0000,121.0000,106.0000,5.0000,857.0000,219.0000,216.0000,7.0000,108.0000,28.0000,24.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0346,1332.9198,1.5909,79.7734,3.0779,30.8173,217.6780,0.7179,3.2336,0.0000,0.0690,10gs
5.6200,2499.0000,760.0000,682.0000,37.0000,279.0000,85.0000,73.0000,5.0000,868.0000,262.0000,243.0000,13.0000,0.0000,0.0000,0.0000,0.0000,131.0000,41.0000,40.0000,1.0000,227.0000,72.0000,70.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.2319,1447.8108,2.6116,28.1268,4.9361,56.8380,275.5323,0.7579,28.5762,1.0328,2575.0000,770.0000,686.0000,35.0000,285.0000,83.0000,73.0000,5.0000,907.0000,268.0000,253.0000,13.0000,0.0000,0.0000,0.0000,0.0000,134.0000,41.0000,40.0000,1.0000,231.0000,73.0000,72.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107.0345,1521.9489,2.4741,30.1581,5.3764,40.0318,257.6867,0.3421,19.7617,0.0000,0.0465,1a08
6.4000,2541.0000,762.0000,706.0000,40.0000,269.0000,91.0000,70.0000,5.0000,914.0000,296.0000,287.0000,12.0000,0.0000,0.0000,0.0000,0.0000,123.0000,39.0000,41.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,111.3779,1336.5923,3.5281,34.7952,7.6397,45.9403,236.2735,0.6639,14.0737,0.0000,2495.0000,777.0000,720.0000,39.0000,278.0000,87.0000,76.0000,5.0000,872.0000,294.0000,274.0000,10.0000,0.0000,0.0000,0.0000,0.0000,123.0000,39.0000,41.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,111.6859,1292.9170,3.5481,35.8349,7.7934,42.3252,246.8208,0.6514,8.6825,0.4686,0.0465,1a1b
4.3000,2821.0000,778.0000,843.0000,3.0000,589.0000,158.0000,177.0000,0.0000,1407.0000,379.0000,426.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,96.5715,1464.1450,1.7767,34.2822,3.2060,19.5349,128.3570,0.7931,0.2578,1.5518,2859.0000,767.0000,880.0000,2.0000,582.0000,160.0000,180.0000,0.0000,1509.0000,419.0000,454.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.1816,1507.4973,1.5885,36.7106,2.6461,21.9026,108.9878,0.4063,0.6321,0.4336,0.0690,1a30
5.3000,2067.0000,619.0000,609.0000,58.0000,805.0000,239.0000,227.0000,22.0000,1042.0000,319.0000,319.0000,29.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,91.5769,1241.2390,4.3388,0.0000,7.0299,10.3177,40.5854,0.3530,0.0000,0.0000,2083.0000,617.0000,606.0000,61.0000,824.0000,241.0000,229.0000,23.0000,1048.0000,322.0000,299.0000,32.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,91.2349,1253.5225,5.1486,0.0000,6.5855,13.1997,39.5026,0.1756,0.0000,0.0000,0.2222,1a69
3.7200,1680.0000,403.0000,489.0000,10.0000,225.0000,60.0000,72.0000,2.0000,844.0000,213.0000,253.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.8208,824.3367,1.5424,34.4691,2.6704,3.8001,17.1389,0.0208,0.0000,0.0000,1784.0000,422.0000,515.0000,13.0000,206.0000,49.0000,60.0000,1.0000,878.0000,215.0000,247.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.2751,857.0934,1.5400,29.9178,0.9884,3.1763,17.7213,0.0100,0.0000,0.0000,0.2500,1ai5
2.2300,1789.0000,429.0000,509.0000,12.0000,0.0000,0.0000,0.0000,0.0000,919.0000,214.0000,261.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1703,800.7880,2.0797,28.5316,1.9432,3.6298,8.9665,0.0346,0.0000,0.0000,1718.0000,413.0000,492.0000,10.0000,0.0000,0.0000,0.0000,0.0000,820.0000,198.0000,238.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.7674,762.2979,1.3457,23.0558,1.6667,3.6401,9.2377,0.1255,0.0000,0.3336,0.2500,1ajp
4.3100,1363.0000,344.0000,391.0000,9.0000,0.0000,0.0000,0.0000,0.0000,409.0000,106.0000,115.0000,3.0000,225.0000,64.0000,70.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8248,615.9860,1.8453,26.4918,2.3077,2.5413,3.7007,0.0089,0.0000,0.0000,1408.0000,350.0000,392.0000,12.0000,0.0000,0.0000,0.0000,0.0000,427.0000,112.0000,121.0000,3.0000,227.0000,63.0000,68.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.8293,627.2824,1.7765,21.5127,1.4179,1.9205,3.7480,0.1193,0.0000,0.0000,0.3333,1ajq
8.0000,3821.0000,958.0000,1458.0000,0.0000,632.0000,161.0000,239.0000,0.0000,832.0000,200.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,331.0000,83.0000,116.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,114.7744,1714.4034,3.5866,52.7104,6.7691,42.9400,216.4636,0.8852,14.6046,1.2686,3810.0000,981.0000,1465.0000,0.0000,637.0000,153.0000,241.0000,0.0000,793.0000,187.0000,289.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,328.0000,84.0000,121.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.2346,1635.8856,3.6196,59.2494,6.7612,33.0938,201.6639,0.8376,8.0687,1.3690,0.0500,1apw
3.9000,1071.0000,298.0000,262.0000,5.0000,646.0000,179.0000,154.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.3540,483.9052,2.6513,4.0000,3.9094,1.6420,1.8648,0.0000,0.0000,0.0000,927.0000,220.0000,212.0000,5.0000,596.0000,142.0000,128.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.6191,425.9002,1.2706,0.0000,3.3074,1.1314,2.3064,0.0002,0.0000,0.0000,0.2857,1avn
