pbindaff,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
0.4900,1244.0000,374.0000,348.0000,24.0000,140.0000,44.0000,39.0000,3.0000,116.0000,34.0000,29.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.9023,509.7585,0.1530,30.5518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,1w8l
0.8200,1103.0000,272.0000,322.0000,5.0000,227.0000,60.0000,66.0000,1.0000,442.0000,114.0000,130.0000,2.0000,228.0000,51.0000,58.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.2828,628.4755,0.6968,7.4667,2.0663,1.9706,5.2726,0.0009,0.0000,0.0000,0.1667,1wkm
1.0100,725.0000,197.0000,234.0000,22.0000,569.0000,152.0000,171.0000,15.0000,205.0000,55.0000,61.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.3549,581.3547,2.0669,0.5314,5.1194,4.9369,1.8013,0.3429,0.0000,1.0212,0.2222,2a31
1.2800,961.0000,271.0000,267.0000,6.0000,0.0000,0.0000,0.0000,0.0000,973.0000,270.0000,264.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.9900,623.2077,2.0648,0.0000,5.3170,1.7280,8.6883,0.2336,0.0000,0.9757,0.2000,1f9g
1.3000,965.0000,244.0000,299.0000,17.0000,380.0000,93.0000,109.0000,7.0000,602.0000,147.0000,182.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.8279,679.9422,1.8101,1.6817,5.0255,6.2361,5.0700,0.1091,0.0000,0.4497,0.1818,1b74
1.3600,606.0000,166.0000,215.0000,0.0000,208.0000,56.0000,66.0000,0.0000,418.0000,108.0000,134.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.7285,424.3321,0.6251,9.7894,2.0736,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,1qpb
1.4900,1425.0000,395.0000,494.0000,42.0000,174.0000,51.0000,61.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.4263,612.8959,1.0397,4.1594,2.4099,3.3091,6.3614,0.0000,2.7395,0.0000,0.2222,1tnk
1.6000,1334.0000,407.0000,369.0000,23.0000,158.0000,51.0000,45.0000,3.0000,384.0000,127.0000,111.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.3267,578.4649,0.5755,23.5136,1.1492,6.4966,11.5779,0.3443,0.1301,0.0000,0.2222,1w8m
1.6600,640.0000,168.0000,216.0000,2.0000,0.0000,0.0000,0.0000,0.0000,548.0000,143.0000,186.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.6763,415.6949,2.5000,1.2243,6.1901,0.0000,0.0000,0.0000,0.0000,0.0000,0.2857,1rdj
1.7200,922.0000,235.0000,252.0000,0.0000,119.0000,27.0000,32.0000,0.0000,408.0000,100.0000,117.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.4874,452.1862,0.9027,14.8203,2.3131,0.2008,6.0421,0.0000,0.0000,0.0000,0.3333,2hdr
