pbindaff,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,PDB
9.3000,0.0000,0.0000,0.0000,0.0000,219.0000,71.0000,82.0000,1.0000,1271.0000,405.0000,451.0000,7.0000,0.0000,0.0000,0.0000,0.0000,423.0000,141.0000,156.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.5149,608.6163,5.8409,0.0000,11.2246,2.3387,3.4587,0.0166,0.0000,0.0000,0.3333,2iw4
4.4500,3136.0000,816.0000,811.0000,20.0000,412.0000,98.0000,105.0000,3.0000,980.0000,231.0000,231.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.0905,1344.6267,1.0051,28.1214,1.5446,4.4206,31.4559,0.0217,5.8480,0.0000,0.1000,2wbg
6.0800,3331.0000,856.0000,831.0000,18.0000,441.0000,119.0000,122.0000,2.0000,1157.0000,313.0000,298.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,113.6051,1389.9570,4.8762,28.4793,8.2981,8.2367,54.6260,0.0222,5.7162,0.0000,0.1000,2wc3
5.2900,3205.0000,839.0000,818.0000,19.0000,424.0000,103.0000,98.0000,3.0000,866.0000,226.0000,207.0000,4.0000,181.0000,46.0000,47.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.7142,1298.7964,2.2963,32.6242,4.7200,5.6382,60.5755,0.0000,2.7450,0.0000,0.1000,2wc4
6.1000,2102.0000,541.0000,565.0000,18.0000,672.0000,172.0000,180.0000,5.0000,2331.0000,618.0000,686.0000,14.0000,0.0000,0.0000,0.0000,0.0000,463.0000,124.0000,156.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,112.9593,1591.6453,5.0918,9.4061,7.9385,17.4779,93.4315,2.3858,0.8030,2.5243,0.1000,2yay
5.1400,2044.0000,530.0000,551.0000,11.0000,494.0000,126.0000,127.0000,4.0000,1621.0000,427.0000,457.0000,11.0000,0.0000,0.0000,0.0000,0.0000,183.0000,47.0000,55.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.2976,1227.1356,3.4378,8.0147,5.3748,6.1121,48.2356,0.0128,1.0000,0.0000,0.1818,2yaz
3.8500,2016.0000,521.0000,533.0000,12.0000,419.0000,107.0000,115.0000,2.0000,1113.0000,291.0000,288.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.5368,977.9888,4.7728,3.5887,6.5639,7.9792,26.2934,0.8743,0.7657,0.6536,0.2500,2yb0
4.1500,2009.0000,612.0000,623.0000,26.0000,171.0000,49.0000,51.0000,1.0000,1542.0000,455.0000,465.0000,21.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.4216,1137.9550,1.8933,0.0000,4.4070,13.7689,68.5788,0.7592,0.0000,2.2910,0.1176,2xg9
7.2600,1231.0000,389.0000,336.0000,12.0000,211.0000,67.0000,55.0000,2.0000,630.0000,188.0000,161.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.5401,652.8264,3.5399,10.8250,7.5797,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,2xib
7.2000,2948.0000,924.0000,767.0000,30.0000,371.0000,115.0000,96.0000,4.0000,893.0000,268.0000,217.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.0080,1265.2213,4.8668,19.9745,8.9702,5.2339,83.5930,0.0603,0.0000,0.3264,0.1818,2xii
