PDB,RMSD1
2iw4,0.69
2wbg,2.60
2wc3,2.25
2wc4,9.01
2yay,1.93
2yaz,1.45
2yb0,0.67
2xg9,7.31
2xib,0.30
2xii,0.56
2xye,1.41
2xyf,1.38
2y8c,2.69
2yfe,1.62
2yi0,0.52
2yi7,1.10
2yim,1.28
2yiv,2.30
2ymd,0.23
2yme,5.47
3alt,7.34
3dhv,1.80
3ebo,6.70
3ebp,0.75
3ekp,4.65
3ekt,4.97
3ekv,0.33
3ekw,1.32
3ekx,0.80
3el1,11.29
3el4,0.42
3el5,0.43
3el9,1.30
3ng4,2.33
3nw3,7.16
3nyd,2.13
3o4k,9.41
3o75,2.39
3oil,2.90
3oim,1.12
3oku,1.11
3okv,1.07
3ozg,4.85
3p17,1.38
3p3r,6.52
3p3s,3.06
3p3t,2.87
3p8n,0.74
3p8o,0.83
3pb7,1.50
3pb8,2.73
3pb9,1.55
3pbb,5.82
3pfp,1.70
3po1,0.73
3pwk,1.62
3q1x,3.77
3q5u,7.58
3q6w,2.88
3qbc,0.59
3qdd,0.22
3qfd,5.74
3qlm,4.91
3qqs,0.79
3vd4,0.74
3vd9,0.56
3vdb,3.85
4djy,0.45
4dko,0.52
4dkp,2.42
4dkq,0.67
4dkr,2.91
4dmw,8.20
4do4,0.55
4do5,0.63
3qt6,1.56
3qto,0.29
3qtv,0.41
3qw5,9.34
3qwc,1.80
3qx5,0.23
3r0y,7.98
3r6c,0.43
3r7o,1.70
3r88,0.88
3rbu,1.95
3re4,0.69
3rr4,0.57
3rt4,12.49
3rv8,1.15
3s43,1.07
3s45,1.07
3s54,6.20
3s56,2.45
3s5y,0.91
3s6t,3.89
3s8x,4.82
3s9t,2.60
3sap,7.74
3sax,4.42
3sbh,5.10
3sbi,4.74
3sfg,8.64
3sha,1.54
3shc,0.96
3si3,0.34
3si4,0.28
3spf,6.33
3su0,0.66
3su1,0.67
3su2,0.55
3su3,0.60
3su4,0.71
3su5,0.49
3su6,0.57
3sue,0.53
3suf,0.73
3sug,0.40
3sur,10.66
3sus,0.29
3sut,8.07
3suu,3.32
3suv,0.54
3suw,0.26
3sv2,0.99
3sxf,0.33
3sym,0.70
3syr,0.53
3t08,0.61
3t09,4.06
3t0b,0.60
3t0d,4.05
3t0x,2.66
3t2q,3.80
3t3c,4.87
3t3u,1.05
3t6b,6.02
3tb6,2.76
3tei,3.32
3tg5,8.49
3tif,4.06
3tkw,1.52
3ttm,0.95
3ttn,1.70
3twp,3.86
3u10,0.27
3u15,11.34
3u6h,0.48
3u7k,1.40
3u7l,1.41
3u7m,1.54
3u7n,1.66
3u7s,9.34
3u81,0.44
3u90,7.39
3u9q,1.94
3ubd,0.81
3ucj,5.31
3udd,0.92
3udh,0.21
3ueu,8.71
3uev,1.82
3uew,4.27
3uex,3.82
3ug2,7.30
3uj9,1.45
3ujb,0.60
3ujc,1.44
3ujd,1.41
3uo4,8.68
3uod,2.15
3up2,2.53
3upv,10.37
3uri,13.58
3utu,1.25
3uu1,0.59
3uug,0.94
3uuo,1.09
3uvx,9.07
3uw4,0.49
3uw5,0.92
3uxd,0.83
3uxk,2.29
3uxl,2.23
3uz5,0.53
3uzj,4.02
3v3l,1.15
3v3q,8.52
3v51,0.30
3v5p,1.03
3v5t,0.57
3v78,0.23
3v7t,0.55
3v7x,6.16
3vbd,1.14
3veh,5.57
3vf5,9.56
3vf7,1.01
3vfa,1.06
3vfb,6.26
3vh9,0.37
3vha,0.13
3vhc,0.26
3vhd,0.28
3vhk,1.53
3zq9,0.69
3zso,0.81
3zsq,6.05
3zsx,4.67
3zsy,4.86
3zt2,0.76
3zt3,0.33
3zv7,3.94
3zxz,1.46
3zyf,0.93
3zze,0.30
4a6b,1.29
4a6c,0.65
4a6l,0.51
4a7i,0.27
4a95,2.16
4aa1,0.68
4acc,2.82
4ad2,6.93
4ad3,6.63
4afg,0.36
4afh,2.11
4ag8,0.38
4agc,0.44
4agl,4.33
4agm,2.92
4agn,4.47
4ago,3.12
4agp,6.64
4agq,2.05
4ai5,3.01
4aia,0.31
4aj4,3.70
4aje,1.81
4aji,7.36
4ajl,11.85
4alx,0.53
4aoi,1.03
4ap7,1.08
4aph,10.32
4app,3.33
4aq4,4.38
4ara,0.72
4arb,0.68
4arw,1.07
4as6,4.63
4asd,0.86
4ase,0.26
4asj,1.33
4auy,1.44
4av0,1.17
4av4,2.85
4av5,2.55
4avh,0.96
4avi,1.58
4avj,1.83
4ax9,1.24
4b0b,5.57
4b1j,0.94
4b5d,6.73
4b6o,1.62
4b6p,2.29
4b6r,0.50
4b6s,0.65
4b73,7.00
4b74,0.76
4b76,0.90
4b7j,1.86
4b7r,1.82
4b8y,6.67
4b9k,0.15
4b9w,3.00
4dbm,5.46
4dcs,0.67
4dds,1.16
4ddy,0.86
4de0,8.12
4de1,1.05
4de2,0.47
4de3,8.26
4der,6.81
4des,6.17
4det,6.68
4deu,6.61
4dew,6.60
4dff,0.51
4dfg,0.80
4dhl,4.56
4djo,6.62
4djp,1.13
4djq,8.69
4djr,6.73
4dju,1.19
4djv,0.28
4djw,1.25
4djx,0.94
4dst,5.33
4dsu,1.92
4dsy,10.75
4duh,7.16
4dv8,8.37
4dy6,8.71
4e0w,1.25
4e0x,1.23
4e3g,1.51
4e3h,3.71
4e49,0.58
4e4l,0.86
4e4n,0.47
4e5w,0.19
4e67,2.66
4e6d,0.45
4e6q,1.13
4e7r,6.99
4e81,8.85
4e9u,3.06
4ea1,7.18
4ea2,2.43
4ehz,0.61
4ei4,0.22
4ek9,0.44
4eky,0.57
4el0,0.74
4el5,0.62
4en4,1.28
4eo6,0.34
4eo8,1.17
4eoh,4.58
4epy,2.15
4erf,1.57
4euo,4.00
4ewn,10.04
4exs,4.68
4f09,0.26
4f1l,1.03
4f20,10.94
4f5y,0.36
4f7v,0.54
4f9u,7.18
4f9v,1.53
4fai,1.48
4fbe,1.53
4fbx,1.21
4fcf,5.28
4fcq,4.78
4ffs,8.13
4fk6,0.50
4fl1,3.90
4fl2,1.43
4flp,5.89
4fm7,0.21
4fm8,0.18
4fsl,0.63
4fut,0.37
4g0p,6.83
4g0q,6.56
4g0y,7.11
4g0z,7.55
